HJD	Epoch	O-C	O-Cerr	Source
2415623.974	-16620	0.1266	0.0478	Harvard
2416031.413	-16411	0.1548	0.0319	Harvard
2416430.986	-16206	0.1151	0.0218	Harvard
2416830.685	-16001	0.2004	0.0235	Harvard
2417230.215	-15796	0.1175	0.0215	Harvard
2417503.171	-15656	0.1664	0.0155	Parkhurst1908
2417641.522	-15585	0.1152	0.0645	Harvard
2418043.137	-15379	0.1674	0.0245	Harvard
2418458.314	-15166	0.1367	0.0211	Harvard
2418857.962	-14961	0.1715	0.0321	Harvard
2419261.456	-14754	0.1533	0.021	Harvard
2419666.904	-14546	0.1404	0.0329	Harvard
2420068.378	-14340	0.0514	0.0274	Harvard
2420475.874	-14131	0.1375	0.0364	Harvard
2420877.457	-13925	0.1577	0.0203	Harvard
2421276.962	-13720	0.0495	0.0313	Harvard
2421680.566	-13513	0.1408	0.0384	Harvard
2422148.462	-13273	0.1977	0.0278	Harvard
2422569.473	-13057	0.1527	0.0293	Harvard
2422969.09	-12852	0.1562	0.0274	Harvard
2423370.575	-12646	0.079	0.0554	Harvard
2423772.181	-12440	0.1217	0.0374	Harvard
2424199.208	-12221	0.2447	0.0532	Harvard
2425130.979	-11743	0.235	0.0462	Harvard
2425530.4	-11538	0.0429	0.0319	Harvard
2425935.915	-11330	0.0959	0.0269	Harvard
2426343.35	-11121	0.1211	0.0414	Harvard
2426446.837	-11068	0.2932	0.0151	Kox1935
2426746.796	-10914	0.0547	0.0312	Harvard
2426920.192	-10825	-0.0402	0.0766	Kox1935
2427160.055	-10702	0.0552	0.0442	Harvard
2427764.4	-10392	0.107	0.0186	Krebs1936
2428023.542	-10259	-0.0118	0.0908	Harvard
2428165.838	-10186	-0.0177	0.0794	Krebs1936
2428427.246	-10052	0.1799	0.0937	Harvard
2428830.815	-9845	0.2368	0.0391	Harvard
2429234.197	-9638	0.1072	0.0515	Harvard
2429633.78	-9433	0.0767	0.0231	Harvard
2430043.019	-9223	-0.0441	0.0396	Harvard
2430199.093	-9143	0.0835	0.0152	Walter1943
2430404.167	-9038	-0.0263	0.02	Szabados1991 Arch.
2430547.989	-8964	0.0488	0.0276	Harvard
2430905.119	-8781	-0.0528	0.02	Szabados1991 Arch.
2430951.503	-8757	0.0508	0.0251	Harvard
2431351.281	-8552	0.2149	0.0353	Harvard
2431754.615	-8345	0.0371	0.0386	Harvard
2432158.153	-8138	0.0635	0.0493	Harvard
2432789.633	-7814	-0.0403	0.048	Harvard
2433588.85	-7404	-0.0497	0.2407	Harvard
2435755.041	-6293	-0.0713	0.02	Szabados1991 Arch.
2436121.522	-6105	-0.0649	0.02	Szabados1991 Arch.
2436199.516	-6065	-0.0443	0.03	Szabados1991 Arch.
2436824.813	-5744	0.0203	0.0117	AAVSO
2436836.942	-5738	-0.0502	0.03	Szabados1991 Arch.
2437240.038	-5531	0.0375	0.0782	AAVSO
2437439.297	-5429	-0.0391	0.02	Szabados1991 Arch.
2437645.44	-5323	-0.0224	0.0429	AAVSO
2438191.266	-5043	-0.0097	0.0489	AAVSO
2438384.671	-4944	-0.0916	0.02	Szabados1991 Arch.
2438690.292	-4787	-0.0123	0.0414	AAVSO
2439055.269	-4600	-0.0641	0.02	Szabados1991 Arch.
2439361.299	-4443	-0.0794	0.02	Szabados1991 Arch.
2439447.074	-4399	-0.075	0.02	Szabados1991 Arch.
2439751.198	-4243	-0.047	0.03	Szabados1991 Arch.
2439822.892	-4206	0.0249	0.0034	Reed1968
2439864.198	-4185	-0.1083	0.02	Szabados1991 Arch.
2440158.127	-4034	-0.0251	0.0797	AAVSO
2440180.041	-4023	-0.0573	0.03	Szabados1991 Arch.
2440963.647	-3621	-0.0831	0.02	Szabados1991 Arch.
2441300.449	-3448	-0.0119	0.0107	Szabados1977
2441645.925	-3271	-0.0717	0.02	Szabados1991 Arch.
2441752.697	-3216	-0.0094	0.0206	Szabados1977
