HJD	Epoch	O-C	O-Cerr	Source
2423884.3	-871	-0.7262	0.2	Vinkó1991 Arch.
2423885.2	-871	0.1738	0.2	Vinkó1991 Arch.
2423974.3	-864	-0.6661	0.2	Vinkó1991 Arch.
2423975.3	-864	0.3339	0.2	Vinkó1991 Arch.
2423987.2	-863	-0.6146	0.2	Vinkó1991 Arch.
2423988.2	-863	0.3854	0.2	Vinkó1991 Arch.
2424000.2	-862	-0.4632	0.2	Vinkó1991 Arch.
2424258.3	-842	0.6658	0.2	Vinkó1991 Arch.
2424296.4	-839	0.2201	0.2	Vinkó1991 Arch.
2425362.4	-756	-0.2098	0.2	Vinkó1991 Arch.
2425388.4	-754	0.0931	0.2	Vinkó1991 Arch.
2425414.3	-752	0.296	0.2	Vinkó1991 Arch.
2425452.3	-749	-0.2497	0.2	Vinkó1991 Arch.
2426030.5	-704	-0.2346	0.2	Vinkó1991 Arch.
2426120.4	-697	-0.2744	0.2	Vinkó1991 Arch.
2426480.2	-669	-0.2339	0.2	Vinkó1991 Arch.
2426891.2	-637	-0.3876	0.2	Vinkó1991 Arch.
2427520.4	-588	-0.7667	0.2	Vinkó1991 Arch.
2428343.3	-524	-0.1741	0.2	Vinkó1991 Arch.
2428743.2	-493	1.4208	0.2	Vinkó1991 Arch.
2429280.5	-451	-0.9185	0.2	Vinkó1991 Arch.
2429732.4	-416	1.2822	0.2	Vinkó1991 Arch.
2434510.11	-44	-0.5898	0.0642	Mitchell1964
2434587.38	-38	-0.4909	0.06	Vinkó1991 Arch.
2434895.49	-14	-0.6664	0.0218	Mitchell1964
2435165.435	7	-0.5412	0.0357	Irwin1961
2435242.58	13	-0.4875	0.0294	Mitchell1964
2435242.738	13	-0.4091	0.06	Vinkó1991 Arch.
2435641.263	44	-0.1892	0.08	Vinkó1991 Arch.
2440677.845	436	-0.16	0.0262	Pel1976
2440767.712	443	-0.3129	0.06	Vinkó1991 Arch.
2441397.28	492	-0.244	0.0409	Grayzeck1978
2441410.155	493	-0.2975	0.06	Vinkó1991 Arch.
2441757.081	520	-0.2021	0.0431	Madore1975
2441769.936	521	-0.1955	0.7898	Grayzeck1978
2441770.019	521	-0.193	0.06	Vinkó1991 Arch.
2444044.24	698	-0.1659	0.06	Vinkó1991 Arch.
2444378.295	724	-0.0933	0.0143	Coulson1985
2444699.654	749	-0.0281	0.06	Vinkó1991 Arch.
2444789.53	756	-0.0121	0.0311	Coulson1985
2445097.654	780	-0.3332	0.06	Vinkó1991 Arch.
2445149.291	784	-0.01	0.0224	Coulson1985
2447860.375	995	0.0285	0.0274	Hipp
2448207.413	1022	0.1557	0.0156	Hipp
2448554.229	1049	0.0607	0.0349	Hipp
2448965.553	1081	0.2312	0.1025	Hipp
2451895.102	1309	0.3101	0.0155	ASAS
2452242.076	1336	0.3737	0.0127	ASAS
2452614.693	1365	0.3818	0.0082	ASAS
2452961.626	1392	0.4041	0.0091	ASAS
2453347.127	1422	0.4483	0.0104	ASAS
2453694.01	1449	0.4206	0.0199	ASAS
2454079.48	1479	0.4342	0.007	ASAS
2454426.467	1506	0.5103	0.0098	ASAS
2454786.228	1534	0.5119	0.0155	ASAS
2456315.229	1653	0.5351	0.0074	Bochum
2456649.309	1679	0.5526	0.0122	Berdnikov2015
2456713.505	1684	0.5061	0.0091	Bochum
2457060.396	1711	0.4856	0.0096	Bochum
2457420.269	1739	0.5999	0.0072	ASASSN-V
2457767.201	1766	0.6207	0.0058	ASASSN-V
2458114.151	1793	0.6601	0.0039	ASASSN-V
