HJD	Epoch	O-C	O-Cerr	Source
2414490.818	-7095	0.3604	0.1661	Harvard
2414590.672	-7069	0.2303	0.05	Szabados1991 Arch.
2414890.72	-6991	0.3258	0.0566	Harvard
2415294.489	-6886	0.3123	0.0822	Harvard
2415694.404	-6782	0.2899	0.0219	Harvard
2416094.211	-6678	0.1605	0.0228	Harvard
2416528.755	-6565	0.1574	0.014	Harvard
2416932.486	-6460	0.1059	0.0315	Harvard
2417051.744	-6429	0.1522	0.03	Szabados1991 Arch.
2417343.946	-6353	0.0928	0.0286	Harvard
2417747.755	-6248	0.1194	0.0276	Harvard
2417809.335	-6232	0.1705	0.0141	AAVSO
2417828.591	-6227	0.1987	0.05	Szabados1991 Arch.
2418147.706	-6144	0.1334	0.0181	Harvard
2418209.292	-6128	0.1907	0.0125	AAVSO
2418547.654	-6040	0.1441	0.0175	Harvard
2418613.059	-6023	0.175	0.0164	AAVSO
2418947.579	-5936	0.1326	0.0186	Harvard
2419020.67	-5917	0.158	0.0231	AAVSO
2419347.437	-5832	0.0532	0.0285	Harvard
2419466.733	-5801	0.138	0.0272	AAVSO
2419847.419	-5702	0.115	0.0219	Harvard
2420247.401	-5598	0.1597	0.0189	Harvard
2420647.283	-5494	0.1044	0.0194	Harvard
2421047.227	-5390	0.1118	0.0238	Harvard
2421447.159	-5286	0.1074	0.017	Harvard
2421847.147	-5182	0.1578	0.019	Harvard
2422246.969	-5078	0.0429	0.0208	Harvard
2422646.989	-4974	0.1265	0.0149	Harvard
2423050.746	-4869	0.1011	0.0571	Harvard
2423469.828	-4760	0.0183	0.0234	Harvard
2423885.17	-4652	0.0416	0.0303	Harvard
2424285.135	-4548	0.0693	0.031	Harvard
2424708.234	-4438	0.1579	0.0302	Harvard
2424738.919	-4430	0.0788	0.05	Szabados1991 Arch.
2425100.468	-4336	0.1463	0.03	Szabados1991 Arch.
2425108.163	-4334	0.1503	0.0324	Harvard
2425131.184	-4328	0.098	0.05	Szabados1991 Arch.
2425323.449	-4278	0.0856	0.05	Szabados1991 Arch.
2425508.003	-4230	0.0533	0.0187	Harvard
2425696.502	-4181	0.1206	0.05	Szabados1991 Arch.
2425907.926	-4126	0.0392	0.0215	Harvard
2426307.871	-4022	0.0474	0.0297	Harvard
2426769.4	-3902	0.1111	0.0297	Harvard
2427169.266	-3798	0.0397	0.0189	Harvard
2427276.96	-3770	0.0587	0.05	Szabados1991 Arch.
2427573.063	-3693	0.0548	0.0225	Harvard
2427676.807	-3667	-0.0312	0.05	Szabados1991 Arch.
2427973.129	-3589	0.1839	0.0426	Harvard
2428372.907	-3485	0.0247	0.0243	Harvard
2428772.863	-3381	0.0442	0.0194	Harvard
2429176.631	-3276	0.0291	0.0218	Harvard
2429576.598	-3172	0.0594	0.0186	Harvard
2429976.5	-3068	0.0248	0.0167	Harvard
2430437.988	-2948	0.0471	0.0148	Harvard
2430845.614	-2842	0.0446	0.0211	Harvard
2431245.539	-2738	0.0334	0.0158	Harvard
2431645.509	-2634	0.0663	0.0174	Harvard
2432045.439	-2530	0.0597	0.0247	Harvard
2432445.352	-2426	0.0358	0.0428	Harvard
2432849.139	-2321	0.0404	0.0269	Harvard
2433091.462	-2258	0.0934	0.0229	AAVSO
2433091.488	-2258	0.1193	0.0131	Eggen1951
2433091.533	-2258	0.1648	0.019	Mitchell1964
2433264.559	-2213	0.1409	0.0218	Harvard
2433745.125	-2088	0.0135	0.0222	Harvard
2434156.573	-1982	-0.0123	0.0374	Harvard
2434571.823	-1874	-0.0813	0.043	Harvard
2436840.834	-1283	0.0569	0.026	AAVSO
2437048.47	-1229	0.0334	0.0228	Mitchell1964
2437867.887	-1016	0.349	0.3098	Harvard
2437917.277	-1004	-0.2526	0.2514	AAVSO
2438878.919	-753	0.0025	0.0419	AAVSO
2439278.73	-650	-0.1233	0.093	AAVSO
2439678.996	-545	0.2052	0.0514	AAVSO
2440078.872	-441	0.1447	0.0442	AAVSO
2440482.631	-336	0.1209	0.0664	AAVSO
2441113.19	-172	0.0106	0.0608	AAVSO
2441409.281	-96	-0.0055	0.0267	Szabados1977
2441528.645	-64	0.147	0.0414	AAVSO
2441778.569	0	0.11	0.02	Szabados1991 Arch.
2441878.486	26	0.0428	0.0358	Szabados1977
2441885.975	27	-0.1592	0.148	Harvard
2441928.54	39	0.105	0.0107	AAVSO
2442301.401	135	-0.0522	0.1449	Harvard
2442328.501	143	0.1287	0.0151	AAVSO
2442713.118	243	0.1912	0.2735	Harvard
2443274.638	389	0.2613	0.1708	Harvard
2443285.978	392	0.0646	0.0025	Moffett1984
2443343.669	407	0.0724	0.02	Szabados1991 Arch.
2443378.282	416	0.0759	0.0307	AAVSO
2443685.925	496	0.0744	0.004	Moffett1984
2443693.45	497	-0.0917	0.3208	Harvard
2444189.728	627	0.1106	0.0115	AAVSO
2444466.55	699	0.0533	0.0069	Berdnikov2008
2444543.379	718	-0.0278	0.1891	Harvard
2444589.638	731	0.0845	0.0144	AAVSO
2444866.505	803	0.0718	0.02	Szabados1991 Arch.
2444993.422	836	0.0855	0.0161	AAVSO
2445055.014	852	0.1493	0.0713	Harvard
2445408.742	944	0.0864	0.0173	AAVSO
2445470.405	960	0.2208	0.1614	Harvard
2445812.538	1049	0.0998	0.0102	AAVSO
2445870.263	1064	0.1425	0.1062	Harvard
2446212.473	1153	0.098	0.0161	AAVSO
2446285.383	1171	-0.0569	0.0824	Harvard
