HJD	Epoch	O-C	O-Cerr	Source
2412919.348	-2803	-0.1826	0.4063	Harvard
2413257.402	-2779	-0.4581	0.3872	Harvard
2413595.739	-2755	-0.4504	0.6595	Harvard
2413933.827	-2731	-0.6912	0.468	Harvard
2414357.227	-2701	-0.203	0.7192	Harvard
2414765.71	-2672	-0.5347	0.6792	Harvard
2415104.039	-2648	-0.5352	0.3587	Harvard
2415442.55	-2624	-0.3536	0.3362	Harvard
2415809.029	-2598	-0.3984	0.2405	Harvard
2416147.299	-2574	-0.4571	0.3194	Harvard
2416485.825	-2550	-0.2606	0.2356	Harvard
2416824.163	-2526	-0.2519	0.2318	Harvard
2417176.497	-2501	-0.3442	0.2486	Harvard
2417514.7	-2477	-0.4708	0.3848	Harvard
2417909.571	-2449	-0.3177	0.267	Harvard
2418290.227	-2422	-0.2814	0.3157	Harvard
2418628.459	-2398	-0.3788	0.4298	Harvard
2418981.003	-2373	-0.262	0.3579	Harvard
2419389.95	-2344	-0.1292	0.4858	Harvard
2419798.631	-2315	-0.2631	0.4169	Harvard
2420179.206	-2288	-0.308	0.4151	Harvard
2420587.97	-2259	-0.3585	0.3315	Harvard
2420926.235	-2235	-0.4234	0.461	Harvard
2421306.885	-2208	-0.3937	0.5035	Harvard
2421659.335	-2183	-0.3704	0.3063	Harvard
2422039.901	-2156	-0.4247	0.3137	Harvard
2422420.621	-2129	-0.3251	0.3583	Harvard
2423139.408	-2078	-0.488	0.3351	Harvard
2423477.841	-2054	-0.3845	0.4695	Harvard
2423816.275	-2030	-0.2799	0.444	Harvard
2424492.686	-1982	-0.5277	0.3718	Harvard
2425592.497	-1904	-0.2872	0.4312	Harvard
2426001.263	-1875	-0.335	0.5159	Harvard
2426353.919	-1850	-0.1059	0.4962	Harvard
2426706.239	-1825	-0.2126	0.5185	Harvard
2427044.487	-1801	-0.2941	0.3695	Harvard
2427453.588	-1772	-0.0075	0.4795	Harvard
2427805.483	-1747	-0.5387	0.4487	Harvard
2428158.168	-1722	-0.2798	0.4058	Harvard
2428496.473	-1698	-0.3043	0.3598	Harvard
2428835.003	-1674	-0.1033	0.3947	Harvard
2429187.235	-1649	-0.2985	0.4147	Harvard
2429553.678	-1623	-0.379	0.4133	Harvard
2429892.174	-1599	-0.2115	0.3257	Harvard
2430286.789	-1571	-0.3142	0.3007	Harvard
2430667.361	-1544	-0.3631	0.3155	Harvard
2431047.934	-1517	-0.4107	0.3474	Harvard
2431400.546	-1492	-0.2249	0.4194	Harvard
2431752.957	-1467	-0.2405	0.4081	Harvard
2432119.484	-1441	-0.2373	0.4875	Harvard
2432471.715	-1416	-0.4324	0.4648	Harvard
2432824.156	-1391	-0.4177	0.4562	Harvard
2433247.223	-1361	-0.2619	0.5699	Harvard
2434022.432	-1306	-0.3915	0.4342	Harvard
2434389.056	-1280	-0.2912	1.0787	Harvard
2437786.438	-1039	-0.2992	0.3291	Walraven1964
2440972.549	-813	-0.123	0.494	Harvard
2441648.992	-765	-0.3382	0.0408	Madore1975
2444285.232	-578	-0.2482	0.5785	AAVSO
2444637.638	-553	-0.2681	0.2963	Harvard
2444990.276	-528	-0.0574	2.2844	Harvard
2445342.745	-503	-0.0147	0.9986	Harvard
2445695.037	-478	-0.1489	0.5469	Harvard
2446075.554	-451	-0.2521	0.2027	Harvard
2446428.229	-426	-0.0033	0.4119	AAVSO
2446766.348	-402	-0.2144	0.3462	AAVSO
2446822.813	-398	-0.1375	0.281	Harvard
2447936.581	-319	-0.0364	0.0355	Hipp
2448232.602	-298	-0.0537	0.2782	AAVSO
2448274.779	-295	-0.1683	0.0542	Hipp
2448627.197	-270	-0.1765	0.0684	Hipp
2448993.745	-244	-0.1522	1.1691	AAVSO
2449797.294	-187	-0.1351	0.1104	Berdnikov2008
2450882.802	-110	-0.1003	0.0902	Berdnikov2008
2451235.295	-85	-0.0341	0.0928	Berdnikov2008
2451615.814	-58	-0.1353	0.0612	Berdnikov2008
2451883.794	-38	0.0006	0.1859	ASAS
2451954.156	-34	-0.1223	0.0638	Berdnikov2008
2452222.123	-14	0.0002	0.0769	ASAS
2452306.673	-9	-0.0322	0.0866	Berdnikov2008
2452560.428	8	-0.0237	0.0836	ASAS
2452644.93	14	-0.1043	0.0786	Berdnikov2008
2452912.884	34	0.0052	0.0826	ASAS
2452983.371	39	0.0069	0.1021	Berdnikov2008
2453011.61	41	0.0524	0.0913	IOMC
2453025.695	42	0.0397	0.5671	AAVSO
2453349.914	65	0.0271	0.0926	ASAS
2453363.935	65	-0.0493	0.5802	AAVSO
2453688.375	89	0.1588	0.0311	IOMC
2453702.318	90	0.0049	0.09	ASAS
2453758.753	94	0.0513	0.3003	AAVSO
2454083.044	117	0.1101	0.0925	ASAS
2454097.146	118	0.115	0.2946	AAVSO
2454139.487	121	0.1649	0.0705	IOMC
2454421.369	141	0.106	0.1179	ASAS
2454759.744	165	0.1508	0.0791	ASAS
2454858.335	172	0.0625	0.0881	IOMC
2456705.178	303	0.1912	0.3464	AAVSO
2457043.26	326	-0.0554	0.2891	AAVSO
2457381.841	351	0.1957	0.2814	AAVSO
2457409.883	353	0.0441	0.1095	ASASSN-V
2457748.287	377	0.1189	0.1133	ASASSN-V
2458086.574	401	0.0765	0.1016	ASASSN-V
2458185.249	407	0.0719	0.125	ASASSN-g
2458523.675	432	0.1684	0.114	ASASSN-g
