HJD	Epoch	O-C	O-Cerr	Source
2434801.482	-742	-17.0224	0.4379	Mitchell1964
2434801.632	-742	-16.8728	0.4559	AAVSO
2434801.632	-742	-16.8728	0.4239	Eggen1957
2435153.375	-727	-16.3985	0.9757	Mitchell1964
2435153.464	-727	-16.3097	0.7193	AAVSO
2440666.28	-491	-6.7068	0.3777	Pel1976
2444627.954	-322	-2.6629	0.2824	Coulson1985
2444909.061	-310	-2.5714	0.3274	Coulson1985
2447486.999	-200	-0.6051	1.0412	AAVSO
2447815.536	-186	0.0804	0.7938	AAVSO
2447838.422	-185	-0.451	0.1481	Hipp
2448096.649	-174	0.1788	0.7682	AAVSO
2448119.855	-173	-0.0331	0.0978	Hipp
2448377.603	-162	0.1176	0.7869	AAVSO
2448400.604	-161	-0.2994	0.063	Hipp
2448658.18	-150	-0.3203	0.8326	AAVSO
2448681.741	-149	-0.178	0.1104	Hipp
2448963.314	-137	0.3804	0.5565	AAVSO
2449338.25	-121	0.6296	0.8913	AAVSO
2449736.095	-104	0.3693	1.0485	AAVSO
2449782.43	-102	-0.1311	4.588	Berdnikov2008
2450344.556	-78	-0.0356	0.0899	Berdnikov2008
2450766.352	-60	0.2378	0.6477	AAVSO
2450883.164	-55	-0.0394	0.0864	Berdnikov2008
2451140.986	-44	0.1846	0.9134	AAVSO
2451234.476	-40	0.0028	0.1044	Berdnikov2008
2451468.787	-30	0.1351	0.9355	AAVSO
2451609.136	-24	-0.0235	3.9086	Berdnikov2008
2451749.952	-18	0.2844	0.6878	AAVSO
2451867.139	-13	0.3823	0.5491	ASAS
2451936.936	-10	-0.0744	8.1957	Berdnikov2008
2452030.736	-6	0.0539	0.9094	AAVSO
2452171.19	0	0.0	0.1063	ASAS
2452311.693	6	-0.004	0.1053	Berdnikov2008
2452311.946	6	0.2482	0.6704	AAVSO
2452452.237	12	0.0322	0.1964	ASAS
2452592.692	18	-0.0207	0.8146	AAVSO
2452616.105	19	-0.0252	0.0545	Berdnikov2008
2452733.341	24	0.1209	0.1058	IOMC
2452733.341	24	0.1211	0.2417	ASAS
2452943.858	33	-0.1236	0.7765	AAVSO
2452967.286	34	-0.1132	0.0846	Berdnikov2008
2453014.205	36	-0.0302	0.1516	ASAS
2453084.153	39	-0.3366	0.123	IOMC
2453224.932	45	-0.0652	0.8586	AAVSO
2453295.003	48	-0.2477	0.2546	ASAS
2453505.658	57	-0.3543	0.8366	AAVSO
2453575.983	60	-0.2822	0.0957	IOMC
2453622.685	62	-0.4165	0.1445	ASAS
2453786.553	69	-0.4736	0.7689	AAVSO
2453856.701	72	-0.5801	0.101	IOMC
2453903.542	74	-0.5743	0.1111	ASAS
2454067.464	81	-0.5785	0.8329	AAVSO
2454184.395	86	-0.7363	0.1321	ASAS
2454348.157	93	-0.9	0.8063	AAVSO
2454465.265	98	-0.8819	0.0903	ASAS
2454629.089	105	-0.9836	0.8088	AAVSO
2454745.976	110	-1.1865	0.1371	ASAS
2454909.836	117	-1.2516	0.92	AAVSO
2455120.266	126	-1.5826	0.0561	IOMC
2455190.331	129	-1.7722	0.8155	AAVSO
2455541.291	144	-2.0804	0.9174	AAVSO
2455915.663	160	-2.3957	0.7775	AAVSO
2456219.918	173	-2.5741	0.8258	AAVSO
2456500.93	185	-2.5767	0.8373	AAVSO
2456781.37	197	-3.152	0.9419	AAVSO
2457061.94	209	-3.5966	1.1906	AAVSO
2457411.938	224	-4.8683	0.2202	ASASSN-V
2457692.57	236	-5.2507	0.2507	ASASSN-V
2457996.732	249	-5.5218	0.1749	ASASSN-V
2458066.856	252	-5.6518	0.365	ASASSN-g
2458300.798	262	-5.8888	0.3742	ASASSN-V
2458370.884	265	-6.0573	1.0702	ASASSN-g
2458651.502	277	-6.4541	0.3258	ASASSN-g
