HJD	Epoch	O-C	O-Cerr	Source
2412810.06	-8104	0.2083	0.1647	Harvard
2413145.231	-8035	0.0389	0.0389	Harvard
2413500.089	-7962	0.1158	0.0576	Harvard
2413893.76	-7881	0.1258	0.1371	Harvard
2414297.299	-7798	0.2837	0.1476	Harvard
2414773.23	-7701	-0.0668	0.0987	Harvard
2415089.192	-7636	-0.006	0.0501	Harvard
2415414.95	-7568	0.1312	0.0256	Harvard
2415716.334	-7506	0.1946	0.0469	Harvard
2416046.741	-7438	0.1204	0.0157	Harvard
2416411.247	-7363	0.1254	0.0182	Harvard
2416785.464	-7286	0.1214	0.013	Harvard
2417183.98	-7204	0.1154	0.0132	Harvard
2417504.717	-7138	0.0917	0.026	Harvard
2417912.98	-7054	0.1141	0.0127	Harvard
2418296.888	-6975	0.0809	0.0173	Harvard
2418622.532	-6908	0.1031	0.0205	Harvard
2418987.08	-6833	0.151	0.026	Harvard
2419395.353	-6749	0.1818	0.0727	Harvard
2419803.455	-6665	0.0435	0.0374	Harvard
2420197.135	-6584	0.0617	0.0259	Harvard
2420590.821	-6503	0.087	0.0146	Harvard
2420921.293	-6435	0.0783	0.0172	Harvard
2421217.734	-6374	0.0575	0.0285	Harvard
2421660.102	-6283	0.1643	0.0171	Harvard
2422039.12	-6205	0.1017	0.0156	Harvard
2422423.088	-6126	0.1289	0.0254	Harvard
2423142.319	-5978	0.0777	0.021	Harvard
2423482.56	-5908	0.1176	0.0329	Harvard
2423783.996	-5846	0.2323	0.0405	Harvard
2424124.173	-5776	0.2083	0.0471	Harvard
2424498.143	-5700	-0.0423	0.0559	Harvard
2425207.524	-5554	-0.2235	0.402	Harvard
2425616.262	-5469	0.2726	0.0656	Harvard
2426000.054	-5390	0.1238	0.0356	Harvard
2426364.451	-5315	0.02	0.0223	Harvard
2426709.463	-5245	-0.0289	0.0305	Harvard
2427040.021	-5176	0.0474	0.0138	Harvard
2427453.117	-5091	0.0425	0.022	Harvard
2427803.127	-5019	0.1315	0.0504	Harvard
2428162.713	-4945	0.0763	0.0243	Harvard
2428502.892	-4875	0.0546	0.0187	Harvard
2428818.779	-4810	0.0403	0.0112	Harvard
2429124.962	-4747	0.0423	0.0212	Harvard
2429421.467	-4686	0.0869	0.0175	Harvard
2429717.876	-4625	0.0352	0.0152	Harvard
2430014.338	-4564	0.0356	0.0111	Harvard
2430315.641	-4502	0.0183	0.019	Harvard
2430670.425	-4429	0.0214	0.0145	Harvard
2431049.465	-4352	-0.0201	0.025	Harvard
2431404.297	-4278	0.0305	0.0157	Harvard
2431754.196	-4206	0.0093	0.0204	Harvard
2432123.585	-4130	0.0364	0.0283	Harvard
2432473.53	-4058	0.0611	0.0208	Harvard
2432769.918	-3998	-0.0123	0.0547	Harvard
2433066.268	-3937	-0.1226	0.1016	Harvard
2433362.986	-3875	0.1344	0.0433	Harvard
2433659.405	-3814	0.0919	0.0575	Harvard
2434033.439	-3738	-0.0948	0.1684	Harvard
2434398.155	-3662	0.1204	0.0265	Harvard
2434893.843	-3560	0.0862	0.0664	Harvard
2435161.082	-3505	0.0253	0.0109	Mitchell1964
2440934.783	-2317	0.0293	0.0086	Pel1976
2440983.699	-2307	0.3447	0.1483	Harvard
2444638.185	-1555	0.1004	0.0381	Harvard
2444963.64	-1489	-0.0664	0.0436	Harvard
2445347.658	-1409	0.011	0.0337	Harvard
2445644.158	-1348	0.0504	0.0266	Harvard
2446076.572	-1260	-0.0775	0.0286	Harvard
2446446.006	-1184	-0.0044	0.0393	Harvard
2446825.08	-1106	-0.0116	0.0348	Harvard
2447140.992	-1041	-0.0002	0.0472	Harvard
2447495.782	-967	0.0085	0.0585	Harvard
2447865.075	-892	-0.0597	0.0051	Hipp
2448161.561	-831	-0.0348	0.0042	Hipp
2448462.886	-769	-0.0303	0.005	Hipp
2448778.813	-704	-0.0046	0.0041	Hipp
2450567.304	-335	0.0016	0.0022	Berdnikov2008
2451884.375	-64	0.0086	0.0024	ASAS
2452200.267	0	-0.0	0.0041	ASAS
2452501.6	62	0.0117	0.0047	ASAS
2452666.813	95	-0.0158	0.0396	IOMC
2452798.056	123	0.0068	0.0022	ASAS
2453094.512	184	0.0021	0.0032	ASAS
2453133.359	191	-0.0312	0.0048	IOMC
2453390.972	245	0.0009	0.0024	ASAS
2453697.148	307	-0.0039	0.0028	ASAS
2454085.953	388	0.0004	0.0024	ASAS
2454139.414	399	0.0013	0.0037	IOMC
2454382.415	449	0.0011	0.0027	ASAS
2454678.869	509	-0.0053	0.0025	ASAS
2454863.54	547	-0.0146	0.0032	IOMC
2454975.332	570	-0.003	0.0078	ASAS
2456637.472	913	0.0117	0.004	Berdnikov2015
2457419.922	1073	-0.0008	0.0118	ASASSN-V
2457716.377	1134	-0.0062	0.006	ASASSN-V
2458071.156	1207	-0.0088	0.0059	ASASSN-V
2458197.531	1234	0.0058	0.0074	ASASSN-g
2458494.002	1295	0.016	0.0058	ASASSN-g
2458790.448	1356	0.0014	0.0051	ASASSN-g
