HJD	Epoch	O-C	O-Cerr	Source
2414909.075	-2851	1.4721	0.2851	Harvard
2415284.517	-2814	1.5599	0.2646	Harvard
2415629.108	-2780	1.2308	0.2555	Harvard
2415984.127	-2745	1.1853	0.3513	Harvard
2416227.846	-2721	1.4316	0.2818	Harvard
2416471.125	-2697	1.2385	0.2263	Harvard
2416504.146	-2694	1.3374	0.08	Szabados1981 Arch.
2416714.699	-2673	1.3397	0.2826	Harvard
2416958.384	-2649	1.5517	0.2924	Harvard
2417201.515	-2625	1.21	0.2257	Harvard
2417861.01	-2560	1.2991	0.333	Harvard
2418036.203	-2543	1.545	0.08	Szabados1981 Arch.
2418165.514	-2530	1.4626	0.2891	Harvard
2418408.87	-2506	1.3455	0.1664	Harvard
2418652.312	-2482	1.3155	0.2921	Harvard
2418776.77	-2470	1.5491	0.08	Szabados1981 Arch.
2418895.742	-2458	1.2721	0.2403	Harvard
2419139.385	-2434	1.443	0.2481	Harvard
2419172.122	-2431	1.2578	0.1	Szabados1981 Arch.
2419382.622	-2410	1.2067	0.2149	Harvard
2419666.716	-2382	1.2496	0.2239	Harvard
2419800.992	-2369	1.1566	0.08	Szabados1981 Arch.
2420011.699	-2348	1.3125	0.2588	Harvard
2420366.481	-2313	1.0302	0.227	Harvard
2420751.998	-2275	1.0482	0.2154	Harvard
2421117.28	-2239	1.1214	0.2696	Harvard
2421452.076	-2206	1.1429	0.2408	Harvard
2421949.228	-2157	1.2046	0.2525	Harvard
2421961.887	-2156	1.2309	0.08	Szabados1981 Arch.
2422192.474	-2133	0.9774	0.2582	Harvard
2422435.864	-2109	0.8945	0.2519	Harvard
2422679.544	-2085	1.1022	0.1927	Harvard
2422923.014	-2061	1.0989	0.2361	Harvard
2423318.465	-2022	0.9069	0.385	Harvard
2423663.227	-1988	0.749	0.3295	Harvard
2423906.686	-1964	0.7355	0.2453	Harvard
2424071.542	-1948	0.7887	0.08	Szabados1981 Arch.
2424150.296	-1940	0.8725	0.1894	Harvard
2424393.797	-1916	0.9013	0.2829	Harvard
2424769.166	-1879	0.9165	0.1927	Harvard
2425093.706	-1847	0.826	0.259	Harvard
2425347.289	-1822	0.7919	0.2309	Harvard
2425590.755	-1798	0.7843	0.2263	Harvard
2425674.508	-1790	0.8924	0.08	Szabados1981 Arch.
2425834.237	-1774	0.7942	0.2317	Harvard
2426077.687	-1750	0.7712	0.1571	Harvard
2426212.158	-1737	0.8734	0.08	Szabados1981 Arch.
2426221.88	-1736	0.4507	0.1	Szabados1981 Arch.
2426252.969	-1733	1.1056	0.08	Szabados1981 Arch.
2426321.238	-1726	0.8495	0.2091	Harvard
2426574.719	-1701	0.7126	0.2062	Harvard
2426759.901	-1683	0.8027	0.08	Szabados1981 Arch.
2426818.093	-1677	0.6144	0.2696	Harvard
2427061.705	-1653	0.7536	0.2285	Harvard
2427315.176	-1628	0.607	0.1978	Harvard
2427368.3	-1623	0.5199	0.1	Szabados1981 Arch.
2427660.11	-1594	0.6217	0.2703	Harvard
2427903.639	-1570	0.6774	0.2121	Harvard
2427916.205	-1569	0.6112	0.1	Szabados1981 Arch.
2428129.02	-1548	0.3875	0.1	Szabados1981 Arch.
2428147.213	-1546	0.7791	0.2539	Harvard
2428421.022	-1519	0.6807	0.3112	Harvard
2428586.056	-1503	0.9121	0.08	Szabados1981 Arch.
2428775.982	-1484	0.5765	0.2795	Harvard
2429131.236	-1449	0.7663	0.2516	Harvard
2429245.098	-1438	0.5487	0.1	Szabados1981 Arch.
2429265.733	-1436	0.8943	0.08	Szabados1981 Arch.
2429475.872	-1415	0.4825	0.2663	Harvard
2429861.367	-1377	0.4784	0.251	Harvard
2430226.754	-1341	0.6569	0.3572	Harvard
2430581.576	-1306	0.4147	0.3727	Harvard
2430695.7	-1295	0.4589	0.1	Szabados1981 Arch.
2430825.213	-1282	0.5785	0.2181	Harvard
2431068.595	-1258	0.4874	0.2112	Harvard
