HJD	Epoch	O-C	O-Cerr	Source
2414605.314	-8141	0.9405	0.1	Szabados1977 Arch.
2416376.314	-7706	0.9842	0.1	Szabados1977 Arch.
2417121.414	-7523	1.0611	0.1	Szabados1977 Arch.
2417793.064	-7358	0.9691	0.1	Szabados1977 Arch.
2417951.888	-7319	1.0177	0.1	Szabados1977 Arch.
2418228.694	-7251	0.9845	0.1	Szabados1977 Arch.
2418594.934	-7161	0.8198	0.1	Szabados1977 Arch.
2419046.894	-7050	0.8806	0.1	Szabados1977 Arch.
2419234.274	-7004	0.987	0.1	Szabados1977 Arch.
2419335.989	-6979	0.9229	0.07	Szabados1977 Arch.
2419466.324	-6947	0.9807	0.1	Szabados1977 Arch.
2419743.084	-6879	0.9015	0.1	Szabados1977 Arch.
2421131.19	-6538	0.7406	0.04	Szabados1977 Arch.
2425963.524	-5351	0.6029	0.07	Szabados1977 Arch.
2426851.034	-5133	0.5992	0.07	Szabados1977 Arch.
2427335.254	-5014	0.3507	0.1	Szabados1977 Arch.
2428430.644	-4745	0.5976	0.1	Szabados1977 Arch.
2430181.018	-4315	0.371	0.07	Szabados1977 Arch.
2430433.419	-4253	0.3599	0.07	Szabados1977 Arch.
2430677.706	-4193	0.377	0.1	Szabados1977 Arch.
2430836.446	-4154	0.3416	0.07	Szabados1977 Arch.
2430979.064	-4119	0.4689	0.1	Szabados1977 Arch.
2431145.819	-4078	0.3062	0.04	Szabados1977 Arch.
2431687.234	-3945	0.2564	0.1	Szabados1977 Arch.
2432041.334	-3858	0.1651	0.1	Szabados1977 Arch.
2432126.953	-3837	0.2896	0.1	Szabados1977 Arch.
2432208.364	-3817	0.2774	0.07	Szabados1977 Arch.
2432969.686	-3630	0.2917	0.07	Szabados1977 Arch.
2436763.77	-2698	0.0513	0.0094	Oosterhoff1960
2436763.853	-2698	0.1346	0.003	Mitchell1964
2436804.586	-2688	0.1554	0.0048	Weaver1960
2436808.649	-2687	0.147	0.02	Szabados1977 Arch.
2436833.058	-2681	0.1291	0.02	Szabados1977 Arch.
2436906.364	-2663	0.1541	0.02	Szabados1977 Arch.
2437044.869	-2629	0.2395	0.1	Szabados1977 Arch.
2437398.916	-2542	0.0953	0.1	Szabados1977 Arch.
2438143.913	-2359	0.0693	0.1	Szabados1977 Arch.
2439055.892	-2135	0.1075	0.1	Szabados1977 Arch.
2440150.938	-1866	0.0104	0.1	Szabados1977 Arch.
2441584.03	-1514	0.0535	0.0058	Szabados1977
2441681.75	-1490	0.0647	0.02	Szabados1977 Arch.
2441934.156	-1428	0.0593	0.0078	Szabados1977
2443041.482	-1156	0.028	0.04	Szabados1977 Arch.
2446607.776	-281	-0.0177	0.0033	Berdnikov2008
2447401.658	-86	-0.0123	0.0033	Berdnikov2008
2447747.707	-1	-0.0119	0.0026	Berdnikov2008
2447865.78	27	-0.0028	0.008	Hipp
2448211.793	112	-0.0385	0.0128	Hipp
2448557.879	197	-0.0023	0.0087	Hipp
2448964.915	297	-0.0821	0.0732	Hipp
2449933.919	535	-0.0153	0.0088	Berdnikov2008
2452637.099	1199	-0.0884	0.007	IOMC
2452983.243	1285	0.0073	0.0023	IOMC
2453341.499	1373	0.0004	0.0019	IOMC
2453707.923	1463	0.0197	0.0016	IOMC
2454070.219	1551	-0.0182	0.0027	SWASP
2454416.314	1637	0.0279	0.0064	SWASP
2455202.063	1830	0.0421	0.0027	IOMC
2456134.386	2059	0.0686	0.0068	KWS
2456504.846	2150	0.0533	0.0072	KWS
2456863.165	2238	0.1101	0.0075	KWS
2456895.694	2246	0.0697	0.0149	Gaia-dr2
2457005.591	2273	0.045	0.0034	ASASSN-V
2457221.409	2326	0.0916	0.0075	KWS
2457249.908	2333	0.092	0.0191	Gaia-dr2
2457355.738	2359	0.0718	0.0037	ASASSN-V
2457595.94	2418	0.0751	0.0086	KWS
2457701.793	2444	0.0776	0.0036	ASASSN-V
2457946.063	2504	0.078	0.0077	KWS
2458047.888	2529	0.1243	0.0033	ASASSN-V
2458312.495	2594	0.1048	0.0192	KWS
2458695.163	2688	0.0837	0.0152	KWS
2459061.604	2778	0.1197	0.0154	KWS
