HJD	Epoch	O-C	O-Cerr	Source
2429511.933	-833	0.7618	1.0	Szabados1991 Arch.
2429837.43	-814	0.5882	1.0	Szabados1991 Arch.
2431636.879	-709	0.2791	1.0	Szabados1991 Arch.
2432459.483	-661	0.1365	1.0	Szabados1991 Arch.
2433076.391	-626	-0.0155	0.4281	Mitchell1964
2433110.947	-623	0.2594	0.2	Szabados1991 Arch.
2433453.569	-603	0.0703	1.0	Szabados1991 Arch.
2434413.362	-547	-0.0077	1.0	Szabados1991 Arch.
2435492.984	-484	-0.2406	1.0	Szabados1991 Arch.
2435578.845	-479	-0.0824	0.5	Szabados1991 Arch.
2436229.898	-441	-0.3704	1.0	Szabados1991 Arch.
2437155.535	-387	-0.3233	0.3	Szabados1991 Arch.
2437944.36	-341	0.0362	0.5	Szabados1991 Arch.
2440738.046	-179	-0.1884	0.0805	Pel1976
2440909.275	-168	-0.3646	0.2	Szabados1991 Arch.
2441080.594	-159	-0.4516	0.1638	Pel1976
2441337.689	-143	-0.4645	0.2	Szabados1991 Arch.
2442897.585	-52	-0.3589	0.3	Szabados1991 Arch.
2443634.468	-10	-0.5198	0.1978	Szabados1980
2443805.844	0	-0.5493	0.2	Szabados1991 Arch.
2444371.391	32	-0.6407	0.0927	Moffett1984
2444388.764	33	-0.408	0.1698	Berdnikov2008
2444439.977	37	-0.6168	0.3	Szabados1991 Arch.
2444611.591	47	-0.4083	0.2	Szabados1991 Arch.
2444782.871	56	-0.5343	0.1968	Berdnikov2008
2445091.472	74	-0.4626	0.207	Berdnikov2008
2445485.752	97	-0.4158	0.148	Berdnikov2008
2445862.683	119	-0.5771	0.1381	Berdnikov2008
2447388.11	208	-0.6591	0.0911	Berdnikov2008
2448502.078	273	-0.8272	0.1587	Berdnikov2008
2448793.585	290	-0.7099	0.1272	Barnes1997
2448844.977	293	-0.7395	0.1437	Berdnikov2008
2449513.477	332	-0.7206	0.1382	Berdnikov2008
2449924.801	356	-0.7701	0.2525	Berdnikov2008
2450301.93	378	-0.733	0.215	Berdnikov2008
2451964.429	475	-0.868	0.2828	ASAS
2452427.441	502	-0.6507	0.1633	ASAS
2452701.565	518	-0.7757	0.1158	IOMC
2452718.906	519	-0.5758	0.0903	ASAS
2453061.675	539	-0.6178	0.056	IOMC
2453078.679	540	-0.7544	0.1246	ASAS
2453421.526	560	-0.7182	0.2954	ASAS
2453472.817	563	-0.8484	0.1281	IOMC
2453798.681	582	-0.6551	0.1397	ASAS
2453832.862	584	-0.7549	0.0394	IOMC
2454175.811	604	-0.6171	0.1243	ASAS
2454210.219	606	-0.4906	0.0669	IOMC
2454535.912	625	-0.4677	0.0999	ASAS
2454707.129	635	-0.6567	0.2246	IOMC
2454912.907	647	-0.5648	0.0695	ASAS
2455667.324	691	-0.3327	0.1707	KWS
2456043.996	713	-0.7525	0.1869	KWS
2456404.143	734	-0.558	0.1647	KWS
2456695.43	751	-0.6602	0.0797	KWS
2457055.734	772	-0.3076	0.1809	ASASSN-V
2457141.176	777	-0.5688	0.0659	KWS
2457415.621	793	-0.3718	0.2456	ASASSN-V
2457484.067	797	-0.4883	0.1244	KWS
2457792.381	815	-0.7043	0.0951	KWS
2457792.619	815	-0.4668	0.1241	ASASSN-V
2458169.739	837	-0.4385	0.2106	ASASSN-V
2458204.02	839	-0.4385	0.3401	ASASSN-g
2458221.059	840	-0.5404	0.098	KWS
2458529.778	858	-0.3514	0.3548	ASASSN-g
2458598.217	862	-0.4741	0.1215	KWS
