HJD	Epoch	O-C	O-Cerr	Source
2411880.574	-2942	0.2458	0.0925	AAVSO
2412238.097	-2905	0.353	0.0701	AAVSO
2412586.086	-2869	0.5867	0.0698	AAVSO
2412933.575	-2833	0.32	0.0593	AAVSO
2413281.388	-2797	0.3778	0.0768	AAVSO
2413629.225	-2761	0.4588	0.0581	AAVSO
2414498.376	-2671	0.2212	0.0376	AAVSO
2414991.314	-2620	0.5061	0.3161	AAVSO
2415387.071	-2579	0.2082	0.0762	AAVSO
2416111.306	-2504	-0.0476	0.093	AAVSO
2416497.856	-2464	0.1071	0.0836	AAVSO
2416922.984	-2420	0.2002	0.0662	AAVSO
2417666.542	-2343	-0.0514	0.0524	AAVSO
2418207.921	-2287	0.3746	0.1539	AAVSO
2418700.368	-2236	0.1675	0.0661	AAVSO
2419830.178	-2119	-0.2276	0.1062	AAVSO
2426128.802	-1467	0.1575	0.05	Szabados1989 Arch.
2426292.834	-1450	-0.0277	0.0124	Pingsdorf1935
2426466.789	-1432	0.0489	0.05	Szabados1989 Arch.
2433808.278	-672	0.0329	0.05	Szabados1989 Arch.
2434523.165	-598	0.0894	0.0637	AAVSO
2434523.168	-598	0.0925	0.0672	Mitchell1964
2434523.374	-598	0.2981	0.0742	Eggen1957
2434542.646	-596	0.2504	0.05	Szabados1989 Arch.
2434629.5	-587	0.1655	0.03	Szabados1989 Arch.
2434870.925	-562	0.0935	0.0372	Mitchell1964
2434870.925	-562	0.0937	0.0398	AAVSO
2434871.0	-562	0.1693	0.0186	Eggen1957
2434919.215	-557	0.0843	0.02	Szabados1989 Arch.
2435160.764	-532	0.1369	0.0474	Irwin1961
2435228.366	-525	0.1193	0.02	Szabados1989 Arch.
2435238.127	-524	0.2204	0.0533	AAVSO
2435238.127	-524	0.2204	0.0562	Mitchell1964
2437798.118	-259	0.3448	0.0137	Walraven1964
2437846.206	-254	0.1332	0.02	Szabados1989 Arch.
2440232.327	-7	0.2653	0.03	Stobie1970
2440309.582	0	0.241	0.02	Szabados1989 Arch.
2441922.724	167	0.1839	0.1694	AAVSO
2442859.763	264	0.215	0.03	Szabados1989 Arch.
2443593.951	340	0.2523	0.0912	Eggen1985
2443603.627	341	0.2687	0.03	Szabados1989 Arch.
2444443.929	428	0.1614	0.075	Eggen1985
2444695.148	454	0.2238	0.03	Szabados1989 Arch.
2445149.19	501	0.2517	0.05	Szabados1989 Arch.
2445834.982	572	0.1929	0.0703	AAVSO
2446917.001	684	0.3055	0.2061	AAVSO
2447612.521	756	0.3147	0.0708	AAVSO
2447883.097	784	0.4147	0.0114	Hipp
2448259.828	823	0.4102	0.0074	Hipp
2448307.92	828	0.2024	0.1229	AAVSO
2448607.579	859	0.4053	0.0064	Hipp
2448656.034	864	0.5609	0.0921	AAVSO
2448955.324	895	0.3947	0.2741	Hipp
2449003.605	900	0.3769	0.0755	AAVSO
2449351.483	936	0.4992	0.0656	AAVSO
2449699.224	972	0.485	0.0937	AAVSO
2450076.119	1011	0.6447	0.0778	AAVSO
2450375.363	1042	0.4321	0.0079	Berdnikov2008
2450423.515	1047	0.285	0.0708	AAVSO
2450839.067	1090	0.4621	0.1846	AAVSO
2450887.383	1095	0.4791	0.0067	Berdnikov2008
2451215.983	1129	0.6439	0.0717	AAVSO
2451244.756	1132	0.4373	0.0073	Berdnikov2008
2451563.514	1165	0.4192	0.097	AAVSO
2451621.49	1171	0.4355	0.0093	Berdnikov2008
2451950.133	1205	0.6429	0.4479	AAVSO
2451969.216	1207	0.406	0.0404	Berdnikov2008
2452317.009	1243	0.4442	0.0071	Berdnikov2008
2452655.184	1278	0.5234	0.1506	AAVSO
2452664.707	1279	0.3867	0.0175	Berdnikov2008
2452954.579	1309	0.4621	0.0141	ASASSN-V
2453012.549	1315	0.4724	0.012	Berdnikov2008
2453012.677	1315	0.6002	0.1267	AAVSO
2453350.794	1350	0.6222	0.0333	ASASSN-V
2453698.316	1386	0.3885	0.0308	ASASSN-V
2453746.638	1391	0.4113	0.141	AAVSO
2454084.778	1426	0.4557	0.0237	ASASSN-V
2454219.84	1440	0.2791	0.1799	AAVSO
2454432.516	1462	0.4385	0.0102	ASASSN-V
2454654.573	1485	0.318	0.2256	AAVSO
2454789.919	1499	0.4256	0.0109	ASASSN-V
2455311.678	1553	0.5511	0.1097	AAVSO
2455659.265	1589	0.3834	0.1929	AAVSO
2456007.263	1625	0.6256	0.14	AAVSO
2456354.849	1661	0.456	0.09	AAVSO
2456702.441	1697	0.2927	0.0744	AAVSO
2456895.91	1717	0.564	0.0365	Gaia-dr2
2457050.281	1733	0.3773	0.1045	AAVSO
2457291.935	1758	0.534	0.0397	Gaia-dr2
2457398.088	1769	0.4283	0.0903	AAVSO
2457436.645	1773	0.3462	0.0381	ASAS
2457745.911	1805	0.4958	0.0824	AAVSO
2457784.548	1809	0.4935	0.0147	ASAS
2458093.593	1841	0.4221	0.0826	AAVSO
2458151.602	1847	0.4717	0.0178	ASAS
