HJD	Epoch	O-C	O-Cerr	Source
2407632.426	-4180	0.1345	0.08	Szabados1991 Arch.
2407950.926	-4142	0.1153	0.08	Szabados1991 Arch.
2408312.126	-4099	0.8856	0.08	Szabados1991 Arch.
2408781.426	-4043	0.7887	0.08	Szabados1991 Arch.
2409049.426	-4011	0.562	0.08	Szabados1991 Arch.
2409443.426	-3964	0.6039	0.08	Szabados1991 Arch.
2409769.951	-3925	0.2276	0.08	Szabados1991 Arch.
2409828.819	-3918	0.421	0.05	Szabados1991 Arch.
2409887.284	-3911	0.2114	0.05	Szabados1991 Arch.
2409887.766	-3911	0.6934	0.08	Szabados1991 Arch.
2410113.426	-3884	0.0371	0.08	Szabados1991 Arch.
2410164.025	-3878	0.3436	0.05	Szabados1991 Arch.
2410196.915	-3875	-0.2945	0.0791	AAVSO
2410214.476	-3872	0.502	0.08	Szabados1991 Arch.
2410515.676	-3836	-0.0531	0.08	Szabados1991 Arch.
2410549.365	-3832	0.1071	0.0805	AAVSO
2410566.274	-3830	0.2524	0.05	Szabados1991 Arch.
2410876.386	-3793	0.2272	0.08	Szabados1991 Arch.
2410943.581	-3785	0.3656	0.08	Szabados1991 Arch.
2411244.966	-3749	-0.0045	0.08	Szabados1991 Arch.
2411262.078	-3747	0.3433	0.05	Szabados1991 Arch.
2411287.386	-3744	0.505	0.08	Szabados1991 Arch.
2411614.104	-3705	0.3217	0.05	Szabados1991 Arch.
2411974.186	-3662	-0.026	0.05	Szabados1991 Arch.
2412385.146	-3613	0.2118	0.08	Szabados1991 Arch.
2412712.146	-3574	0.3104	0.08	Szabados1991 Arch.
2413038.946	-3535	0.2091	0.08	Szabados1991 Arch.
2414195.487	-3397	0.0222	0.05	Szabados1991 Arch.
2414547.773	-3355	0.2606	0.08	Szabados1991 Arch.
2414866.58	-3317	0.5483	0.08	Szabados1991 Arch.
2414933.16	-3309	0.0716	0.05	Szabados1991 Arch.
2415227.081	-3274	0.6196	0.08	Szabados1991 Arch.
