HJD	Epoch	O-C	O-Cerr	Source
2401341.058	-629	43.0527	0.6	MahmoudSzabados1980 Arch.
2401745.436	-623	39.4299	2.4071	AAVSO
2401815.09	-622	41.0847	0.6	MahmoudSzabados1980 Arch.
2402091.167	-618	45.1617	0.5	MahmoudSzabados1980 Arch.
2402094.106	-618	48.1002	1.1504	AAVSO
2402428.365	-613	42.3597	0.5	MahmoudSzabados1980 Arch.
2402430.063	-613	44.0577	0.8691	AAVSO
2402498.641	-612	44.6357	0.5	MahmoudSzabados1980 Arch.
2402769.643	-608	43.6375	1.2882	AAVSO
2402772.447	-608	46.4417	0.5	MahmoudSzabados1980 Arch.
2402834.187	-607	40.1817	0.5	MahmoudSzabados1980 Arch.
2403104.123	-603	38.117	2.5537	AAVSO
2403170.009	-602	36.0037	0.5	MahmoudSzabados1980 Arch.
2403244.62	-601	42.6147	0.6	MahmoudSzabados1980 Arch.
2403442.215	-598	36.2094	1.5916	AAVSO
2403510.717	-597	36.7117	0.5	MahmoudSzabados1980 Arch.
2403515.191	-597	41.1857	0.5	MahmoudSzabados1980 Arch.
2403847.833	-592	33.8269	0.4736	AAVSO
2403983.579	-590	33.5737	0.5	MahmoudSzabados1980 Arch.
2404186.641	-587	32.6354	0.4412	AAVSO
2404321.328	-585	31.3227	0.5	MahmoudSzabados1980 Arch.
2404522.364	-582	28.3585	0.4061	AAVSO
2404655.016	-580	25.0107	0.5	MahmoudSzabados1980 Arch.
2404857.648	-577	23.6423	0.4744	AAVSO
2405060.218	-574	22.2127	0.5	MahmoudSzabados1980 Arch.
2405195.805	-572	21.7989	0.5284	AAVSO
2405466.109	-568	20.1037	0.5	MahmoudSzabados1980 Arch.
2405528.832	-567	14.8263	0.4759	AAVSO
2405864.294	-562	10.288	1.0013	AAVSO
2405997.683	-560	7.6777	0.5	MahmoudSzabados1980 Arch.
2406138.829	-558	12.8237	0.5	MahmoudSzabados1980 Arch.
2406201.007	-557	7.0017	0.6	MahmoudSzabados1980 Arch.
2406404.399	-554	6.3937	0.5	MahmoudSzabados1980 Arch.
2406817.104	-548	11.0987	0.5	MahmoudSzabados1980 Arch.
2408008.964	-531	-21.0413	0.5	MahmoudSzabados1980 Arch.
2408367.913	-525	-2.0923	0.6	MahmoudSzabados1980 Arch.
2408704.353	-520	-5.6523	0.5	MahmoudSzabados1980 Arch.
2409039.074	-515	-10.9313	0.5	MahmoudSzabados1980 Arch.
2409110.175	-514	-7.8303	0.6	MahmoudSzabados1980 Arch.
2409381.09	-510	-8.9153	0.5	MahmoudSzabados1980 Arch.
2409381.699	-511	-8.3071	1.7049	AAVSO
2409444.965	-510	-13.0403	0.5	MahmoudSzabados1980 Arch.
2409720.896	-506	-9.1094	1.0874	AAVSO
2409787.118	-504	-10.8873	0.5	MahmoudSzabados1980 Arch.
2409792.143	-504	-5.8623	0.5	MahmoudSzabados1980 Arch.
2410061.394	-501	-8.6117	2.8235	AAVSO
2410126.037	-499	-11.9683	0.5	MahmoudSzabados1980 Arch.
2410876.216	-488	-9.7893	0.6	MahmoudSzabados1980 Arch.
2412762.915	-461	-27.0903	0.5	MahmoudSzabados1980 Arch.
2412772.829	-461	-17.1763	0.5	MahmoudSzabados1980 Arch.
2413519.929	-450	-18.0763	0.6	MahmoudSzabados1980 Arch.
2414868.929	-430	-29.0763	0.6	MahmoudSzabados1980 Arch.
2415756.329	-417	-25.6763	0.6	MahmoudSzabados1980 Arch.
2416162.329	-411	-27.6763	0.6	MahmoudSzabados1980 Arch.
2416636.829	-404	-29.1763	0.6	MahmoudSzabados1980 Arch.
2416914.529	-400	-23.4763	0.6	MahmoudSzabados1980 Arch.
2417117.829	-397	-24.1763	0.6	MahmoudSzabados1980 Arch.
2417460.329	-392	-21.6763	0.6	MahmoudSzabados1980 Arch.
2417800.929	-387	-21.0763	0.6	MahmoudSzabados1980 Arch.
2417802.929	-387	-19.0763	0.6	MahmoudSzabados1980 Arch.
2418138.229	-382	-23.7763	0.6	MahmoudSzabados1980 Arch.
2418211.829	-381	-18.1763	0.6	MahmoudSzabados1980 Arch.
2418547.929	-376	-22.0763	0.6	MahmoudSzabados1980 Arch.
2418820.529	-372	-21.4763	0.6	MahmoudSzabados1980 Arch.
2418947.772	-370	-30.2333	0.6	MahmoudSzabados1980 Arch.
2419296.329	-365	-21.6763	0.6	MahmoudSzabados1980 Arch.
2419636.329	-360	-21.6763	0.6	MahmoudSzabados1980 Arch.
2419982.829	-355	-15.1763	0.6	MahmoudSzabados1980 Arch.
2420395.429	-348	-10.5763	0.6	MahmoudSzabados1980 Arch.
2420736.329	-343	-9.6763	0.6	MahmoudSzabados1980 Arch.
2420738.522	-343	-7.4833	0.6	MahmoudSzabados1980 Arch.
2421013.929	-339	-4.0763	0.5	MahmoudSzabados1980 Arch.
2421143.793	-337	-10.2123	0.6	MahmoudSzabados1980 Arch.
2421415.052	-333	-10.9533	0.5	MahmoudSzabados1980 Arch.
2421421.66	-333	-4.3453	0.6	MahmoudSzabados1980 Arch.
2421554.829	-331	-7.1763	0.5	MahmoudSzabados1980 Arch.
2421755.967	-328	-10.0383	0.5	MahmoudSzabados1980 Arch.
2421829.929	-327	-4.0763	0.5	MahmoudSzabados1980 Arch.
2421830.854	-327	-3.1513	0.6	MahmoudSzabados1980 Arch.
2422097.777	-323	-8.2283	0.5	MahmoudSzabados1980 Arch.
2422235.781	-321	-6.2243	0.6	MahmoudSzabados1980 Arch.
2422435.182	-318	-10.8233	0.5	MahmoudSzabados1980 Arch.
2422637.929	-316	-12.0763	0.5	MahmoudSzabados1980 Arch.
2422978.319	-310	-11.6863	0.5	MahmoudSzabados1980 Arch.
2423244.967	-307	-17.0383	0.5	MahmoudSzabados1980 Arch.
2423654.092	-301	-15.9133	0.6	MahmoudSzabados1980 Arch.
2423724.643	-300	-13.3623	0.5	MahmoudSzabados1980 Arch.
2423726.929	-299	-11.0763	0.5	MahmoudSzabados1980 Arch.
2423928.999	-297	-13.0063	0.5	MahmoudSzabados1980 Arch.
2424059.638	-295	-18.3673	0.5	MahmoudSzabados1980 Arch.
2424063.906	-295	-14.0993	0.6	MahmoudSzabados1980 Arch.
2424267.23	-292	-14.7753	0.5	MahmoudSzabados1980 Arch.
2424347.929	-290	-2.0763	0.5	MahmoudSzabados1980 Arch.
2424402.618	-290	-15.3873	0.5	MahmoudSzabados1980 Arch.
2424403.513	-290	-14.4923	0.5	MahmoudSzabados1980 Arch.
2424671.675	-286	-18.3303	0.6	MahmoudSzabados1980 Arch.
2424743.396	-285	-14.6093	0.5	MahmoudSzabados1980 Arch.
2425080.387	-280	-17.6183	0.5	MahmoudSzabados1980 Arch.
2425144.537	-279	-21.4683	0.5	MahmoudSzabados1980 Arch.
2425147.29	-279	-18.7153	0.5	MahmoudSzabados1980 Arch.
2425486.897	-274	-19.1083	0.5	MahmoudSzabados1980 Arch.
2425689.808	-271	-20.1973	0.5	MahmoudSzabados1980 Arch.
2425822.925	-269	-23.0803	0.5	MahmoudSzabados1980 Arch.
2425962.729	-267	-19.2763	0.5	MahmoudSzabados1980 Arch.
2426158.329	-264	-27.6763	0.5	MahmoudSzabados1980 Arch.
2426158.659	-264	-27.3463	0.5	MahmoudSzabados1980 Arch.
2426229.329	-263	-24.6763	0.5	MahmoudSzabados1980 Arch.
2426229.711	-263	-24.2943	0.6	MahmoudSzabados1980 Arch.
2426232.189	-263	-21.8163	0.6	MahmoudSzabados1980 Arch.
2426295.829	-262	-26.1763	0.6	MahmoudSzabados1980 Arch.
2426502.329	-259	-23.6763	0.5	MahmoudSzabados1980 Arch.
2426568.354	-258	-25.6513	0.5	MahmoudSzabados1980 Arch.
2426572.828	-258	-21.1773	0.6	MahmoudSzabados1980 Arch.
2426642.329	-257	-19.6763	0.6	MahmoudSzabados1980 Arch.
2426846.229	-254	-19.7763	0.5	MahmoudSzabados1980 Arch.
2426981.529	-252	-20.4763	0.5	MahmoudSzabados1980 Arch.
2427319.629	-247	-22.3763	0.6	MahmoudSzabados1980 Arch.
2427532.731	-244	-13.2743	0.6	MahmoudSzabados1980 Arch.
2427660.329	-242	-21.6763	0.6	MahmoudSzabados1980 Arch.
2428005.229	-237	-16.7763	0.6	MahmoudSzabados1980 Arch.
2428351.602	-231	-10.4033	0.5	MahmoudSzabados1980 Arch.
2428417.829	-231	-12.1763	0.6	MahmoudSzabados1980 Arch.
2428621.071	-228	-12.9343	0.6	MahmoudSzabados1980 Arch.
2428691.329	-226	-10.6763	0.5	MahmoudSzabados1980 Arch.
2428828.329	-224	-9.6763	0.6	MahmoudSzabados1980 Arch.
2428830.521	-224	-7.4843	0.6	MahmoudSzabados1980 Arch.
2429102.329	-220	-7.6763	0.6	MahmoudSzabados1980 Arch.
2429103.914	-220	-6.0913	0.6	MahmoudSzabados1980 Arch.
2429235.329	-218	-10.6763	0.5	MahmoudSzabados1980 Arch.
2429442.929	-215	-7.0763	0.6	MahmoudSzabados1980 Arch.
2429510.329	-214	-7.6763	0.6	MahmoudSzabados1980 Arch.
2429781.829	-210	-8.1763	0.5	MahmoudSzabados1980 Arch.
2429921.929	-208	-4.0763	0.6	MahmoudSzabados1980 Arch.
2430122.929	-205	-7.0763	0.6	MahmoudSzabados1980 Arch.
2430193.229	-204	-4.7763	0.6	MahmoudSzabados1980 Arch.
2430532.829	-199	-5.1763	0.6	MahmoudSzabados1980 Arch.
2430666.829	-197	-7.1763	0.6	MahmoudSzabados1980 Arch.
2430806.929	-195	-3.0763	0.6	MahmoudSzabados1980 Arch.
2431014.829	-192	0.8237	0.6	MahmoudSzabados1980 Arch.
2431278.929	-188	-7.0763	0.6	MahmoudSzabados1980 Arch.
2431623.329	-183	-2.6763	0.6	MahmoudSzabados1980 Arch.
2431760.329	-181	-1.6763	0.6	MahmoudSzabados1980 Arch.
2431962.042	-179	-3.9635	0.6362	AAVSO
2432036.329	-177	2.3237	0.6	MahmoudSzabados1980 Arch.
2432165.929	-175	-4.0763	0.6	MahmoudSzabados1980 Arch.
2432297.833	-174	-8.1726	1.5601	AAVSO
2432633.035	-169	-12.9706	0.5476	AAVSO
2432831.929	-166	-18.0763	0.6	MahmoudSzabados1980 Arch.
2433510.929	-156	-19.0763	0.6	MahmoudSzabados1980 Arch.
2433915.929	-150	-22.0763	0.6	MahmoudSzabados1980 Arch.
2434192.329	-146	-17.6763	0.6	MahmoudSzabados1980 Arch.
2434663.329	-139	-22.6763	0.6	MahmoudSzabados1980 Arch.
2434894.675	-135	4.6697	0.6	MahmoudSzabados1980 Arch.
2435006.829	-134	-19.1763	0.6	MahmoudSzabados1980 Arch.
2435143.829	-132	-18.1763	0.6	MahmoudSzabados1980 Arch.
2435346.629	-129	-19.3763	0.6	MahmoudSzabados1980 Arch.
2436107.435	-117	-6.5703	0.6	MahmoudSzabados1980 Arch.
2436452.342	-112	-1.6633	0.6	MahmoudSzabados1980 Arch.
2436795.929	-107	1.9237	0.6	MahmoudSzabados1980 Arch.
2436799.865	-107	5.8597	0.6	MahmoudSzabados1980 Arch.
2437137.929	-102	3.9237	0.5	MahmoudSzabados1980 Arch.
2437140.505	-102	6.4997	0.5	MahmoudSzabados1980 Arch.
2437481.351	-97	7.3457	0.6	MahmoudSzabados1980 Arch.
2437893.929	-91	11.9237	0.5	MahmoudSzabados1980 Arch.
2438237.724	-86	15.7187	0.5	MahmoudSzabados1980 Arch.
