HJD	Epoch	O-C	O-Cerr	Source
2413847.208	-5579	1.3395	0.1318	Harvard
2414917.739	-5426	1.5651	0.1043	Harvard
2415330.346	-5367	1.4402	0.1171	Harvard
2415659.145	-5320	1.4525	0.0915	Harvard
2416029.788	-5267	1.3362	0.0944	Harvard
2416393.581	-5215	1.365	0.0809	Harvard
2416750.28	-5164	1.2954	0.0874	Harvard
2417114.027	-5112	1.2779	0.1	Harvard
2417498.68	-5057	1.1805	0.2526	Harvard
2417862.649	-5005	1.3856	0.098	Harvard
2418240.042	-4951	1.0236	0.1045	Harvard
2418582.982	-4902	1.1864	0.1838	Harvard
2418960.82	-4848	1.2693	0.1397	Harvard
2419324.314	-4796	0.9995	0.1198	Harvard
2419695.145	-4743	1.0704	0.104	Harvard
2420037.991	-4694	1.1388	0.2014	Harvard
2420429.653	-4638	1.0553	0.0932	Harvard
2420765.385	-4590	1.0052	0.1263	Harvard
2421122.312	-4539	1.1633	0.1301	Harvard
2421485.97	-4487	1.0579	0.117	Harvard
2421863.361	-4433	0.6937	0.2038	Harvard
2422283.51	-4373	1.1143	0.1424	Harvard
2422605.094	-4327	0.9071	0.1338	Harvard
2422961.744	-4276	0.7893	0.0874	Harvard
2423346.748	-4221	1.0426	0.1192	Harvard
2423717.184	-4168	0.7194	0.1106	Harvard
2424074.169	-4117	0.9358	0.1195	Harvard
2424458.741	-4062	0.757	0.195	Harvard
2424808.504	-4012	0.7472	0.1256	Harvard
2425158.352	-3962	0.8214	0.3259	Harvard
2425542.923	-3907	0.6428	0.1082	Harvard
2425899.773	-3856	0.7238	0.1048	Harvard
2426242.487	-3807	0.6606	0.1461	Harvard
2426620.442	-3753	0.8599	0.1115	Harvard
2426990.975	-3700	0.6341	0.1114	Harvard
2427354.6	-3648	0.4945	0.1346	Harvard
2427683.602	-3601	0.7096	0.1234	Harvard
2428089.197	-3543	0.568	0.1188	Harvard
2428452.956	-3491	0.5632	0.1591	Harvard
2428816.737	-3439	0.5805	0.1555	Harvard
2429180.443	-3387	0.5221	0.1797	Harvard
2429306.341	-3369	0.5017	0.05	Vinko1991 Arch.
2429558.18	-3333	0.5047	0.1663	Harvard
2429691.102	-3314	0.5123	0.05	Vinko1991 Arch.
2429901.042	-3284	0.5888	0.173	Harvard
2430054.746	-3262	0.3923	0.05	Vinko1991 Arch.
2430250.648	-3234	0.4216	0.1488	Harvard
2430614.329	-3182	0.3385	0.147	Harvard
2430999.138	-3127	0.3974	0.1316	Harvard
2431166.995	-3103	0.3628	0.08	Vinko1991 Arch.
2431355.912	-3076	0.403	0.1647	Harvard
2431677.563	-3030	0.262	0.1475	Harvard
2431901.545	-2998	0.3893	0.08	Vinko1991 Arch.
2431971.407	-2988	0.2968	0.1385	Harvard
2432265.269	-2946	0.3494	0.1806	Harvard
2432559.107	-2904	0.3779	0.1481	Harvard
2432852.858	-2862	0.3198	0.1975	Harvard
2432971.827	-2845	0.3656	0.08	Vinko1991 Arch.
2433153.722	-2819	0.379	0.1632	Harvard
2433328.504	-2794	0.274	0.05	Vinko1991 Arch.
2433531.55	-2765	0.4517	0.1282	Harvard
2433979.078	-2701	0.2707	0.1394	Harvard
2434084.186	-2686	0.4461	0.08	Vinko1991 Arch.
2434300.956	-2655	0.3569	0.179	Harvard
2435532.16	-2479	0.3601	0.0244	Mitchell1964
2435567.154	-2474	0.3762	0.03	Vinko1991 Arch.
2436854.103	-2290	0.16	0.0336	Mitchell1964
2437015.025	-2267	0.1866	0.03	Vinko1991 Arch.
2437602.72	-2183	0.2628	0.0419	Mitchell1964
2437651.577	-2176	0.1515	0.03	Vinko1991 Arch.
2438784.883	-2014	0.1927	0.03	Vinko1991 Arch.
2439428.358	-1922	0.0852	0.03	Vinko1991 Arch.
2440659.579	-1746	0.1055	0.0437	Pel1976
2440708.595	-1739	0.1526	0.02	Vinko1991 Arch.
2442044.329	-1549	-0.2463	0.2022	Harvard
2442359.63	-1503	0.2587	0.0921	Harvard
2442744.135	-1448	0.0134	0.1275	Harvard
2443072.929	-1401	0.0207	0.1493	Harvard
2443457.452	-1347	-0.2072	0.2471	Harvard
2444164.517	-1245	0.3171	0.2705	Harvard
2444548.968	-1190	0.017	0.0507	Moffett1984
2444562.953	-1188	0.0111	0.02	Vinko1991 Arch.
2444905.699	-1140	-0.02	0.1297	Harvard
2444905.788	-1139	0.0683	0.0097	Moffett1984
2445010.705	-1124	0.0535	0.02	Vinko1991 Arch.
2445290.375	-1085	-0.0943	0.1262	Harvard
2445640.237	-1035	-0.0057	0.1528	Harvard
2446360.931	-931	0.156	0.1866	Harvard
2446787.202	-871	-0.2965	0.1347	Harvard
2447109.02	-825	-0.2703	0.2244	Harvard
2447451.997	-776	-0.0704	0.1603	Harvard
2447955.676	-704	-0.0651	0.0129	Hipp
2448305.503	-654	-0.0107	0.0243	Hipp
2448697.637	-597	0.3769	0.3492	Hipp
2449033.002	-550	-0.0401	0.1094	Hipp
2450802.981	-296	0.0871	0.0514	Berdnikov2008
2451880.177	-143	-0.018	0.0082	ASAS
2452173.936	-101	-0.0681	0.0477	ASAS
2452516.749	-52	-0.033	0.0118	ASAS
2452712.512	-24	-0.1426	0.033	IOMC
2452880.546	0	-0.0001	0.0088	ASAS
2453069.479	27	0.0557	0.0526	Berdnikov2008
2453272.27	55	-0.022	0.034	ASAS
2453601.034	102	-0.0447	0.0186	ASAS
2453810.823	132	-0.1192	0.0354	IOMC
2453894.825	144	-0.0628	0.0339	ASAS
2454188.688	186	-0.0096	0.0136	ASAS
2454405.549	217	-0.0074	0.0444	IOMC
2454482.504	228	-0.003	0.0265	ASAS
2454776.32	271	0.0041	0.0123	ASAS
2455147.042	323	-0.0333	0.0343	ASAS
2455307.987	347	0.0153	0.0455	IOMC
2455524.907	378	0.0766	0.0633	KWS
2455699.745	403	0.0281	0.0281	IOMC
2455888.645	430	0.0505	0.0978	KWS
2456224.347	477	-0.0298	0.0234	KWS
2456574.14	527	-0.0103	0.034	KWS
2456637.178	537	0.069	0.0097	Berdnikov2015
2456951.926	582	0.0213	0.0297	KWS
2457007.864	589	-0.0046	0.0316	ASASSN-V
2457301.702	632	0.0236	0.0158	ASASSN-V
2457301.745	632	0.067	0.0401	KWS
2457609.522	676	0.0436	0.0131	ASASSN-V
2457665.455	684	0.0129	0.047	KWS
2457903.327	718	0.0395	0.0158	ASASSN-V
2458050.18	738	-0.0123	0.0306	KWS
2458197.159	760	0.0619	0.0151	ASASSN-V
2458218.009	762	-0.0745	0.0417	ASASSN-g
2458407.0	790	0.0389	0.0255	KWS
2458511.839	804	-0.0541	0.0393	ASASSN-g
2458777.697	842	-0.0237	0.0368	KWS
2458805.68	846	-0.022	0.0331	ASASSN-g
