HJD	Epoch	O-C	O-Cerr	Source
2414590.937	-5121	-0.0353	0.247	Harvard
2416396.062	-4878	0.057	0.0841	Harvard
2416752.717	-4830	0.1622	0.1014	Harvard
2417101.806	-4783	0.1297	0.1444	Harvard
2417472.874	-4733	-0.2087	0.7517	Harvard
2417867.205	-4680	0.4323	0.1531	Harvard
2418245.287	-4629	-0.3203	0.0795	Harvard
2418587.574	-4583	0.2737	0.1466	Harvard
2418973.576	-4531	0.0132	0.1551	Harvard
2419709.184	-4432	0.2371	0.1887	Harvard
2420080.173	-4382	-0.1797	0.166	Harvard
2420429.661	-4335	0.1872	0.1071	Harvard
2420778.505	-4288	-0.0911	0.0579	Harvard
2421172.291	-4235	0.0052	0.1212	Harvard
2421536.263	-4186	-0.0013	0.1349	Harvard
2421990.69	-4125	0.3308	0.15	Oosterhoff1935 Arch.
2422657.95	-4035	0.0401	0.1454	Harvard
2422999.8	-3989	-0.7835	0.15	Oosterhoff1935 Arch.
2423036.756	-3984	0.0113	0.2001	Harvard
2423385.807	-3937	-0.0589	0.0608	Harvard
2423742.277	-3889	-0.1388	0.1845	Harvard
2424091.159	-3842	-0.3783	0.3309	Harvard
2424857.79	-3739	0.1765	0.15	Oosterhoff1935 Arch.
2425176.135	-3696	0.0919	0.5276	Harvard
2425539.655	-3647	-0.3663	0.1517	Harvard
2425615.49	-3637	0.2082	0.15	Oosterhoff1935 Arch.
2425644.41	-3633	-0.5842	0.15	Oosterhoff1935 Arch.
2425911.523	-3597	0.0964	0.0693	Harvard
2425943.55	-3593	1.431	0.15	Oosterhoff1935 Arch.
2425972.52	-3589	0.6885	0.15	Oosterhoff1935 Arch.
2426267.759	-3549	-0.2179	0.073	Harvard
2426424.53	-3528	-0.4168	0.15	Oosterhoff1935 Arch.
2426624.45	-3501	-0.0768	0.0711	Harvard
2426981.02	-3453	-0.0565	0.2043	Harvard
2426981.59	-3453	-0.4658	0.15	Oosterhoff1935 Arch.
2427359.783	-3402	-0.1269	0.202	Harvard
2427723.833	-3353	-0.0551	0.1945	Harvard
2428072.734	-3306	-0.2762	0.1239	Harvard
2428451.97	-3255	0.1259	0.1009	Harvard
2428815.659	-3206	-0.1623	0.0753	Harvard
2429194.372	-3155	-0.284	0.0726	Harvard
2429551.228	-3107	0.022	0.1103	Harvard
2429900.331	-3060	0.0035	0.079	Harvard
2430249.447	-3013	-0.002	0.1629	Harvard
2430613.085	-2964	-0.3417	0.0822	Harvard
2430977.102	-2915	-0.3026	0.0873	Harvard
2431326.198	-2868	-0.328	0.1901	Harvard
2431675.518	-2821	-0.1302	0.1259	Harvard
2432091.677	-2765	0.0546	0.1441	Harvard
2432797.247	-2670	-0.0466	0.1121	Harvard
2433175.922	-2619	-0.2061	0.102	Harvard
2433532.656	-2571	-0.0221	0.1391	Harvard
2433926.175	-2518	-0.1932	0.331	Harvard
2434282.909	-2470	-0.0094	0.1739	Harvard
2437595.78	-2024	-0.0799	0.1675	Mitchell1964
2439905.969	-1713	-0.0356	0.2398	Harvard
2440730.145	-1602	-0.3807	0.2533	Harvard
2440975.554	-1569	-0.1004	0.0126	Pel1976
2442743.44	-1331	-0.107	0.0799	Harvard
2445313.375	-985	-0.3011	0.1055	Harvard
2446019.025	-890	-0.3229	0.1284	Harvard
2446375.77	-842	-0.127	0.1002	Harvard
2446732.113	-794	-0.3338	0.1191	Harvard
2447452.666	-697	-0.3088	0.151	Harvard
2447957.925	-629	-0.1619	0.0168	Hipp
2448307.061	-582	-0.148	0.0105	Hipp
2448700.753	-529	-0.1459	0.0151	Hipp
2448878.992	-505	-0.1814	0.0173	Berdnikov2008
2449800.163	-381	-0.0975	0.0076	Berdnikov2008
2450802.948	-246	-0.1093	0.0095	Berdnikov2008
2451976.687	-88	-0.0131	0.0245	ASAS
2452496.63	-18	-0.0382	0.0117	ASAS
2452882.887	34	-0.0432	0.0132	ASAS
2453269.162	86	-0.0305	0.0156	ASAS
2453625.717	134	-0.0254	0.0092	ASAS
2454086.249	196	-0.0366	0.0105	ASAS
2454435.389	243	-0.0182	0.0075	ASAS
2454784.507	290	-0.0218	0.0164	ASAS
2455141.055	338	-0.0241	0.0189	ASAS
2455527.471	390	0.1293	0.1009	KWS
2455884.022	438	0.1313	0.0332	KWS
2456233.039	485	0.0264	0.0301	KWS
2456589.579	533	0.0161	0.0158	KWS
2456634.692	539	0.5609	0.0081	Berdnikov2015
2456938.64	580	-0.0439	0.0239	KWS
2457005.601	589	0.0634	0.0346	ASASSN-V
2457302.751	629	0.0892	0.021	KWS
2457354.73	636	0.0712	0.0199	ASASSN-V
2457666.706	678	0.0666	0.0229	KWS
2457703.84	683	0.0592	0.0095	ASASSN-V
2458045.577	729	0.1033	0.0202	KWS
2458052.967	730	0.0649	0.0117	ASASSN-V
2458402.121	777	0.0975	0.0203	KWS
