HJD	Epoch	O-C	O-Cerr	Source
2411936.745	-3357	-0.1293	0.3968	AAVSO
2412597.051	-3258	0.3233	0.1602	AAVSO
2412987.296	-3200	0.0425	0.1296	AAVSO
2413330.689	-3149	0.0429	0.0366	AAVSO
2413673.936	-3099	-0.1034	0.0802	AAVSO
2414495.514	-2976	0.0254	0.0514	AAVSO
2414986.943	-2904	-0.0691	0.2884	AAVSO
2415391.004	-2844	-0.0004	0.0543	AAVSO
2415485.235	-2830	-0.0338	0.2218	Harvard
2415841.921	-2777	-0.2072	0.1182	Harvard
2416084.698	-2740	0.1747	0.1314	AAVSO
2416185.268	-2726	-0.2536	0.2401	Harvard
2416461.475	-2685	-0.1071	0.0966	AAVSO
2416872.286	-2624	-0.0217	0.1426	Harvard
2416919.265	-2617	-0.1744	0.0855	AAVSO
2417262.848	-2565	0.0156	0.2029	AAVSO
2417646.973	-2508	0.3481	0.4244	Harvard
2417666.915	-2505	0.0905	0.0514	AAVSO
2417989.909	-2458	-0.1087	0.0968	Harvard
2418205.319	-2426	-0.1613	0.186	AAVSO
2418333.422	-2406	0.0114	0.1021	Harvard
2418690.192	-2354	-0.0786	0.1396	Harvard
2418697.059	-2352	0.0561	0.043	AAVSO
2419835.324	-2183	0.4106	0.0893	AAVSO
2419861.687	-2180	-0.1592	0.1556	Harvard
2420225.708	-2125	0.2693	0.2524	Harvard
2420548.764	-2077	0.1318	0.1099	AAVSO
2420589.243	-2071	0.2114	0.1453	Harvard
2420932.462	-2020	0.0371	0.2113	Harvard
2420946.062	-2018	0.1714	0.0859	AAVSO
2421309.232	-1965	-0.2514	0.1119	Harvard
2421309.699	-1964	0.2151	0.0708	AAVSO
2421665.923	-1912	-0.42	0.2452	Harvard
2422036.481	-1857	-0.1875	0.1499	Harvard
2422063.882	-1852	0.2808	0.049	AAVSO
2422400.011	-1803	-0.2498	0.3691	Harvard
2422407.44	-1801	0.4453	0.0567	AAVSO
2423154.297	-1691	-0.0818	0.2078	Harvard
2425793.693	-1298	-0.0991	0.05	Szabados1989 Arch.
2426036.35	-1262	0.1632	0.1138	Harvard
2426116.865	-1250	-0.1205	0.05	Szabados1989 Arch.
2426392.956	-1210	-0.0908	0.2952	Harvard
2426763.688	-1154	0.3159	0.2614	Harvard
2427524.729	-1041	0.5055	0.1001	Harvard
2427874.39	-989	0.0406	0.2667	Harvard
2428224.353	-938	-0.1224	0.1307	Harvard
2428944.602	-831	-0.3256	0.0858	Harvard
2429644.996	-727	-0.1845	0.1822	Harvard
2429988.936	-675	0.3632	0.4181	Harvard
2430338.334	-624	-0.3654	0.1421	Harvard
2430715.844	-567	0.0856	0.1747	Harvard
2431105.902	-510	-0.3813	0.1981	Harvard
2432197.341	-347	0.2796	0.1966	Harvard
2432587.826	-289	0.2397	0.2851	Harvard
2433813.004	-107	-0.0245	0.03	Szabados1989 Arch.
2434513.327	-3	0.0457	0.042	AAVSO
2434513.328	-3	0.0471	0.0389	Mitchell1964
2434870.087	49	-0.0533	0.02	Szabados1989 Arch.
2434870.209	49	0.0692	0.0552	Mitchell1964
2434870.209	49	0.0692	0.0558	AAVSO
2434957.62	62	-0.0518	0.05	Szabados1989 Arch.
2435159.529	91	-0.1389	0.0143	Irwin1961
2435213.445	100	-0.0883	0.03	Szabados1989 Arch.
2438876.507	644	0.1156	0.2033	AAVSO
2439906.364	796	-0.2069	0.088	AAVSO
2440250.17	848	0.2061	0.0943	AAVSO
2440263.364	849	-0.0664	0.0173	Stobie1970
2440317.227	858	-0.0689	0.05	Szabados1989 Arch.
2440647.116	906	-0.1063	0.0318	Pel1976
2440707.481	915	-0.3397	0.2715	AAVSO
2440741.352	921	-0.1352	0.02	Szabados1989 Arch.
2441798.445	1077	-0.1538	0.027	Dean1977
2441818.708	1081	-0.0906	0.02	Szabados1989 Arch.
2442101.514	1123	-0.0788	0.02	Szabados1989 Arch.
2442586.312	1195	-0.0709	0.03	Szabados1989 Arch.
