HJD	Epoch	O-C	O-Cerr	Source
2418200.455	-4851	0.1806	0.1	Szabados1989 Arch.
2426301.474	-3105	0.0757	0.1	Szabados1989 Arch.
2433785.453	-1492	0.0266	0.06	Szabados1989 Arch.
2434741.23	-1286	0.0009	0.06	Szabados1989 Arch.
2434843.281	-1264	-0.0241	0.04	Szabados1989 Arch.
2435205.2	-1186	-0.011	0.04	Szabados1989 Arch.
2440670.923	-8	0.0051	0.006	Pel1976
2440745.16	7	0.0051	0.02	Szabados1989 Arch.
2441765.961	227	0.0456	0.0149	Dean1977
2441803.044	235	0.0104	0.02	Szabados1989 Arch.
2442545.336	394	-0.0686	0.0264	Dean1977
2442554.668	397	-0.0163	0.02	Szabados1989 Arch.
2444285.324	769	-0.0128	0.019	Eggen1985
2444299.28	773	0.0238	0.02	Szabados1989 Arch.
2444646.993	847	-0.2496	0.0031	Gieren1985
2444800.326	881	-0.0307	0.04	Szabados1989 Arch.
2445041.615	933	-0.0123	0.02	Szabados1989 Arch.
2447857.984	1539	-0.0132	0.0042	Hipp
2448312.664	1637	-0.0358	0.0024	Hipp
2450539.78	2117	-0.0331	0.0028	Berdnikov2008
2451245.03	2269	-0.035	0.0023	Berdnikov2008
2451866.722	2403	-0.0791	0.0064	ASAS
2451945.634	2420	-0.0434	0.0023	Berdnikov2008
2452437.445	2526	-0.0538	0.0033	ASAS
2452618.416	2565	-0.0358	0.0026	Berdnikov2008
2452771.528	2598	-0.038	0.002	IOMC
2452882.882	2622	-0.0392	0.0031	ASAS
2453328.31	2718	-0.0343	0.0023	IOMC
2453351.514	2723	-0.0287	0.0021	ASAS
2453796.953	2819	-0.0125	0.0069	ASAS
2453857.247	2832	-0.0365	0.0016	IOMC
2454242.37	2915	-0.0184	0.003	ASAS
2455142.478	3109	-0.0349	0.0023	IOMC
2457416.026	3600	0.0016	0.0046	ASASSN-V
2457861.414	3695	-0.033	0.0073	ASASSN-V
2458367.237	3805	0.0499	0.0428	ASASSN-V
