HJD	Epoch	O-C	O-Cerr	Source
2409848.262	-7182	-0.9158	0.08	Meyer2006 Arch.
2409848.312	-7182	-0.8658	0.08	Meyer2006 Arch.
2409883.982	-7174	-0.6788	0.08	Meyer2006 Arch.
2409888.242	-7173	-0.8542	0.08	Meyer2006 Arch.
2409888.372	-7173	-0.7242	0.08	Meyer2006 Arch.
2409892.842	-7172	-0.6896	0.08	Meyer2006 Arch.
2409897.162	-7171	-0.805	0.08	Meyer2006 Arch.
2409897.202	-7171	-0.765	0.08	Meyer2006 Arch.
2410048.012	-7137	-0.7582	0.08	Meyer2006 Arch.
2410101.282	-7125	-0.7128	0.08	Meyer2006 Arch.
2410110.182	-7123	-0.6836	0.08	Meyer2006 Arch.
2410194.522	-7104	-0.6159	0.08	Meyer2006 Arch.
2410198.822	-7103	-0.7513	0.08	Meyer2006 Arch.
2410203.192	-7102	-0.8167	0.08	Meyer2006 Arch.
2410212.362	-7099	-0.5175	0.08	Meyer2006 Arch.
2410531.552	-7028	-0.6754	0.08	Meyer2006 Arch.
2410535.982	-7027	-0.6807	0.08	Meyer2006 Arch.
2410908.642	-6943	-0.5932	0.08	Meyer2006 Arch.
2410944.092	-6935	-0.6263	0.08	Meyer2006 Arch.
2411245.712	-6867	-0.6127	0.08	Meyer2006 Arch.
2411321.142	-6850	-0.5842	0.08	Meyer2006 Arch.
2411330.352	-6847	-0.245	0.08	Meyer2006 Arch.
2411596.402	-6787	-0.3182	0.08	Meyer2006 Arch.
2411604.962	-6786	-0.629	0.08	Meyer2006 Arch.
2411605.412	-6785	-0.179	0.08	Meyer2006 Arch.
2411982.042	-6701	-0.5569	0.08	Meyer2006 Arch.
2411991.222	-6698	-0.2477	0.08	Meyer2006 Arch.
2412306.122	-6627	-0.2602	0.08	Meyer2006 Arch.
2412345.482	-6619	-0.8186	0.08	Meyer2006 Arch.
2412372.602	-6612	-0.311	0.08	Meyer2006 Arch.
2412394.642	-6607	-0.4479	0.08	Meyer2006 Arch.
2412647.472	-6550	-0.435	0.08	Meyer2006 Arch.
2412709.552	-6536	-0.4504	0.08	Meyer2006 Arch.
2412718.402	-6534	-0.4711	0.08	Meyer2006 Arch.
2412811.542	-6513	-0.4743	0.08	Meyer2006 Arch.
2412979.942	-6476	-0.619	0.08	Meyer2006 Arch.
2413051.182	-6459	-0.3452	0.08	Meyer2006 Arch.
2413060.172	-6457	-0.2259	0.08	Meyer2006 Arch.
2413095.442	-6449	-0.439	0.08	Meyer2006 Arch.
2413131.022	-6441	-0.3421	0.08	Meyer2006 Arch.
2413481.162	-6363	-0.5977	0.08	Meyer2006 Arch.
2413752.152	-6301	-0.1663	0.08	Meyer2006 Arch.
2413761.022	-6299	-0.1671	0.08	Meyer2006 Arch.
2414097.992	-6223	-0.2865	0.08	Meyer2006 Arch.
2414212.932	-6198	-0.6666	0.08	Meyer2006 Arch.
2414514.922	-6129	-0.2829	0.08	Meyer2006 Arch.
2414523.472	-6128	-0.6037	0.08	Meyer2006 Arch.
2414541.382	-6123	-0.4352	0.08	Meyer2006 Arch.
2414643.382	-6100	-0.4491	0.08	Meyer2006 Arch.
2414820.692	-6061	-0.5546	0.08	Meyer2006 Arch.
