HJD	Epoch	O-C	O-Cerr	Source
2412477.442	-11128	-1.1807	0.1845	Harvard
2412812.489	-11037	-1.2114	0.119	Harvard
2413144.159	-10947	-0.9368	0.1425	Harvard
2413516.041	-10846	-0.9535	0.1262	Harvard
2413895.427	-10743	-0.8319	0.184	Harvard
2414366.582	-10615	-0.9949	0.1683	Harvard
2414771.685	-10505	-0.9305	0.1667	Harvard
2415088.369	-10419	-0.9125	0.2586	Harvard
2415412.493	-10331	-0.8204	0.1317	Harvard
2415717.843	-10248	-1.09	0.1304	Harvard
2416045.722	-10159	-0.9245	0.0856	Harvard
2416413.899	-10059	-0.9648	0.0825	Harvard
2416782.165	-9959	-0.9158	0.0794	Harvard
2417183.512	-9850	-0.9257	0.0627	Harvard
2417503.928	-9763	-0.8585	0.0773	Harvard
2417912.615	-9652	-0.892	0.0883	Harvard
2418295.58	-9548	-0.8733	0.1338	Harvard
2418623.351	-9459	-0.8156	0.0692	Harvard
2418987.81	-9360	-0.8917	0.0749	Harvard
2419389.109	-9251	-0.9485	0.2066	Harvard
2419801.604	-9139	-0.8568	0.1571	Harvard
2420184.606	-9035	-0.8009	0.1457	Harvard
2420593.325	-8924	-0.8031	0.106	Harvard
2420924.8	-8834	-0.7238	0.1004	Harvard
2421226.675	-8752	-0.7868	0.1178	Harvard
2421661.18	-8634	-0.7779	0.1411	Harvard
2422033.131	-8533	-0.7256	0.0785	Harvard
2422423.457	-8427	-0.7096	0.1339	Harvard
2422810.092	-8322	-0.7033	0.1013	Harvard
2423137.881	-8233	-0.6269	0.1254	Harvard
2423483.981	-8139	-0.6517	0.2122	Harvard
2423782.247	-8058	-0.641	0.132	Harvard
2424124.703	-7965	-0.6276	0.1546	Harvard
2424448.675	-7877	-0.6865	0.1213	Harvard
2426002.753	-7455	-0.4839	0.1704	Harvard
2426363.456	-7357	-0.6339	0.0938	Harvard
2426709.563	-7263	-0.6515	0.0975	Harvard
2427037.31	-7174	-0.6176	0.0995	Harvard
2427512.344	-7045	-0.5832	0.0768	Harvard
2427839.964	-6956	-0.6773	0.1206	Harvard
2428160.391	-6869	-0.5983	0.1599	Harvard
2428506.41	-6775	-0.7043	0.2623	Harvard
2428819.484	-6690	-0.6148	0.1564	Harvard
2429161.912	-6597	-0.628	0.2166	Harvard
2429460.138	-6516	-0.658	0.2379	Harvard
2429758.554	-6435	-0.498	0.1773	Harvard
2430056.734	-6354	-0.5738	0.1473	Harvard
2430362.27	-6271	-0.6583	0.1732	Harvard
2430719.52	-6174	-0.5784	0.1939	Harvard
2431106.166	-6069	-0.5606	0.1914	Harvard
2431404.493	-5988	-0.4895	0.2124	Harvard
2431754.153	-5893	-0.6354	0.2324	Harvard
2432122.388	-5793	-0.618	0.2479	Harvard
2432442.825	-5706	-0.5299	0.2444	Harvard
2432741.076	-5625	-0.5347	0.2243	Harvard
2433359.699	-5457	-0.517	0.2275	Harvard
2434033.53	-5274	-0.523	0.4844	Harvard
2435160.373	-4968	-0.424	0.0088	Irwin1961
2435160.393	-4968	-0.4047	0.0153	Mitchell1964
2440205.054	-3598	-0.3175	0.0106	Stobie1970
2440665.343	-3473	-0.3	0.0179	Pel1976
2443154.55	-2797	-0.2413	0.0048	Stobie1979
2444303.435	-2485	-0.1938	0.0012	Eggen1985
2444962.491	-2306	-0.2461	0.053	Harvard
2445345.494	-2202	-0.1889	0.0556	Harvard
2445643.818	-2121	-0.1209	0.0809	Harvard
2446078.268	-2003	-0.1674	0.0706	Harvard
2446442.884	-1904	-0.0854	0.0918	Harvard
2446825.863	-1800	-0.0525	0.0612	Harvard
2447142.588	-1714	0.0052	0.0817	Harvard
2447499.564	-1617	-0.1888	0.1121	Harvard
2447882.658	-1513	-0.041	0.0093	Hipp
2448210.363	-1424	-0.0495	0.0077	Hipp
2448515.986	-1341	-0.0465	0.011	Hipp
2450541.205	-791	-0.0212	0.0073	Berdnikov2008
2450887.33	-697	-0.0209	0.005	Berdnikov2008
2451248.181	-599	-0.0219	0.007	Berdnikov2008
2451616.422	-499	0.0013	0.0062	Berdnikov2008
2451896.271	-423	0.0061	0.0106	ASAS
2451944.124	-410	-0.0101	0.0057	Berdnikov2008
2452198.204	-341	0.0005	0.0163	ASAS
2452316.041	-309	0.0083	0.0059	Berdnikov2008
2452555.396	-244	0.0222	0.0189	ASAS
2452621.665	-226	0.0115	0.0038	Berdnikov2008
2452853.636	-163	0.0058	0.0064	ASAS
2452982.506	-128	0.0001	0.0037	Berdnikov2008
2453151.888	-82	0.0019	0.0092	ASAS
2453453.824	0	0.0	0.0069	ASAS
2453752.083	81	0.0031	0.0154	ASAS
2454087.154	172	-0.0037	0.0114	ASAS
2454385.416	253	0.0026	0.0103	ASAS
2454683.674	334	0.0046	0.0053	ASAS
2454989.284	417	-0.0048	0.0063	ASAS
2456318.588	778	-0.0048	0.0349	Bochum
2456638.933	865	0.0315	0.0079	Berdnikov2015
2456686.819	878	0.0102	0.0375	Bochum
2457717.769	1158	-0.0095	0.0521	ASASSN-V
2458074.977	1255	0.0282	0.0332	ASASSN-V
2458196.444	1288	0.0283	0.0561	ASASSN-g
2458494.714	1369	0.0426	0.0638	ASASSN-g
2458792.984	1450	0.0573	0.0559	ASASSN-g
