HJD	Epoch	O-C	O-Cerr	Source
2413854.574	-7775	0.202	0.1605	Harvard
2414207.262	-7628	0.3567	0.1172	Harvard
2414588.398	-7469	0.1811	0.0846	Harvard
2414941.061	-7322	0.3115	0.0291	Harvard
2415188.571	-7219	0.2864	0.109	Berdnikov1997 Arch.
2415317.694	-7165	0.4297	0.0366	Harvard
2415679.757	-7014	0.366	0.0504	Harvard
2416029.777	-6868	0.2514	0.028	Harvard
2416379.996	-6722	0.3355	0.0183	Harvard
2416742.136	-6571	0.3495	0.0247	Harvard
2417096.951	-6423	0.2339	0.0189	Harvard
2417473.502	-6266	0.2696	0.0507	Harvard
2417680.171	-6180	0.1733	0.118	Berdnikov1997 Arch.
2417878.735	-6097	0.2098	0.0274	Harvard
2418233.641	-5949	0.1847	0.024	Harvard
2418598.201	-5797	0.2202	0.0237	Harvard
2418960.327	-5646	0.2205	0.033	Harvard
2419308.054	-5501	0.2112	0.0365	Harvard
2419691.733	-5341	0.1809	0.0163	Harvard
2420039.482	-5196	0.1932	0.0231	Harvard
2420435.173	-5031	0.1834	0.0178	Harvard
2420787.654	-4884	0.1315	0.0204	Harvard
2421135.315	-4739	0.0561	0.0206	Harvard
2421511.947	-4582	0.1728	0.0298	Harvard
2421859.631	-4437	0.1199	0.0269	Harvard
2422238.523	-4279	0.0994	0.037	Harvard
2422588.676	-4133	0.1169	0.0227	Harvard
2422945.94	-3984	0.0514	0.026	Harvard
2423320.059	-3828	0.0544	0.0495	Harvard
2423677.359	-3679	0.0243	0.025	Harvard
2424061.092	-3519	0.0485	0.0278	Harvard
2424413.618	-3372	0.0415	0.0713	Harvard
2424792.625	-3214	0.1351	0.0481	Harvard
2425044.824	-3109	0.0032	0.194	Berdnikov1997 Arch.
2425157.137	-3062	0.1235	0.0271	Harvard
2425291.869	-3006	0.0352	0.048	Berdnikov1997 Arch.
2425526.394	-2908	0.0596	0.0342	Harvard
2425888.495	-2757	0.0349	0.0321	Harvard
2426250.525	-2606	-0.0609	0.0371	Harvard
2426479.014	-2511	0.0792	0.073	Berdnikov1997 Arch.
2426619.949	-2452	0.0431	0.03	Harvard
2426979.642	-2302	0.0082	0.0246	Harvard
2427358.557	-2144	0.0104	0.0349	Harvard
2427541.466	-2068	0.1356	0.162	Berdnikov1997 Arch.
2427725.444	-1991	-0.025	0.0448	Harvard
2428078.008	-1844	0.0063	0.0184	Harvard
2428335.267	-1737	0.1377	0.07	Berdnikov1997 Arch.
2428437.675	-1694	-0.0542	0.0273	Harvard
2428816.743	-1536	0.1007	0.0409	Harvard
2429193.137	-1379	-0.0205	0.0383	Harvard
2429227.244	-1365	-0.0097	0.03	Berdnikov1997 Arch.
2429483.862	-1258	0.0026	0.072	Berdnikov1997 Arch.
2429550.466	-1230	-0.0211	0.0383	Harvard
