HJD	Epoch	O-C	O-Cerr	Source
2427946.537	-3345	-0.0528	0.0622	Krebs1936
2432765.158	-2658	0.0096	0.03	Szabados1989 Arch.
2433109.296	-2609	-0.0351	0.02	Szabados1989 Arch.
2434949.608	-2347	-0.047	0.05	Szabados1989 Arch.
2435293.745	-2298	-0.0927	0.05	Szabados1989 Arch.
2436108.483	-2182	-0.1546	0.05	Szabados1989 Arch.
2436867.131	-2075	-0.1134	0.1431	AAVSO
2437232.364	-2022	-0.1355	0.03	Szabados1989 Arch.
2437450.268	-1992	0.0201	0.254	AAVSO
2437899.758	-1928	-0.0343	0.3736	AAVSO
2438672.319	-1817	-0.1286	0.05	Szabados1989 Arch.
2439058.705	-1762	-0.0701	0.05	Szabados1989 Arch.
2440252.773	-1592	-0.1054	0.03	Szabados1989 Arch.
2440751.491	-1522	-0.1014	0.0356	Pel1976
2440800.633	-1514	-0.1281	0.03	Szabados1989 Arch.
2440821.648	-1511	-0.1855	0.02	Szabados1989 Arch.
2441193.973	-1458	-0.1398	0.03	Szabados1989 Arch.
2442247.621	-1309	-0.1118	0.0392	AAVSO
2442704.128	-1244	-0.1739	0.1075	AAVSO
2443287.163	-1161	-0.1421	0.0059	Moffett1984
2443364.374	-1149	-0.1971	0.02	Szabados1989 Arch.
2443364.45	-1150	-0.1207	0.1422	AAVSO
2443673.434	-1105	-0.1991	0.02	Szabados1989 Arch.
2444038.692	-1053	-0.1962	0.03	Szabados1989 Arch.
2444467.152	-992	-0.2086	0.03	Szabados1989 Arch.
2444783.265	-948	-0.1815	0.0367	AAVSO
2445232.893	-884	-0.0984	0.0436	AAVSO
2445850.965	-796	-0.1506	0.0326	AAVSO
2446609.602	-688	-0.1207	0.0115	Berdnikov2008
2447080.205	-621	-0.1345	0.0112	Berdnikov2008
2447319.018	-587	-0.1424	0.0336	AAVSO
2447733.461	-528	-0.1231	0.0054	Berdnikov2008
2447768.526	-523	-0.1784	0.0351	AAVSO
2447965.301	-495	-0.0798	0.0048	Hipp
2448218.144	-459	-0.1061	0.0372	AAVSO
2448499.109	-419	-0.1061	0.0074	Berdnikov2008
2448534.174	-414	-0.1621	0.0052	Hipp
2449250.752	-312	-0.0455	0.0327	AAVSO
2449517.627	-274	-0.0883	0.0159	Berdnikov2008
2449833.701	-229	-0.1005	0.0285	AAVSO
2449917.986	-217	-0.1047	0.0065	Kiss1998
2450002.239	-205	-0.1411	0.0097	Berdnikov2008
2451252.543	-27	-0.134	0.0077	Berdnikov2008
2451673.989	32	-0.1359	0.0309	AAVSO
2452123.49	96	-0.1794	0.065	AAVSO
2452355.329	129	-0.1377	0.0103	Berdnikov2008
2453142.061	241	-0.1091	0.0517	AAVSO
2453444.122	284	-0.0851	0.0116	ASAS
2453605.691	307	-0.0713	0.0317	AAVSO
2453893.656	348	-0.0958	0.0188	ASAS
2454055.192	371	-0.1155	0.0187	AAVSO
2454343.223	412	-0.0742	0.0114	ASAS
2454525.845	438	-0.0794	0.025	AAVSO
2454919.195	494	-0.0816	0.0146	ASAS
2454975.367	502	-0.1026	0.0185	AAVSO
2455424.928	566	-0.0866	0.019	AAVSO
2455691.845	604	-0.0865	0.0129	KWS
2455874.422	630	-0.137	0.0469	AAVSO
2456155.417	670	-0.1073	0.0081	KWS
2456478.481	716	-0.1541	0.0334	AAVSO
2456759.529	756	-0.0709	0.0066	KWS
2456928.02	780	-0.1595	0.0307	AAVSO
2457075.654	801	-0.0321	0.0097	ASASSN-V
2457216.124	821	-0.0448	0.0072	KWS
2457525.153	865	-0.0784	0.0099	ASASSN-V
2457665.664	885	-0.0497	0.0078	KWS
2457974.739	929	-0.0365	0.0117	ASASSN-V
2458241.642	967	-0.0515	0.0084	KWS
2458691.175	1031	-0.063	0.0208	KWS
