HJD	Epoch	O-C	O-Cerr	Source
2411852.384	-938	29.546	0.1221	AAVSO
2412279.036	-927	29.3861	0.1058	AAVSO
2412705.307	-916	28.8462	0.1194	AAVSO
2412787.855	-914	33.7913	1.6388	Harvard
2413131.789	-905	28.516	0.1377	AAVSO
2413211.506	-903	30.6315	3.2161	Harvard
2413557.865	-894	27.7811	0.1161	AAVSO
2413636.624	-892	28.9376	0.5908	Harvard
2414060.243	-881	25.745	3.6852	Harvard
2414487.689	-870	26.3798	0.1857	AAVSO
2414758.962	-863	26.0448	0.7155	Harvard
2414952.412	-858	25.4899	0.5218	AAVSO
2415379.202	-847	25.4686	0.1005	AAVSO
2415382.305	-847	28.5715	1.9267	Harvard
2415804.858	-836	24.3128	0.52	Harvard
2416076.417	-829	24.2644	0.2324	AAVSO
2416234.487	-825	27.1308	0.4701	Harvard
2416503.012	-818	24.0482	0.1972	AAVSO
2416658.62	-814	24.4515	0.7316	Harvard
2416930.311	-807	24.5353	0.1583	AAVSO
2417164.453	-801	25.8711	0.5968	Harvard
2417630.74	-789	26.5459	0.45	Harvard
2417666.685	-788	23.6892	0.1414	AAVSO
2418054.205	-778	23.199	0.32	Harvard
2418209.506	-774	23.2964	0.2286	AAVSO
2418482.739	-767	24.9211	0.6394	Harvard
2418636.25	-763	23.2286	0.1194	AAVSO
2419025.711	-753	24.6793	0.4612	Harvard
2419101.559	-751	22.9249	0.1911	AAVSO
2419447.701	-742	19.8577	0.7198	Harvard
2419527.752	-740	22.3058	0.1517	AAVSO
2419877.152	-731	22.497	0.5806	Harvard
2419954.968	-729	22.7111	0.218	AAVSO
2420302.62	-720	21.1534	0.5138	Harvard
2420379.544	-718	20.4746	0.2203	AAVSO
2420728.608	-709	20.3294	0.4578	Harvard
2420805.646	-707	19.7653	0.1911	AAVSO
2421154.063	-698	18.9733	0.5458	Harvard
2421308.41	-694	18.1164	0.2196	AAVSO
2421657.365	-685	17.8618	0.4353	Harvard
2422044.712	-675	17.1979	0.1426	AAVSO
2422087.098	-674	20.7827	0.3726	Harvard
2422468.567	-664	14.2418	1.2137	AAVSO
2422782.974	-656	18.2405	0.7979	Harvard
2423206.434	-645	14.889	2.2444	Harvard
2423751.97	-631	17.2097	0.7802	Harvard
2424178.542	-620	16.9699	1.2105	Harvard
2424604.848	-609	16.4652	1.2203	Harvard
2425225.238	-593	16.0377	0.7221	Harvard
2426073.683	-571	10.8604	2.952	Harvard
2426501.281	-560	11.6468	1.0541	Harvard
2427042.084	-546	9.235	0.5923	Harvard
2427934.358	-523	9.0849	0.9398	Harvard
2428358.026	-512	5.9408	1.0391	Harvard
2428787.358	-501	8.4616	0.2603	Harvard
2429019.568	-495	7.865	0.6224	AAVSO
2429211.83	-490	6.122	1.8871	Harvard
2429445.567	-484	7.0526	2.6944	AAVSO
2429642.658	-479	10.1386	1.9139	Harvard
2430067.101	-468	7.77	0.3544	Harvard
2430495.089	-457	8.9468	0.5314	Harvard
2430920.286	-446	7.332	0.4128	Harvard
2431386.323	-434	7.756	0.8861	Harvard
2431464.64	-432	8.4715	0.296	AAVSO
2431812.063	-423	6.6851	0.8152	Harvard
2431889.642	-421	6.6617	0.1817	AAVSO
2432240.689	-412	8.4987	0.4251	Harvard
2432664.034	-401	5.0321	0.8062	Harvard
2433089.612	-390	3.7988	0.8942	Harvard
2433634.468	-376	5.4407	0.4453	Harvard
2434056.654	-365	0.8148	1.989	Harvard
2434486.229	-354	3.5784	0.1682	Mitchell1964
2434486.577	-354	3.9259	0.243	AAVSO
2434530.068	-353	8.6163	8.2309	Harvard
2434912.271	-343	2.809	0.2398	Mitchell1964
2434912.431	-343	2.9689	0.2574	AAVSO
2439911.505	-215	-3.2922	0.4759	AAVSO
2440649.929	-196	-2.0882	0.2156	Pel1976
2440997.28	-187	-3.947	0.3603	AAVSO
2441076.713	-185	-2.1162	0.2701	Pel1976
2441424.336	-176	-3.702	0.9453	AAVSO
2441621.251	-171	-0.7926	0.0608	Madore1975
2442824.119	-140	-0.7569	0.1471	Dean1977
2443831.873	-114	-1.8306	0.7747	AAVSO
2443871.369	-113	-1.1359	0.2406	Eggen1985
2443872.338	-113	-0.1661	0.4356	Coulson1985
2444258.455	-103	-2.0604	0.6128	AAVSO
2444568.954	-95	-1.9697	0.1333	Eggen1985
2444608.814	-94	-0.911	0.2252	Coulson1985
2444685.474	-92	-1.8529	0.7614	AAVSO
2445111.843	-81	-2.2948	0.2019	AAVSO
2445539.329	-70	-1.6209	0.1837	AAVSO
2446003.771	-58	-2.7917	0.2209	AAVSO
2446432.056	-47	-1.3175	0.2453	AAVSO
2446859.255	-36	-0.9307	0.1957	AAVSO
2447286.233	-25	-0.7635	0.1769	AAVSO
2447712.455	-14	-1.3536	0.378	AAVSO
2447906.017	-9	-1.7962	0.43	Shobbrook1992
2447907.627	-9	-0.1863	0.0243	Hipp
2448140.697	-2	0.0773	0.1874	AAVSO
2448334.736	2	0.1106	0.0112	Hipp
2448567.223	7	-0.2086	0.1435	AAVSO
2448761.824	13	0.3873	0.0846	Hipp
2448995.01	19	0.7671	0.1481	AAVSO
2449422.883	30	1.8285	0.1525	AAVSO
2449501.984	32	3.3277	0.0935	Berdnikov2008
2449850.363	41	2.4971	0.1742	AAVSO
2450277.793	52	3.1154	0.1576	AAVSO
2450317.404	53	3.9249	0.0255	Berdnikov2008
2450704.886	63	3.3965	0.1229	AAVSO
2450783.123	65	4.032	0.0266	Berdnikov2008
2451132.17	74	3.8695	0.1304	AAVSO
2451210.29	76	4.3873	0.0374	Berdnikov2008
2451558.331	85	3.2192	0.1459	AAVSO
2451636.762	87	4.048	0.052	Berdnikov2008
2451985.931	96	4.0076	0.146	AAVSO
2452296.274	104	3.9416	0.0406	Berdnikov2008
2452412.101	107	3.3652	0.1399	AAVSO
2452605.352	112	2.6112	0.1144	ASAS
2452838.799	118	3.2521	0.1636	AAVSO
2452955.274	121	3.324	0.0451	Berdnikov2008
