HJD	Epoch	O-C	O-Cerr	Source
2414495.571	-2315	0.0115	0.1	Szabados1989 Arch.
2415945.673	-2100	-0.1107	0.1	Szabados1989 Arch.
2417328.377	-1895	-0.1787	0.1	Szabados1989 Arch.
2418475.085	-1725	-0.1596	0.1	Szabados1989 Arch.
2419608.297	-1557	-0.1461	0.1	Szabados1989 Arch.
2420458.236	-1431	-0.1059	0.1	Szabados1989 Arch.
2421308.208	-1305	-0.0328	0.1	Szabados1989 Arch.
2423243.872	-1018	-0.2495	0.1	Szabados1989 Arch.
2424673.914	-806	-0.1961	0.1	Szabados1989 Arch.
2424693.995	-803	-0.3507	0.1	Szabados1989 Arch.
2425058.379	-749	-0.2091	0.1	Szabados1989 Arch.
2433091.727	440	-0.4285	0.0261	AAVSO
2433091.752	440	-0.4035	0.0119	Mitchell1964
2433132.26	447	-0.3672	0.04	Szabados1989 Arch.
2434582.346	661	-0.5057	0.0683	AAVSO
2434582.427	661	-0.4246	0.0291	Mitchell1964
2434757.825	688	-0.4024	0.04	Szabados1989 Arch.
2435243.458	759	-0.4258	0.0061	Irwin1961
2435243.496	759	-0.3884	0.0141	Mitchell1964
2435243.51	759	-0.3737	0.0258	AAVSO
2435283.959	766	-0.3963	0.02	Szabados1989 Arch.
2435951.723	865	-0.4099	0.04	Szabados1989 Arch.
2435978.635	868	-0.4786	0.0431	AAVSO
2435978.718	868	-0.3961	0.0145	Mitchell1964
2436754.417	983	-0.3984	0.0055	Mitchell1964
2436754.471	983	-0.3441	0.0267	AAVSO
2436781.379	988	-0.4171	0.02	Szabados1989 Arch.
2437051.277	1027	-0.328	0.015	Mitchell1961
2437098.425	1035	-0.3969	0.02	Szabados1989 Arch.
2437118.674	1038	-0.3836	0.04	Szabados1989 Arch.
2437179.368	1047	-0.3966	0.04	Szabados1989 Arch.
2437199.61	1049	-0.3902	0.0541	AAVSO
2437199.621	1049	-0.3789	0.0275	Mitchell1964
2437800.023	1139	-0.3027	0.06	Szabados1989 Arch.
2438919.697	1305	-0.3367	0.04	Szabados1989 Arch.
2439675.148	1417	-0.3513	0.04	Szabados1989 Arch.
2440734.11	1573	-0.39	0.1331	Pel1976
2440788.178	1582	-0.2841	0.02	Szabados1989 Arch.
2440828.609	1588	-0.3245	0.06	Szabados1989 Arch.
2442447.43	1828	-0.3585	0.04	Szabados1989 Arch.
2443243.359	1945	-0.3662	0.0079	Moffett1984
2443486.201	1982	-0.3527	0.02	Szabados1989 Arch.
2443607.629	2000	-0.3389	0.02	Szabados1989 Arch.
2443688.544	2011	-0.3664	0.022	Moffett1984
2444120.245	2075	-0.3605	0.0121	Eggen1985
2444390.044	2115	-0.3704	0.0042	Gieren1981
2444410.311	2119	-0.3391	0.02	Szabados1989 Arch.
2444417.033	2119	-0.3621	0.0162	Berdnikov2008
2444457.575	2126	-0.2917	0.02	Szabados1989 Arch.
2444720.618	2165	-0.3126	0.02	Szabados1989 Arch.
2444801.58	2176	-0.2931	0.0989	Eggen1985
2445482.784	2277	-0.3578	0.0129	Berdnikov2008
2447405.227	2562	-0.3053	0.008	Berdnikov2008
2447958.305	2644	-0.3354	0.003	Hipp
2448099.997	2665	-0.2939	0.008	Berdnikov2008
2448484.47	2722	-0.2982	0.0061	Hipp
2448828.39	2773	-0.3849	0.2242	AAVSO
2448848.736	2776	-0.2753	0.0133	Berdnikov2008
2449516.501	2875	-0.2879	0.0109	Berdnikov2008
2449961.669	2941	-0.3051	0.0083	Berdnikov2008
2449975.102	2943	-0.3618	0.036	AAVSO
2450420.361	3009	-0.288	0.0366	AAVSO
2450568.785	3031	-0.2597	0.0048	Berdnikov2008
2450905.963	3081	-0.3428	0.0462	AAVSO
2451243.32	3131	-0.2473	0.0096	Berdnikov2008
2452356.276	3296	-0.2535	0.0057	Berdnikov2008
2452437.221	3308	-0.2513	0.0172	ASAS
2452882.387	3374	-0.2706	0.0185	ASAS
2453078.028	3403	-0.2415	0.0095	Berdnikov2008
2453415.271	3453	-0.2597	0.0109	ASAS
2453860.442	3519	-0.2745	0.0152	ASAS
2453961.537	3534	-0.3572	0.0319	AAVSO
2454305.674	3585	-0.2276	0.0064	ASAS
2454656.338	3637	-0.3151	0.038	AAVSO
2454750.883	3651	-0.2031	0.0117	ASAS
2455101.62	3703	-0.218	0.0498	AAVSO
2455654.623	3785	-0.3239	0.0221	KWS
2455708.646	3793	-0.263	0.0441	AAVSO
2456120.128	3854	-0.2394	0.0088	KWS
2456754.205	3948	-0.214	0.0119	KWS
2456909.392	3971	-0.1676	0.0069	Gaia-dr2
2457199.384	4014	-0.22	0.0074	KWS
2457691.915	4087	-0.0909	0.0252	AAVSO
2457853.698	4111	-0.1934	0.0065	KWS
2458251.717	4170	-0.1434	0.0405	AAVSO
2458312.361	4179	-0.2066	0.0131	KWS
