HJD	Epoch	O-C	O-Cerr	Source
2414215.61	-3543	0.0892	0.06	Szabados1980 Arch.
2414582.95	-3497	-0.1398	0.06	Szabados1980 Arch.
2414583.509	-3497	0.4192	0.1	Szabados1980 Arch.
2414854.9	-3463	0.1289	0.1	Szabados1980 Arch.
2414894.6	-3458	-0.1243	0.1	Szabados1980 Arch.
2415158.294	-3425	-0.121	0.06	Szabados1980 Arch.
2415574.19	-3373	0.2623	0.1	Szabados1980 Arch.
2415949.75	-3326	0.2627	0.1	Szabados1980 Arch.
2416317.32	-3280	0.2638	0.1	Szabados1980 Arch.
2416716.65	-3230	0.0623	0.1	Szabados1980 Arch.
2417036.62	-3190	0.4071	0.1	Szabados1980 Arch.
2417060.091	-3187	-0.0937	0.06	Szabados1980 Arch.
2417411.91	-3143	0.1376	0.1	Szabados1980 Arch.
2417883.37	-3084	0.1505	0.06	Szabados1980 Arch.
2418082.962	-3059	-0.0233	0.06	Szabados1980 Arch.
2418610.266	-2993	-0.1008	0.06	Szabados1980 Arch.
2419657.029	-2862	-0.1102	0.06	Szabados1980 Arch.
2420400.228	-2769	-0.0397	0.1	Szabados1980 Arch.
2423212.92	-2417	-0.0491	0.06	Szabados1980 Arch.
2425202.6	-2168	-0.0357	0.01	Szabados1980 Arch.
2425498.277	-2131	-0.012	0.06	Szabados1980 Arch.
2425761.777	-2098	-0.2027	0.06	Szabados1980 Arch.
2426121.709	-2053	0.151	0.06	Szabados1980 Arch.
2426553.206	-1999	0.154	0.06	Szabados1980 Arch.
2426864.635	-1960	-0.0515	0.06	Szabados1980 Arch.
2426928.536	-1952	-0.0756	0.06	Szabados1980 Arch.
2428215.011	-1791	-0.0918	0.06	Szabados1980 Arch.
2428454.835	-1761	0.0133	0.06	Szabados1980 Arch.
2430308.944	-1529	0.2964	0.1	Szabados1980 Arch.
2430956.02	-1448	0.1314	0.1	Szabados1980 Arch.
2433704.781	-1104	0.1161	0.06	Szabados1980 Arch.
2434591.618	-993	-0.0068	0.02	Szabados1980 Arch.
2435638.397	-862	-0.0002	0.02	Szabados1980 Arch.
2435645.347	-861	-0.0011	0.0651	Mitchell1964
2435645.463	-861	0.1154	0.0562	AAVSO
2435694.12	-855	-0.2116	0.1	Szabados1980 Arch.
2436125.772	-801	-0.0535	0.02	Szabados1980 Arch.
2436723.89	-726	-0.1925	0.0561	AAVSO
2436724.028	-726	-0.055	0.0215	Mitchell1964
2436724.99	-726	-0.1327	0.1	Szabados1980 Arch.
2436781.008	-719	-0.0491	0.02	Szabados1980 Arch.
2436812.9	-715	-0.1196	0.01	Szabados1980 Arch.
2437187.581	-668	0.0423	0.0505	Mitchell1964
2437187.604	-668	0.0643	0.0882	AAVSO
2437244.483	-661	-0.0306	0.02	Szabados1980 Arch.
2440121.046	-301	-0.094	0.02	Szabados1980 Arch.
2440840.247	-211	-0.0496	0.02	Szabados1980 Arch.
2442197.676	-41	0.0126	0.0223	Szabados1980
2442365.585	-20	0.1178	0.1776	AAVSO
2442526.328	0	0.0086	0.02	Szabados1980 Arch.
2442541.261	2	0.0004	0.0278	Szabados1980
2442708.974	23	-0.0902	0.0914	AAVSO
2443052.767	66	0.1064	0.0622	AAVSO
2443396.318	109	0.0599	0.0392	AAVSO
2443739.768	152	-0.0874	0.0503	AAVSO
2443979.586	182	0.0122	0.0226	Berdnikov2008
2444043.517	190	0.0183	0.0305	Moffett1984
2444083.504	195	0.0516	0.0363	AAVSO
2444395.143	234	0.0568	0.0142	Moffett1984
2444427.18	238	0.1314	0.0405	AAVSO
2444778.682	282	0.0448	0.0379	AAVSO
2444818.644	287	0.0538	0.019	Moffett1984
2445122.391	325	0.157	0.0502	AAVSO
2445465.932	368	0.1016	0.053	AAVSO
2445817.352	412	-0.0664	0.0527	AAVSO
2446192.959	459	-0.0193	0.0425	AAVSO
2446544.634	503	0.0683	0.047	AAVSO
2446608.509	511	0.0185	0.0106	Berdnikov2008
2447000.088	560	0.0565	0.0492	AAVSO
2447079.963	570	0.0254	0.0198	Berdnikov2008
2447343.725	603	0.0959	0.0487	AAVSO
2447423.561	613	0.0256	0.0074	Berdnikov2008
2447703.308	648	0.1015	0.0388	AAVSO
2447767.187	656	0.0545	0.0067	Berdnikov2008
2447958.997	680	0.0894	0.0139	Hipp
2448046.973	691	0.1694	0.0372	AAVSO
2448110.791	699	0.0618	0.0227	Berdnikov2008
2448302.597	723	0.0925	0.0054	Hipp
2448390.441	734	0.0399	0.0546	AAVSO
2448502.347	748	0.0772	0.0065	Berdnikov2008
2448694.096	772	0.0511	0.0136	Hipp
2448806.019	786	0.1052	0.1071	Barnes1997
2448853.912	792	0.0548	0.0077	Berdnikov2008
2449141.73	828	0.2094	0.0478	AAVSO
2449501.333	873	0.2342	0.0465	AAVSO
2449517.129	875	0.0489	0.0181	Berdnikov2008
2449844.898	916	0.2027	0.0376	AAVSO
2449916.708	925	0.0967	0.0049	Kiss1998
2449932.612	927	0.0198	0.0122	Berdnikov2008
2450188.384	959	0.0916	0.029	AAVSO
2450268.291	969	0.092	0.008	Kiss1998
2450300.249	973	0.0872	0.0081	Berdnikov2008
2450532.001	1002	0.1115	0.0326	AAVSO
2450883.576	1046	0.0982	0.0382	AAVSO
2451227.165	1089	0.0902	0.0474	AAVSO
2452010.354	1187	0.1982	0.0663	AAVSO
2452409.857	1237	0.1692	0.1281	AAVSO
2452721.447	1276	0.1252	0.0051	ASAS
2452761.281	1281	0.0061	0.0537	IOMC
2452777.242	1283	-0.0141	0.1791	AAVSO
2453096.98	1323	0.0989	0.0148	ASAS
2453121.039	1326	0.1856	0.007	IOMC
2453152.901	1330	0.0846	0.0559	AAVSO
2453464.583	1369	0.1325	0.011	ASAS
2453464.627	1369	0.1763	0.0113	IOMC
2453512.515	1375	0.1204	0.047	AAVSO
2453832.143	1415	0.1233	0.0089	ASAS
2453856.16	1418	0.1689	0.0043	IOMC
2453911.983	1425	0.057	0.0385	AAVSO
2454199.64	1461	0.0516	0.0046	IOMC
2454199.717	1461	0.1288	0.0063	ASAS
2454255.563	1468	0.0404	0.0289	AAVSO
2454567.267	1507	0.1097	0.0084	ASAS
2454615.233	1513	0.132	0.035	AAVSO
2454934.827	1553	0.1012	0.0077	ASAS
2454958.731	1556	0.0329	0.0247	AAVSO
2455302.453	1599	0.1576	0.0278	AAVSO
2455669.993	1645	0.1287	0.0416	AAVSO
2455693.917	1648	0.0812	0.0103	KWS
2456053.54	1693	0.1255	0.0137	KWS
2456061.569	1694	0.1637	0.0683	AAVSO
2456421.125	1739	0.1416	0.0144	KWS
2456437.107	1741	0.1429	0.0579	AAVSO
2456764.705	1782	0.1245	0.0061	KWS
2456780.596	1784	0.0346	0.0347	AAVSO
2456956.613	1806	0.258	0.1044	Gaia-dr2
2457060.289	1819	0.0555	0.0102	ASASSN-V
2457132.27	1828	0.1203	0.0383	AAVSO
2457156.261	1831	0.1396	0.0075	KWS
2457300.166	1849	0.2134	0.1038	Gaia-dr2
2457435.885	1866	0.0918	0.0068	ASASSN-V
2457483.817	1872	0.0797	0.0294	AAVSO
2457523.821	1877	0.1309	0.0074	KWS
2457795.431	1911	0.0601	0.0073	ASASSN-V
2457835.422	1916	0.097	0.0253	AAVSO
2457867.426	1920	0.139	0.0063	KWS
2458178.973	1959	0.0517	0.0214	ASASSN-V
2458194.946	1961	0.0427	0.0277	AAVSO
2458235.0	1966	0.1442	0.0083	KWS
