HJD	Epoch	O-C	O-Cerr	Source
2411915.926	-333	-66.2231	1.0183	Berdnikov2004 Arch.
2412308.63	-327	-65.7262	0.8209	Berdnikov2004 Arch.
2413614.622	-307	-67.0924	0.9971	Berdnikov2004 Arch.
2414203.574	-298	-66.4519	1.2544	Berdnikov2004 Arch.
2415056.756	-285	-63.0525	2.6374	Berdnikov2004 Arch.
2415979.335	-271	-55.6242	1.8399	Berdnikov2004 Arch.
2417035.72	-255	-45.1253	0.9829	Berdnikov2004 Arch.
2419411.292	-219	-22.7979	1.1302	Berdnikov2004 Arch.
2421251.627	-190	-12.7636	1.0971	Berdnikov2004 Arch.
2423085.85	-162	-8.8427	2.0611	Berdnikov2004 Arch.
2424447.561	-142	-19.8573	0.8974	Berdnikov2004 Arch.
2424967.156	-134	-23.2054	1.3867	Berdnikov2004 Arch.
2425223.904	-130	-27.9294	1.0451	Berdnikov2004 Arch.
2425742.207	-122	-32.5688	2.2363	Berdnikov2004 Arch.
2425807.838	-121	-32.3061	0.4546	Berdnikov2004 Arch.
2426129.652	-116	-37.3318	0.4643	Berdnikov2004 Arch.
2426448.344	-111	-45.4786	2.2679	Berdnikov2004 Arch.
2426519.634	-110	-39.5573	0.4194	Berdnikov2004 Arch.
2426909.155	-104	-42.2436	0.4956	Berdnikov2004 Arch.
2427232.579	-99	-45.6587	0.5936	Berdnikov2004 Arch.
2427622.656	-93	-47.7897	0.5461	Berdnikov2004 Arch.
2428015.543	-87	-47.1099	0.6059	Berdnikov2004 Arch.
2428544.153	-79	-41.4425	0.8049	Berdnikov2004 Arch.
2429397.642	-66	-37.7365	0.5011	Berdnikov2004 Arch.
2429852.799	-59	-40.1547	0.5099	Berdnikov2004 Arch.
2431814.378	-29	-39.6124	1.2795	Berdnikov2004 Arch.
2432014.303	-26	-35.7916	1.0104	Berdnikov2004 Arch.
2432403.814	-20	-38.4883	0.3748	Berdnikov2004 Arch.
2432799.028	-14	-35.4814	0.5782	Berdnikov2004 Arch.
2432927.437	-12	-37.8084	0.9657	Berdnikov2004 Arch.
2433450.883	-4	-37.305	0.6169	Berdnikov2004 Arch.
2433581.432	-2	-37.4926	2.6732	Berdnikov2004 Arch.
2433845.634	1	-34.7622	1.3797	Berdnikov2004 Arch.
2434370.612	9	-32.7266	0.4524	Berdnikov2004 Arch.
2435092.459	20	-29.9268	0.4345	Berdnikov2004 Arch.
2436070.267	35	-32.6373	0.622	Berdnikov2004 Arch.
2437374.486	55	-35.7764	0.6634	Berdnikov2004 Arch.
2437829.157	62	-38.6802	0.408	Berdnikov2004 Arch.
2438219.204	68	-40.8408	0.5784	Berdnikov2004 Arch.
2438610.199	74	-42.0537	0.467	Berdnikov2004 Arch.
2440169.077	98	-52.0049	2.0283	Berdnikov2004 Arch.
2441868.061	124	-52.586	1.4435	Berdnikov2004 Arch.
2443454.112	148	-35.3648	0.5038	Berdnikov2004 Arch.
2444045.732	157	-32.056	0.4246	Berdnikov2004 Arch.
2444376.888	162	-27.7401	0.3297	Berdnikov2004 Arch.
2444901.99	170	-25.5807	0.4203	Berdnikov2004 Arch.
2445754.131	183	-23.2224	0.4482	Berdnikov2004 Arch.
2446808.09	199	-15.1504	0.3982	Berdnikov2004 Arch.
2447658.073	212	-14.9495	0.7098	Berdnikov2004 Arch.
2448244.285	221	-17.0491	0.6385	Berdnikov2004 Arch.
2449226.121	236	-15.7308	2.0809	Berdnikov2004 Arch.
2451264.432	267	-3.8254	0.5075	Berdnikov2008
2451460.929	271	-3.4322	0.3812	Berdnikov2004 Arch.
2451591.963	272	-3.134	0.0737	Berdnikov2008
2451723.318	275	-2.5148	0.1456	Berdnikov2004 Arch.
2451723.646	275	-2.1864	0.1205	Berdnikov2004 Arch.
2451923.557	278	1.6212	0.2502	ASAS
2452385.207	285	5.6952	0.3963	ASAS
2452714.987	290	8.6359	0.0853	ASAS
2453045.548	295	12.3581	0.1284	ASAS
2453046.518	295	13.3279	0.2393	Berdnikov2008
2453374.497	300	14.4666	0.1041	ASAS
2453702.77	305	15.9003	0.1157	ASAS
2454162.359	312	17.9141	0.1043	ASAS
2454490.577	317	19.2926	0.1561	ASAS
2454882.572	323	19.08	0.1919	ASAS
2455603.159	334	20.6208	1.5741	KWS
2456001.259	340	26.5127	0.7389	KWS
2456395.271	346	28.3181	0.28	KWS
2456724.795	351	31.0017	0.2888	KWS
2456728.329	351	34.5366	0.3098	Berdnikov2015
2457049.663	356	29.0302	0.0395	ASASSN-V
2457115.36	357	29.3597	0.3162	KWS
2457375.777	361	28.3055	0.059	ASASSN-V
2457440.735	362	27.8958	0.2652	KWS
2457701.431	366	27.1201	0.0388	ASASSN-V
2457766.072	367	26.3923	0.2101	KWS
2458027.854	371	26.7033	0.0629	ASASSN-V
2458157.422	373	25.5351	0.0442	ASASSN-g
2458224.407	374	27.153	0.1972	KWS
2458354.72	376	26.7296	0.0874	ASASSN-V
2458484.754	378	26.0277	0.0401	ASASSN-g
2458552.647	379	28.5531	0.2622	KWS
