HJD	Epoch	O-C	O-Cerr	Source
2414784.668	-10043	0.9162	0.1283	Harvard
2415113.814	-9956	1.2465	0.1771	Harvard
2415484.005	-9858	1.0472	0.2425	Harvard
2415843.54	-9763	1.53	0.1977	Harvard
2416220.816	-9663	0.8566	0.0999	Harvard
2416579.848	-9568	0.8374	0.1608	Harvard
2416931.412	-9475	0.9079	0.1133	Harvard
2417324.167	-9371	0.596	0.052	Harvard
2418031.192	-9184	0.8555	0.0773	Harvard
2418397.646	-9087	0.6994	0.0828	Harvard
2418771.779	-8988	0.6624	0.0783	Harvard
2419145.647	-8889	0.3609	0.0694	Harvard
2419508.668	-8793	0.55	0.0699	Harvard
2419863.523	-8699	0.133	0.2009	Harvard
2420275.749	-8590	0.3944	0.0867	Harvard
2421004.907	-8397	0.1102	0.1645	Harvard
2421333.74	-8310	0.1268	0.0784	Harvard
2421715.506	-8209	0.1643	0.0638	Harvard
2422081.701	-8112	-0.2517	0.4349	Harvard
2422512.461	-7998	-0.3532	0.1054	Harvard
2423170.607	-7824	0.1605	0.1037	Harvard
2423517.928	-7732	-0.2321	0.2367	Harvard
2424621.347	-7440	-0.4245	0.2154	Harvard
2425714.267	-7151	0.2222	0.2397	Harvard
2426065.627	-7058	0.0893	0.1253	Harvard
2426451.001	-6956	-0.045	0.0884	Harvard
2426776.137	-6870	0.0544	0.1172	Harvard
2427138.935	-6774	0.021	0.0849	Harvard
2427520.869	-6673	0.2265	0.1012	Harvard
2427897.951	-6573	-0.6417	0.3205	Harvard
2428224.19	-6487	0.5617	0.1961	Harvard
2428608.423	-6385	-0.7143	0.2216	Harvard
2428934.239	-6299	0.0654	0.1158	Harvard
2429338.183	-6192	-0.3958	0.1194	Harvard
2429731.507	-6088	-0.1396	0.1341	Harvard
2430067.933	-5999	-0.0885	0.1242	Harvard
2430434.335	-5902	-0.2969	0.0946	Harvard
2430766.826	-5814	-0.4011	0.1142	Harvard
2431141.041	-5715	-0.3559	0.0853	Harvard
2431530.222	-5612	-0.4635	0.1184	Harvard
2431870.593	-5522	-0.2462	0.1164	Harvard
2432274.901	-5415	-0.3444	0.1317	Harvard
2432622.414	-5323	-0.5447	0.107	Harvard
2432974.157	-5230	-0.2943	0.166	Harvard
2433359.533	-5128	-0.4266	0.2174	Harvard
2434096.108	-4933	-0.8531	0.1808	Harvard
2451938.915	-212	-1.0319	0.0145	ASAS
2452441.585	-79	-1.0349	0.009	ASAS
2452740.2	0	-1.0	0.0092	ASAS
2453053.944	83	-0.9535	0.0139	ASAS
2453409.198	177	-0.972	0.0117	ASAS
2453775.825	274	-0.9555	0.0089	ASAS
2454138.707	370	-0.905	0.0094	ASAS
2454199.17	386	-0.914	0.0104	Berdnikov2009
2454509.104	468	-0.898	0.0149	ASAS
2454883.304	567	-0.8677	0.0186	ASAS
2455650.826	770	-0.5832	0.1972	KWS
2456013.454	866	-0.7867	0.0944	KWS
2456395.129	967	-0.8407	0.0546	KWS
2456754.304	1062	-0.717	0.0462	KWS
2457067.985	1145	-0.7342	0.0184	ASASSN-V
2457090.555	1151	-0.8407	0.0356	KWS
2457445.892	1245	-0.7764	0.0093	ASASSN-V
2457461.076	1249	-0.7098	0.0465	KWS
2457778.496	1333	-0.7674	0.0339	KWS
2457786.075	1335	-0.7474	0.0082	ASASSN-V
2458160.235	1434	-0.7577	0.0095	ASASSN-V
2458205.495	1446	-0.8515	0.0329	KWS
2458228.26	1452	-0.7629	0.0106	ASASSN-g
2458526.812	1531	-0.7911	0.0122	ASASSN-g
2458560.951	1540	-0.6678	0.0565	KWS
