HJD	Epoch	O-C	O-Cerr	Source
2441570.727	-494	2.4063	0.0882	Madore1975
2444026.261	-376	1.9087	0.0701	Berdnikov2008
2444421.678	-357	1.8627	0.0194	Berdnikov2008
2444817.143	-338	1.8656	0.0194	Berdnikov2008
2447917.623	-189	1.0845	0.0698	Hipp
2448312.906	-170	0.9045	0.0336	Hipp
2448708.171	-151	0.7077	0.0366	Hipp
2450560.226	-62	0.332	0.0143	Berdnikov2008
2451246.971	-29	0.22	0.0362	Berdnikov2008
2451642.374	-10	0.1609	0.0197	Berdnikov2008
2451912.803	2	0.0096	0.0186	ASAS
2452308.28	21	0.0243	0.0172	Berdnikov2008
2452433.178	27	0.0388	0.03	ASAS
2452662.19	38	0.0992	0.0034	IOMC
2452828.668	46	0.0664	0.0142	ASAS
2453057.468	56	-0.0855	0.0664	IOMC
2453390.656	73	0.0805	0.0129	ASAS
2453452.758	75	-0.2584	0.1217	IOMC
2453786.111	92	0.0737	0.0202	ASAS
2453848.28	94	-0.1996	0.1299	IOMC
2454181.639	111	0.138	0.0116	ASAS
2454577.13	130	0.1666	0.0109	ASAS
2454888.943	144	-0.2272	0.1347	IOMC
2454972.567	149	0.1414	0.0161	ASAS
2456721.268	233	0.4802	0.022	Berdnikov2015
2456887.535	241	0.2364	0.1295	Gaia-dr2
2457283.35	260	0.5895	0.0915	Gaia-dr2
2457449.729	268	0.4575	0.0098	ASASSN-V
2457845.209	287	0.4751	0.0105	ASASSN-V
2458240.648	306	0.451	0.0221	ASASSN-V
