HJD	Epoch	O-C	O-Cerr	Source
2416329.86	-9390	1.4213	0.05	Erleksova1978 Arch.
2427686.98	-5342	1.2377	0.05	Erleksova1978 Arch.
2428508.67	-5049	0.8699	0.05	Erleksova1978 Arch.
2429675.91	-4633	0.9562	0.05	Erleksova1978 Arch.
2430615.57	-4299	0.7207	0.05	Erleksova1978 Arch.
2430624.06	-4296	0.7938	0.05	Erleksova1978 Arch.
2430983.07	-4168	0.6795	0.05	Erleksova1978 Arch.
2431302.86	-4054	0.6245	0.05	Erleksova1978 Arch.
2431675.95	-3921	0.562	0.05	Erleksova1978 Arch.
2432029.32	-3795	0.4191	0.05	Erleksova1978 Arch.
2432789.55	-3524	0.3158	0.05	Erleksova1978 Arch.
2433143.09	-3398	0.3429	0.05	Erleksova1978 Arch.
2433148.59	-3396	0.2316	0.05	Erleksova1978 Arch.
2433378.73	-3314	0.3076	0.05	Erleksova1978 Arch.
2433524.44	-3262	0.1234	0.05	Erleksova1978 Arch.
2433555.37	-3251	0.1912	0.05	Erleksova1978 Arch.
2433863.9	-3141	0.0988	0.05	Erleksova1978 Arch.
2434253.8	-3002	0.0123	0.05	Erleksova1978 Arch.
2435749.12	-2469	-0.0834	0.05	Erleksova1978 Arch.
2436088.68	-2348	-0.008	0.05	Erleksova1978 Arch.
2436461.84	-2215	-0.0005	0.05	Erleksova1978 Arch.
2436475.76	-2210	-0.1088	0.05	Erleksova1978 Arch.
2436823.59	-2086	-0.1804	0.05	Erleksova1978 Arch.
2437193.96	-1954	-0.1573	0.05	Erleksova1978 Arch.
2437208.18	-1949	0.0344	0.05	Erleksova1978 Arch.
2437586.8	-1814	-0.1094	0.05	Erleksova1978 Arch.
2437901.08	-1702	-0.0631	0.05	Erleksova1978 Arch.
2437914.93	-1697	-0.2414	0.05	Erleksova1978 Arch.
2438277.05	-1568	-0.0513	0.05	Erleksova1978 Arch.
2438299.36	-1560	-0.1865	0.05	Erleksova1978 Arch.
2438664.1	-1430	-0.1821	0.05	Erleksova1978 Arch.
2438936.15	-1333	-0.2809	0.05	Erleksova1978 Arch.
2438981.07	-1317	-0.2514	0.05	Erleksova1978 Arch.
2439371.07	-1178	-0.2379	0.05	Erleksova1978 Arch.
2439721.77	-1053	-0.2451	0.05	Erleksova1978 Arch.
2440103.33	-917	-0.2546	0.05	Erleksova1978 Arch.
2440111.7	-914	-0.3016	0.05	Erleksova1978 Arch.
2440473.68	-785	-0.2515	0.05	Erleksova1978 Arch.
2440824.38	-660	-0.2587	0.05	Erleksova1978 Arch.
2441054.48	-578	-0.2227	0.05	Erleksova1978 Arch.
2441949.6	-259	-0.1076	0.05	Erleksova1978 Arch.
2442030.95	-230	-0.1217	0.05	Erleksova1978 Arch.
2442030.98	-230	-0.0917	0.05	Erleksova1978 Arch.
2442030.985	-230	-0.0867	0.02	Szabados1991 Arch.
2442633.662	-15	-0.0364	0.0145	Szabados1976
2442639.93	-13	0.0306	0.05	Erleksova1978 Arch.
2442676.38	0	0.007	0.01	Szabados1991 Arch.
2442676.397	0	0.024	0.05	Erleksova1978 Arch.
2442676.425	0	0.052	0.05	Erleksova1978 Arch.
2442993.459	113	0.0466	0.02	Szabados1991 Arch.
2443610.218	333	0.1511	0.0199	Henden1980
2443700.608	365	0.1698	0.01	Szabados1991 Arch.
2444005.868	474	0.2031	0.0114	Diethelm1982
2444071.005	497	0.22	0.01	Szabados1991 Arch.
2444519.394	657	0.2942	0.0085	Arellano1984
2444528.38	660	0.2727	0.02	Szabados1991 Arch.
2444696.72	720	0.2732	0.01	Szabados1991 Arch.
2449934.31	2587	0.2896	0.0112	Berdnikov2008
2450310.246	2721	0.2676	0.0075	Berdnikov2008
2455755.666	4662	-0.0947	0.0326	KWS
2456106.455	4787	-0.0129	0.0162	KWS
2456479.577	4920	-0.0436	0.0127	KWS
2456852.673	5053	-0.0996	0.0119	KWS
2456892.002	5067	-0.0498	0.0089	Gaia-dr2
2457006.914	5108	-0.1704	0.0382	ASASSN-V
2457222.999	5185	-0.1204	0.01	KWS
2457248.281	5194	-0.0892	0.0184	Gaia-dr2
2457357.653	5233	-0.1385	0.0167	ASASSN-V
2457598.942	5319	-0.136	0.0081	KWS
2457705.597	5357	-0.0956	0.0161	ASASSN-V
2457946.8	5443	-0.1792	0.0064	KWS
2458053.363	5481	-0.2318	0.0099	ASASSN-V
2458235.76	5546	-0.2019	0.0141	ASASSN-g
2458294.648	5567	-0.2327	0.0092	KWS
2458690.269	5708	-0.2095	0.0067	KWS
2459060.633	5840	-0.1923	0.0106	KWS
