HJD	Epoch	O-C	O-Cerr	Source
2411934.379	-6818	0.1189	0.1257	Harvard
2412331.78	-6727	0.3208	0.2771	Harvard
2412680.63	-6648	-0.0148	0.0515	Harvard
2413056.095	-6561	0.0753	0.0327	Harvard
2414605.522	-6206	-0.0098	0.06	Szabados1977 Arch.
2414902.302	-6139	-0.0378	0.0491	Harvard
2415264.71	-6055	0.0902	0.114	Harvard
2415286.472	-6050	0.0278	0.06	Szabados1977 Arch.
2415631.261	-5972	-0.0045	0.0404	Harvard
2415984.9	-5890	0.0845	0.0416	Harvard
2416334.051	-5810	0.0494	0.0161	Harvard
2416691.959	-5728	0.0417	0.0466	Harvard
2417049.778	-5647	-0.0549	0.0399	Harvard
2417407.879	-5564	0.1307	0.0281	Harvard
2417612.872	-5517	-0.0229	0.06	Szabados1977 Arch.
2417761.211	-5484	-0.0872	0.0486	Harvard
2418110.51	-5404	0.0254	0.0369	Harvard
2418459.764	-5323	0.0932	0.0228	Harvard
2418586.222	-5294	-0.0284	0.06	Szabados1977 Arch.
2418830.858	-5238	0.1775	0.0376	Harvard
2419210.508	-5151	0.0879	0.0505	Harvard
2419577.163	-5067	0.0977	0.0256	Harvard
2419948.134	-4982	0.0593	0.0202	Harvard
2420297.338	-4902	0.077	0.0227	Harvard
2420672.641	-4817	0.0058	0.0293	Harvard
2421034.956	-4733	0.0405	0.0495	Harvard
2421397.322	-4650	0.1257	0.0277	Harvard
2421763.958	-4566	0.1169	0.0491	Harvard
2422117.437	-4485	0.0453	0.056	Harvard
2422475.305	-4404	-0.0025	0.0331	Harvard
2422829.007	-4322	0.1491	0.061	Harvard
2423212.977	-4235	0.0143	0.033	Harvard
2423562.268	-4154	0.1197	0.0421	Harvard
2423915.733	-4074	0.034	0.0279	Harvard
2424286.646	-3989	-0.0628	0.0393	Harvard
2424666.411	-3902	-0.0372	0.0606	Harvard
2425028.798	-3818	0.0691	0.033	Harvard
2425408.547	-3731	0.0784	0.0258	Harvard
2425757.676	-3652	0.0215	0.0112	Harvard
