HJD	Epoch	O-C	O-Cerr	Source
2412580.38	-6862	1.4191	0.1835	Harvard
2413323.89	-6727	1.4588	0.1386	Harvard
2414380.688	-6535	0.8766	0.3802	Harvard
2414777.656	-6463	1.3278	0.5478	Harvard
2415124.237	-6400	0.9553	0.2699	Harvard
2415470.881	-6337	0.6467	0.1373	Harvard
2415817.94	-6274	0.7528	0.0636	Harvard
2416164.908	-6211	0.7688	0.0936	Harvard
2416544.807	-6142	0.6715	0.06	Harvard
2416902.846	-6077	0.7435	0.0907	Harvard
2417255.064	-6013	0.5015	0.0713	Harvard
2417651.645	-5941	0.5649	0.0591	Harvard
2417998.499	-5878	0.4658	0.078	Harvard
2418356.722	-5813	0.7216	0.0401	Harvard
2418720.295	-5747	0.821	0.1015	Harvard
2419122.009	-5674	0.5101	0.0766	Harvard
2419479.906	-5609	0.4397	0.1551	Harvard
2419854.522	-5541	0.5673	0.1267	Harvard
2420201.6	-5478	0.6921	0.0702	Harvard
2420581.313	-5409	0.409	0.0638	Harvard
2420928.314	-5346	0.4575	0.0676	Harvard
2421308.291	-5277	0.4387	0.0627	Harvard
2421671.834	-5211	0.507	0.1149	Harvard
2422040.728	-5144	0.4203	0.2834	Harvard
2422398.898	-5079	0.6227	0.0592	Harvard
2422806.204	-5005	0.3966	0.1167	Harvard
2423153.101	-4942	0.3409	0.0824	Harvard
2423500.166	-4879	0.4529	0.0977	Harvard
2423896.301	-4807	0.0709	0.3044	Harvard
2424254.641	-4742	0.4436	0.4039	Harvard
2424651.324	-4670	0.6095	0.4175	Harvard
2425240.229	-4563	0.2447	0.3735	Harvard
2425592.695	-4499	0.2514	0.2155	Harvard
2425978.294	-4429	0.3468	0.4907	Harvard
2426358.0	-4360	0.0571	0.1471	Harvard
2427068.743	-4231	0.3728	0.0844	Harvard
2427839.829	-4091	0.4528	0.1379	Harvard
2428186.552	-4028	0.2226	0.0736	Harvard
2428566.66	-3959	0.3353	0.1143	Harvard
2428929.904	-3893	0.1045	0.0553	Harvard
2429287.955	-3828	0.1883	0.0621	Harvard
2429640.464	-3764	0.2376	0.0602	Harvard
2429987.422	-3701	0.243	0.0454	Harvard
2430339.922	-3637	0.2829	0.0522	Harvard
2430708.587	-3571	-0.0332	0.0609	Harvard
2431055.951	-3507	0.378	0.074	Harvard
2431413.625	-3442	0.0847	0.0733	Harvard
2431771.726	-3377	0.2182	0.0789	Harvard
2432124.071	-3313	0.103	0.1315	Harvard
2432570.235	-3232	0.1856	0.0724	Harvard
2432916.896	-3170	-0.1061	0.0762	Harvard
2433302.387	-3100	-0.1184	0.2329	Harvard
2434580.268	-2867	0.0946	0.097	Mitchell1964
2434893.979	-2811	-0.1035	0.1699	Harvard
2434932.819	-2803	0.1861	0.029	Mitchell1964
2435158.64	-2762	0.2122	0.0088	Irwin1961
2440236.149	-1840	0.0948	0.0078	Stobie1970
2440665.698	-1762	0.0837	0.01	Pel1976
2444300.33	-1103	-0.0284	0.0245	Eggen1985
2444636.196	-1042	-0.1009	0.1399	Harvard
2444994.318	-976	0.054	0.1094	Harvard
2445699.213	-848	0.0294	0.1613	Harvard
2446833.661	-643	-0.0033	0.1117	Harvard
2447879.975	-453	-0.0547	0.009	Hipp
2448226.899	-390	-0.0835	0.0189	Hipp
2448601.397	-322	-0.0744	0.0081	Hipp
2449515.63	-156	-0.0344	0.0117	Berdnikov2008
2450374.783	0	-0.0023	0.0094	Berdnikov2008
2450886.92	92	-0.0342	0.0088	Berdnikov2008
2451244.905	157	-0.0159	0.0066	Berdnikov2008
2451619.405	225	-0.0048	0.0061	Berdnikov2008
2451878.205	272	-0.0426	0.0174	ASAS
2451966.363	289	0.0008	0.0295	Berdnikov2008
2452225.151	335	-0.049	0.0096	ASAS
2452313.277	351	-0.0378	0.0055	Berdnikov2008
2452621.671	407	-0.0469	0.0054	ASAS
2452660.179	414	-0.0891	0.0196	Berdnikov2008
2452786.856	437	-0.0772	0.0348	IOMC
2452968.63	470	-0.0401	0.0104	ASAS
2453012.666	478	-0.062	0.0185	Berdnikov2008
2453354.101	540	-0.0724	0.0151	ASAS
2453519.363	570	-0.0261	0.004	IOMC
2453701.094	603	-0.0318	0.0084	ASAS
2453888.357	637	-0.0132	0.0057	IOMC
2454086.617	673	-0.012	0.006	ASAS
2454433.579	736	-0.0028	0.0066	ASAS
2454780.517	799	-0.0176	0.0069	ASAS
2457418.673	1279	0.1954	0.0629	ASASSN-V
2457765.582	1342	0.1519	0.0221	ASASSN-V
2458112.659	1405	0.276	0.024	ASASSN-V
