HJD	Epoch	O-C	O-Cerr	Source
2413342.37	-8173	0.0879	0.1577	Harvard
2413690.948	-8096	0.0226	0.1358	Harvard
2414039.609	-8019	0.0388	0.0932	Harvard
2414569.281	-7903	-0.0471	0.3222	Harvard
2414940.636	-7820	0.0243	0.0708	Harvard
2415529.309	-7690	0.0775	0.0661	Harvard
2415896.054	-7609	0.0663	0.0579	Harvard
2416267.402	-7527	0.1308	0.098	Harvard
2416615.956	-7450	0.0412	0.0426	Harvard
2416973.754	-7371	0.1393	0.0417	Harvard
2417322.33	-7294	0.0712	0.0256	Harvard
2417684.624	-7214	0.1369	0.12	Harvard
2418033.27	-7137	0.1387	0.0534	Harvard
2418381.818	-7060	0.0431	0.0282	Harvard
2418748.512	-6980	-0.0187	0.0305	Harvard
2419147.037	-6891	0.0551	0.0254	Harvard
2419509.205	-6812	-0.004	0.0239	Harvard
2419885.093	-6728	0.0721	0.0176	Harvard
2420269.945	-6643	0.0573	0.0288	Harvard
2420623.156	-6565	0.0966	0.0472	Harvard
2420989.862	-6484	0.0468	0.0311	Harvard
2421338.558	-6407	0.0983	0.0265	Harvard
2421728.091	-6321	0.2365	0.1069	Harvard
2422081.101	-6243	0.0746	0.0382	Harvard
2422479.55	-6155	0.0732	0.0514	Harvard
2422846.276	-6074	0.0432	0.0309	Harvard
2423194.992	-5997	0.1153	0.0239	Harvard
2423561.695	-5916	0.0623	0.0865	Harvard
2424281.493	-5758	-0.0667	0.3693	Harvard
2424648.274	-5677	-0.0415	0.0555	Harvard
2425703.44	-5443	0.1358	0.0865	Harvard
2426061.192	-5364	0.1885	0.1057	Harvard
2426450.546	-5278	0.1476	0.0845	Harvard
2426799.093	-5201	0.0502	0.0479	Harvard
2427152.323	-5123	0.108	0.0217	Harvard
2427523.449	-5042	-0.0489	0.0339	Harvard
2427890.221	-4961	-0.0328	0.0318	Harvard
2428257.054	-4879	0.0442	0.042	Harvard
2428605.632	-4803	-0.0217	0.0235	Harvard
2428954.329	-4725	0.0312	0.0557	Harvard
2429321.007	-4645	-0.047	0.0329	Harvard
2429728.514	-4555	-0.0455	0.0694	Harvard
2429778.401	-4543	0.0346	0.04	Vinko1991 Arch.
2430081.818	-4476	0.0858	0.0308	Harvard
2430434.9	-4399	-0.0044	0.0238	Harvard
2430783.624	-4321	0.0755	0.03	Harvard
2430910.451	-4293	0.1228	0.04	Vinko1991 Arch.
2431141.22	-4243	-0.0283	0.0341	Harvard
