HJD	Epoch	O-C	O-Cerr	Source
2414594.014	-14314	-0.1936	0.0676	Harvard
2414923.079	-14191	-0.1665	0.0502	Harvard
2415650.591	-13919	-0.284	0.0803	Harvard
2416014.462	-13783	-0.2269	0.0761	Harvard
2416378.277	-13647	-0.227	0.0551	Harvard
2416742.08	-13511	-0.238	0.0548	Harvard
2417097.811	-13378	-0.2963	0.0695	Harvard
2417472.441	-13238	-0.1818	0.095	Harvard
2417865.601	-13091	-0.2626	0.0694	Harvard
2418205.326	-12964	-0.2756	0.0736	Harvard
2418574.54	-12826	-0.2271	0.0585	Harvard
2418943.698	-12688	-0.2337	0.0668	Harvard
2419307.388	-12552	-0.3581	0.0773	Harvard
2419690.032	-12409	-0.2538	0.0591	Harvard
2420037.845	-12279	-0.2055	0.0622	Harvard
2420433.728	-12131	-0.2375	0.0701	Harvard
2420754.65	-12011	-0.3285	0.0574	Harvard
2421126.58	-11872	-0.2385	0.0492	Harvard
2421487.58	-11737	-0.3779	0.0564	Harvard
2421846.157	-11603	-0.266	0.066	Harvard
2422228.72	-11460	-0.243	0.0792	Harvard
2422587.063	-11326	-0.3645	0.0689	Harvard
2422945.695	-11192	-0.1962	0.0912	Harvard
2423320.13	-11052	-0.2765	0.0689	Harvard
2423697.454	-10911	-0.1426	0.0769	Harvard
2424053.057	-10778	-0.3283	0.0688	Harvard
2424414.232	-10643	-0.2931	0.1109	Harvard
2424794.236	-10501	-0.1546	0.0996	Harvard
2425152.509	-10367	-0.3456	0.1019	Harvard
2425527.196	-10227	-0.1739	0.0769	Harvard
2425888.172	-10092	-0.3372	0.0719	Harvard
2426251.916	-9956	-0.4074	0.0692	Harvard
2426618.466	-9819	-0.3472	0.0647	Harvard
2426979.672	-9684	-0.2812	0.082	Harvard
2427359.459	-9542	-0.359	0.1325	Harvard
2428071.11	-9276	-0.2866	0.0983	Harvard
2428437.615	-9139	-0.2706	0.069	Harvard
2428817.424	-8997	-0.3269	0.0659	Harvard
2429191.894	-8857	-0.3727	0.0624	Harvard
2429518.271	-8735	-0.3584	0.0826	Harvard
2429898.215	-8593	-0.2791	0.0684	Harvard
2430237.834	-8466	-0.399	0.103	Harvard
2430591.157	-8334	-0.1899	0.1103	Harvard
2431000.344	-8181	-0.2946	0.0863	Harvard
2431329.313	-8058	-0.3635	0.1052	Harvard
2431677.104	-7928	-0.3362	0.0945	Harvard
2432065.054	-7783	-0.2773	0.1018	Harvard
2432803.494	-7507	-0.1664	0.1143	Harvard
2433159.103	-7374	-0.3466	0.1773	Harvard
2434285.417	-6953	-0.2527	0.2265	Harvard
2439172.801	-5126	-0.2891	0.0529	Wachmann1976
2439528.62	-4993	-0.2597	0.0331	Wachmann1976
2440258.968	-4720	-0.2155	0.0378	Wachmann1976
2440732.561	-4543	-0.1166	0.1869	Harvard
2442016.582	-4063	-0.1471	0.1622	Harvard
2443078.515	-3666	-0.2313	0.2088	Harvard
2443543.935	-3492	-0.2801	0.0596	Henden1980
2444549.772	-3116	-0.2839	0.1911	Harvard
2445293.532	-2838	-0.2029	0.1055	Harvard
2445609.152	-2720	-0.2457	0.084	Harvard
2445964.753	-2587	-0.4338	0.1981	Harvard
2446323.352	-2453	-0.2991	0.2158	Harvard
2446687.359	-2317	-0.1066	0.1679	Harvard
2447085.966	-2168	-0.0907	0.0965	Harvard
2447417.645	-2044	-0.1251	0.0973	Harvard
2447960.646	-1841	-0.1714	0.0127	Hipp
2448308.441	-1711	-0.1403	0.0046	Hipp
2448701.711	-1564	-0.1105	0.008	Hipp
2448878.249	-1498	-0.1298	0.019	Berdnikov2008
2449038.716	-1438	-0.1694	0.0598	Hipp
2449621.944	-1220	-0.1148	0.0094	Berdnikov2008
2450379.034	-937	-0.0799	0.0106	Berdnikov2008
2450807.078	-777	-0.0534	0.0046	Berdnikov2008
2451248.477	-612	-0.0462	0.0077	Berdnikov2008
2451617.654	-474	-0.034	0.0101	Berdnikov2008
2451944.03	-352	-0.0218	0.0134	Berdnikov2008
2451978.83	-338	0.0022	0.011	ASAS
2452315.882	-213	-0.0088	0.0071	Berdnikov2008
2452500.492	-143	0.0188	0.0043	ASAS
2452620.867	-98	0.0133	0.0095	Berdnikov2008
2452885.689	0	-0.0	0.0034	ASAS
2452982.019	36	0.0258	0.0069	Berdnikov2008
2453268.257	143	0.028	0.0093	ASAS
2453629.377	278	0.0086	0.0083	ASAS
2454089.5	450	0.0124	0.0078	ASAS
2454402.476	567	0.0011	0.0063	ASAS
2454728.841	689	0.0037	0.0063	ASAS
2455523.401	986	0.0562	0.02	KWS
2455948.74	1145	0.0536	0.0046	Bochum
2456218.968	1246	0.0953	0.0108	KWS
2456248.354	1257	0.056	0.0031	Bochum
2456558.669	1373	0.0582	0.0077	Bochum
2456577.395	1380	0.0581	0.0094	KWS
2456935.863	1514	0.0622	0.0051	Bochum
2456946.56	1518	0.0585	0.0111	KWS
2457008.104	1541	0.0752	0.0324	ASASSN-V
2457305.015	1652	0.049	0.0136	KWS
2457307.724	1653	0.0827	0.0285	ASASSN-V
2457612.598	1766	-0.0055	0.0211	ASASSN-V
2457666.138	1787	0.0323	0.0109	KWS
2457979.164	1904	0.0716	0.0261	ASASSN-V
2458048.68	1930	0.0345	0.0123	KWS
2458219.936	1994	0.084	0.0322	ASASSN-g
2458345.657	2041	0.0748	0.0264	ASASSN-V
2458409.795	2065	0.01	0.0115	KWS
2458490.075	2095	0.0365	0.0024	TESS
2458530.252	2110	0.0877	0.0337	ASASSN-g
2458776.284	2202	0.0098	0.0118	KWS
