HJD	Epoch	O-C	O-Cerr	Source
2451289.937	-35	0.0564	0.2911	NSVS
2451928.915	-21	-0.268	0.1602	ASAS
2452099.36	-17	-0.3035	0.0875	ASAS
2452440.412	-9	-0.2129	0.1284	ASAS
2452653.809	-3	0.083	0.0925	ASAS
2452824.206	0	0.0	0.0874	ASAS
2453037.169	4	-0.1381	0.0966	ASAS
2453378.439	13	0.1706	0.1054	ASAS
2453548.759	17	0.0105	0.1307	ASAS
2453762.099	22	0.2491	0.0924	ASAS
2454145.697	31	0.2662	0.137	ASAS
2454315.833	34	-0.0786	0.2008	ASAS
2454486.233	38	-0.1597	0.1174	ASAS
2454656.488	42	-0.3853	0.143	ASAS
2454869.638	47	-0.336	0.1318	ASAS
2455040.04	51	-0.414	0.1171	ASAS
2456020.545	74	-0.1732	0.0607	Berdnikov2019
2456361.289	82	-0.3902	0.3124	KWS
2456702.9	91	0.2595	0.057	Berdnikov2019
2456745.285	92	0.0244	0.5129	KWS
2457044.313	99	0.7112	0.0536	ASASSN-V
2457044.463	99	0.8614	0.4981	KWS
2457214.489	103	0.4065	0.5214	KWS
2457214.788	103	0.7061	0.0532	ASASSN-V
2457427.997	108	0.8137	0.0785	ASASSN-V
2457428.137	108	0.9541	0.496	KWS
2457598.606	112	0.9422	0.0701	ASASSN-V
2457769.35	116	1.2053	0.0856	ASASSN-V
2457811.626	117	0.8613	0.5047	KWS
2457939.841	120	1.216	0.0876	ASASSN-V
2458153.09	125	1.3639	0.0889	ASASSN-V
2458195.677	126	1.3313	0.4372	KWS
2458195.709	126	1.3631	0.103	ASASSN-g
2458366.43	130	1.6038	0.1003	ASASSN-g
2458536.549	134	1.2419	0.3969	KWS
2458537.075	134	1.7674	0.1844	ASASSN-g
2458707.509	138	1.7208	0.1651	ASASSN-g
