HJD	Epoch	O-C	O-Cerr	Source
2417261.966	-5267	-2.8402	0.06	Szabados1980 Arch.
2421116.83	-4646	-2.3282	0.06	Szabados1980 Arch.
2421576.21	-4572	-2.2429	0.06	Szabados1980 Arch.
2422513.479	-4421	-2.1835	0.06	Szabados1980 Arch.
2422805.42	-4374	-1.9568	0.06	Szabados1980 Arch.
2426318.709	-3808	-1.652	0.06	Szabados1980 Arch.
2429155.586	-3351	-1.2305	0.06	Szabados1980 Arch.
2434655.221	-2465	-0.7193	0.06	Szabados1980 Arch.
2436790.494	-2121	-0.5461	0.0108	Oosterhoff1960
2436790.505	-2121	-0.5351	0.0176	Mitchell1964
2436815.321	-2116	-0.5461	0.02	Szabados1980 Arch.
2436821.553	-2115	-0.5207	0.02	Szabados1980 Arch.
2436852.572	-2110	-0.5352	0.02	Szabados1980 Arch.
2437212.588	-2052	-0.507	0.04	Szabados1980 Arch.
2442420.333	-1214	-0.1717	0.3108	Szabados1980
2442774.116	-1157	-0.1696	0.1264	Szabados1980
2442836.167	-1146	-0.1855	0.02	Szabados1980 Arch.
2443121.714	-1101	-0.146	0.0797	Szabados1980
2443357.496	-1063	-0.2182	0.0211	Harris1980
2443717.528	-1005	-0.1738	0.0106	Harris1980
2447870.028	-335	0.0528	0.0148	Hipp
2448261.056	-272	0.0596	0.0102	Hipp
2448608.576	-216	0.0058	0.0341	Hipp
2448956.247	-160	0.1025	0.0274	Hipp
2449936.869	-2	0.0673	0.0056	Berdnikov2008
2450309.266	57	0.0638	0.0086	Berdnikov2008
2452636.886	432	0.1768	0.0054	IOMC
2453344.382	546	0.1105	0.0027	IOMC
2453741.608	610	0.1087	0.0015	IOMC
2454138.86	674	0.1327	0.01	IOMC
2454380.834	713	0.046	0.0439	AAVSO
2454542.448	739	0.2854	0.1291	IOMC
2456174.543	1002	0.0224	0.0116	KWS
2456522.144	1058	0.0491	0.0079	KWS
2456906.926	1120	0.0162	0.012	KWS
2457179.996	1163	-0.0079	0.0025	ASASSN-V
2457254.486	1176	0.0017	0.0064	KWS
2457552.384	1223	-0.021	0.0029	ASASSN-V
2457601.993	1231	-0.065	0.0112	KWS
2457912.349	1281	-0.0439	0.0022	ASASSN-V
2457968.207	1290	-0.0462	0.0083	KWS
2458272.329	1339	-0.0518	0.0027	ASASSN-V
2458290.917	1342	-0.0836	0.0016	ASASSN-g
2458346.799	1351	-0.0613	0.0104	KWS
2458638.479	1398	-0.0959	0.0009	ASASSN-g
2458706.746	1409	-0.1027	0.0142	KWS
2459004.648	1457	-0.1211	0.0031	ASASSN-g
2459072.917	1468	-0.1262	0.0145	KWS
