HJD	Epoch	O-C	O-Cerr	Source
2412597.504	-2026	-90.1589	1.1361	Harvard
2412928.681	-2009	-99.0549	1.2051	Harvard
2413954.315	-1954	-93.6423	0.215	Harvard
2414357.555	-1933	-87.1547	0.246	Harvard
2414772.204	-1911	-88.1516	0.6872	Harvard
2415113.541	-1893	-86.8884	1.5169	Harvard
2415456.499	-1875	-84.004	0.4969	Harvard
2415797.286	-1857	-83.2913	0.1667	Harvard
2416138.591	-1839	-82.0599	0.1714	Harvard
2416480.028	-1821	-80.6958	0.2322	Harvard
2416821.702	-1803	-79.0964	0.2746	Harvard
2417183.009	-1784	-76.7554	0.1156	Harvard
2417524.423	-1765	-75.4149	0.1724	Harvard
2417902.466	-1745	-75.2324	0.1656	Harvard
2418283.044	-1725	-72.5137	0.18	Harvard
2418624.761	-1707	-70.8705	0.2335	Harvard
2418984.773	-1688	-69.8254	0.1633	Harvard
2419383.239	-1667	-68.112	0.3058	Harvard
2419800.738	-1645	-66.258	0.1608	Harvard
2420178.868	-1625	-65.9877	0.1508	Harvard
2420579.414	-1604	-62.1945	0.1102	Harvard
2420919.779	-1586	-61.9031	0.1	Harvard
2421298.565	-1566	-60.9769	0.1825	Harvard
2421659.833	-1547	-58.676	0.178	Harvard
2422038.861	-1527	-57.5079	0.2558	Harvard
2422417.697	-1506	-56.5311	0.2259	Harvard
2422796.983	-1486	-55.1052	0.707	Harvard
2423138.574	-1468	-53.5878	0.2012	Harvard
2423479.615	-1450	-52.6207	0.2361	Harvard
2423821.076	-1432	-51.2333	0.1872	Harvard
2424161.616	-1414	-50.7667	0.201	Harvard
2424503.762	-1396	-48.6947	0.3172	Harvard
2425242.55	-1357	-46.7328	0.759	Harvard
2425641.692	-1336	-44.3434	0.945	Harvard
2426001.13	-1317	-43.872	0.3926	Harvard
2426361.997	-1298	-41.9721	0.1899	Harvard
2426702.715	-1280	-41.3277	0.3465	Harvard
2427043.591	-1262	-40.5256	0.1742	Harvard
2427442.085	-1241	-38.7845	0.2848	Harvard
2427840.713	-1219	-36.9084	0.2178	Harvard
2428181.331	-1201	-36.3648	0.1872	Harvard
2428559.61	-1181	-35.9447	0.168	Harvard
2428900.535	-1163	-35.0936	0.1159	Harvard
2429242.324	-1145	-33.3789	0.338	Harvard
2429582.713	-1127	-33.0636	0.1509	Harvard
2429924.101	-1109	-31.7489	0.088	Harvard
2430283.724	-1090	-31.0925	0.1314	Harvard
2430700.657	-1068	-29.8055	0.1898	Harvard
2431042.144	-1050	-28.3924	0.1373	Harvard
2431402.03	-1031	-27.4724	0.0969	Harvard
2431742.66	-1013	-26.916	0.1335	Harvard
2432140.786	-992	-25.543	0.1952	Harvard
2432480.946	-974	-25.4569	0.187	Harvard
2432821.284	-956	-25.192	0.382	Harvard
2433275.881	-932	-24.0267	0.0949	Harvard
2433656.008	-912	-21.7595	0.2521	Harvard
2434016.531	-893	-20.2037	0.8978	Harvard
2434470.478	-869	-19.6883	0.6474	Eggen1957
2434470.562	-869	-19.6039	0.1956	Mitchell1964
2434470.571	-869	-19.5947	0.3049	AAVSO
2434829.795	-850	-19.3374	0.1837	Mitchell1964
2434830.002	-850	-19.1307	0.1962	AAVSO
2434830.092	-850	-19.0403	0.3915	Eggen1957
2434889.708	-846	-16.1042	0.6043	Harvard
2435152.093	-832	-18.2207	0.1034	Irwin1961
2435170.738	-831	-18.4682	0.1006	Mitchell1964
2435171.027	-831	-18.1792	0.1416	AAVSO
2441360.225	-504	-6.9869	0.0391	AAVSO
2441642.938	-489	-7.6695	0.0337	Madore1975
2443895.114	-370	-3.7586	0.0824	Coulson1985
2444270.579	-350	-6.1525	1.619	AAVSO
2444386.316	-344	-3.7736	0.0545	Coulson1985
2444631.687	-331	-4.0114	0.3119	Harvard
2444971.519	-313	-4.2536	0.2469	AAVSO
2445330.615	-294	-4.1238	0.2358	Harvard
2445349.386	-293	-4.2459	0.6068	AAVSO
2445689.459	-275	-4.2469	0.4454	Harvard
2445689.502	-275	-4.2032	0.3164	AAVSO
2446068.719	-255	-2.8459	1.8301	AAVSO
2446086.932	-254	-3.5267	0.8854	Harvard
2446427.954	-236	-2.578	0.3188	AAVSO
2446767.306	-218	-3.2996	0.2558	AAVSO
2447126.928	-199	-2.6446	0.7398	AAVSO
2447545.611	-176	0.3928	1.0606	AAVSO
2447865.55	-160	-0.8489	0.031	Hipp
2447883.912	-159	-1.38	0.6879	AAVSO
2448205.638	-142	-0.8343	0.0206	Hipp
2448545.877	-124	-0.6691	0.0825	Hipp
2448942.514	-103	-0.7851	0.1362	Hipp
2448998.282	-100	-1.6954	0.3782	AAVSO
2449415.383	-78	-0.2404	0.7844	AAVSO
2449755.873	-59	0.1757	0.7948	AAVSO
2450113.275	-41	-1.3884	1.0328	AAVSO
2450341.369	-29	-0.0112	0.0502	Berdnikov2008
2450453.539	-23	-1.1986	1.7605	AAVSO
2450812.999	-4	-0.7056	0.441	AAVSO
2450889.294	0	0.0174	0.0229	Berdnikov2008
2451171.025	14	-1.6463	0.8603	AAVSO
2451248.282	19	0.0395	0.0161	Berdnikov2008
2451512.631	32	-0.1138	0.3761	AAVSO
2451607.308	38	0.0982	0.0188	Berdnikov2008
2451891.253	53	0.6489	0.267	ASAS
2451947.367	56	0.0841	0.0312	Berdnikov2008
2452230.836	71	0.1583	0.0361	ASAS
2452306.271	75	0.0209	0.0172	Berdnikov2008
2452570.807	89	0.0553	0.0121	ASAS
2452646.432	93	0.1081	0.0339	Berdnikov2008
2452665.522	94	0.3051	0.0121	IOMC
2452910.86	107	0.0349	0.0146	ASAS
2452986.488	111	0.0907	0.0107	Berdnikov2008
2453005.263	111	-0.0271	0.0184	IOMC
2453023.931	112	-0.2524	0.1888	AAVSO
2453345.371	130	0.0069	0.0134	ASAS
2453364.051	130	-0.2066	0.0821	AAVSO
2453403.256	133	1.2134	0.0239	IOMC
2453685.306	147	-0.1316	0.0162	ASAS
2453760.527	151	-0.4826	0.0978	AAVSO
2454082.037	168	-0.1538	0.0104	ASAS
2454100.737	169	-0.3468	0.0752	AAVSO
2454422.019	186	-0.2449	0.0109	ASAS
2454515.561	191	-1.1683	0.8008	AAVSO
2454761.988	204	-0.3502	0.0115	ASAS
2454856.253	209	-0.5495	0.0115	IOMC
2455120.79	223	-0.5145	0.0797	ASAS
2455309.312	233	-0.9225	0.5138	AAVSO
2456309.607	286	-1.9561	0.4609	AAVSO
2456669.663	305	-0.8662	0.1341	AAVSO
2456877.061	316	-1.2913	0.1194	Gaia-dr2
2457009.921	323	-0.6822	0.278	AAVSO
2457235.812	335	-1.507	0.0562	Gaia-dr2
2457348.463	341	-2.2141	0.255	AAVSO
2457462.621	347	-1.4133	0.0467	ASASSN-V
2457689.676	359	-1.0749	0.295	AAVSO
2457802.458	365	-1.6499	0.0266	ASASSN-V
2458029.432	377	-1.3918	0.3049	AAVSO
2458142.208	383	-1.9741	0.0238	ASASSN-V
2458368.42	395	-2.4774	0.3267	AAVSO
