HJD	Epoch	O-C	O-Cerr	Source
2425984.121	-8534	-0.6837	0.065	Hacke1990 Arch.
2426036.981	-8517	-0.9682	0.065	Hacke1990 Arch.
2426634.091	-8326	-0.9531	0.065	Hacke1990 Arch.
2426718.811	-8299	-0.6392	0.065	Hacke1990 Arch.
2426975.04	-8217	-0.7545	0.065	Hacke1990 Arch.
2426978.081	-8216	-0.8397	0.065	Hacke1990 Arch.
2426978.091	-8216	-0.8297	0.065	Hacke1990 Arch.
2427019.041	-8203	-0.5197	0.065	Hacke1990 Arch.
2427071.851	-8186	-0.8542	0.065	Hacke1990 Arch.
2427096.895	-8178	-0.8196	0.032	Berdnikov1994 Arch.
2427100.031	-8177	-0.8096	0.065	Hacke1990 Arch.
2427121.721	-8170	-1.0026	0.065	Hacke1990 Arch.
2427121.751	-8170	-0.9726	0.065	Hacke1990 Arch.
2427121.791	-8170	-0.9326	0.065	Hacke1990 Arch.
2427856.801	-7935	-0.5681	0.065	Hacke1990 Arch.
2427859.821	-7934	-0.6743	0.065	Hacke1990 Arch.
2427859.871	-7934	-0.6243	0.065	Hacke1990 Arch.
2429685.731	-7350	-0.4365	0.065	Hacke1990 Arch.
2429685.761	-7349	-0.4065	0.065	Hacke1990 Arch.
2429688.731	-7349	-0.5626	0.065	Hacke1990 Arch.
2429688.751	-7349	-0.5426	0.065	Hacke1990 Arch.
2429688.821	-7349	-0.4726	0.065	Hacke1990 Arch.
2429691.821	-7348	-0.5988	0.065	Hacke1990 Arch.
2433327.771	-6184	-0.3624	0.065	Hacke1990 Arch.
2433355.741	-6176	-0.5277	0.065	Hacke1990 Arch.
2433630.981	-6087	-0.389	0.065	Hacke1990 Arch.
2433912.452	-5997	-0.2718	0.035	Berdnikov1994 Arch.
2435159.994	-5599	-0.0638	0.0185	Mitchell1964
2435160.032	-5599	-0.0255	0.0201	Irwin1961
2435206.765	-5583	-0.1853	0.031	Berdnikov1994 Arch.
2436244.951	-5251	0.1187	0.065	Hacke1990 Arch.
2436598.001	-5138	-0.0863	0.065	Hacke1990 Arch.
2436598.031	-5138	-0.0563	0.065	Hacke1990 Arch.
2437016.921	-5004	-0.0706	0.065	Hacke1990 Arch.
2437366.961	-4892	-0.1595	0.065	Hacke1990 Arch.
