HJD	Epoch	O-C	O-Cerr	Source
2420627.598	-4333	-0.3728	0.06	Szabados1991 Arch.
2421114.079	-4233	-0.3368	0.04	Szabados1991 Arch.
2421498.432	-4154	-0.2753	0.06	Szabados1991 Arch.
2422656.134	-3916	-0.3124	0.06	Szabados1991 Arch.
2423507.509	-3741	-0.2162	0.06	Szabados1991 Arch.
2424996.109	-3435	-0.1379	0.06	Szabados1991 Arch.
2426163.55	-3195	-0.1649	0.06	Szabados1991 Arch.
2426513.862	-3123	-0.0933	0.06	Szabados1991 Arch.
2426898.035	-3044	-0.2118	0.06	Szabados1991 Arch.
2427321.296	-2957	-0.158	0.06	Szabados1991 Arch.
2427739.687	-2871	-0.1097	0.04	Szabados1991 Arch.
2428848.68	-2643	-0.2113	0.04	Szabados1991 Arch.
2429096.894	-2592	-0.0842	0.06	Szabados1991 Arch.
2429452.007	-2519	-0.0761	0.06	Szabados1991 Arch.
2429812.004	-2445	-0.0484	0.06	Szabados1991 Arch.
2432755.06	-1840	0.0154	0.06	Szabados1991 Arch.
2433387.402	-1710	-0.0211	0.06	Szabados1991 Arch.
2434219.193	-1539	-0.0511	0.06	Szabados1991 Arch.
2434589.022	-1463	0.0797	0.06	Szabados1991 Arch.
2435362.501	-1304	0.1112	0.06	Szabados1991 Arch.
2435732.104	-1228	0.016	0.02	Szabados1991 Arch.
2436106.672	-1151	0.0213	0.02	Szabados1991 Arch.
2436733.593	-1022	0.0682	0.0059	Mitchell1964
2436773.146	-1014	0.0657	0.02	Szabados1991 Arch.
2436802.348	-1008	0.081	0.02	Szabados1991 Arch.
2437224.885	-921	0.0506	0.0094	Mitchell1964
2437352.009	-895	0.0591	0.02	Szabados1991 Arch.
2441160.858	-112	0.0438	0.04	Szabados1991 Arch.
2441471.628	-48	0.129	0.0361	Szabados1977
2441525.716	-37	0.068	0.04	Szabados1991 Arch.
2441705.698	0	0.0654	0.02	Szabados1991 Arch.
2441855.875	31	0.0842	0.0705	Szabados1977
2442935.78	253	0.0817	0.2122	Szabados1977
2443062.886	279	0.0718	0.04	Szabados1991 Arch.
2444098.362	492	0.0604	0.0125	Moffett1984
2444366.557	547	0.0702	0.02	Szabados1991 Arch.
2444458.333	566	0.0616	0.0044	Moffett1984
2444886.413	654	0.07	0.0047	Moffett1984
2444911.356	659	0.0508	0.02	Szabados1991 Arch.
2446603.542	1007	0.0484	0.0041	Berdnikov2008
2447858.552	1265	0.0298	0.0028	Hipp
2448203.927	1336	0.0288	0.0061	Hipp
2448549.315	1407	0.041	0.0095	Hipp
2448802.236	1459	0.0104	0.0017	Barnes1997
2448943.267	1488	-0.0274	0.0319	Hipp
2449614.612	1626	0.024	0.0058	Berdnikov2008
2451326.9	1978	0.0253	0.0051	NSVS
2453900.071	2507	-0.0974	0.0147	SWASP
2454255.233	2580	-0.0409	0.0027	Kelt
2454279.516	2585	-0.0796	0.0028	SWASP
2454600.63	2651	-0.0196	0.0061	Kelt
2455748.5	2887	-0.1602	0.01	KWS
2456098.758	2959	-0.1426	0.008	KWS
2456453.848	3032	-0.157	0.0047	KWS
2456799.194	3103	-0.1866	0.0054	KWS
2457003.445	3145	-0.2432	0.0065	ASAS-SN
2457154.295	3176	-0.1905	0.0033	KWS
2457353.705	3217	-0.2229	0.0081	ASAS-SN
2457519.135	3251	-0.1848	0.0043	KWS
2457699.106	3288	-0.1986	0.0073	ASAS-SN
2457874.232	3324	-0.1927	0.0045	KWS
2458044.472	3359	-0.2086	0.0071	ASAS-SN
2458292.543	3410	-0.2238	0.0046	KWS
2458389.916	3430	-0.1397	0.0175	ASAS-SN
2458691.421	3492	-0.2311	0.0315	KWS
