HJD	Epoch	O-C	O-Cerr	Source
2412127.786	-3782	0.6476	0.0451	AAVSO
2412475.804	-3730	0.4381	0.0433	AAVSO
2412824.111	-3678	0.5188	0.0353	AAVSO
2413172.284	-3626	0.4648	0.0288	AAVSO
2413520.496	-3574	0.4502	0.0304	AAVSO
2413869.347	-3522	1.074	0.096	AAVSO
2414504.899	-3427	0.4415	0.026	AAVSO
2414987.479	-3355	0.862	0.24	AAVSO
2415341.733	-3302	0.1923	0.0624	AAVSO
2416078.538	-3192	0.3633	0.0609	AAVSO
2416453.654	-3136	0.4658	0.0361	AAVSO
2416922.508	-3066	0.5521	0.0509	AAVSO
2417665.838	-2955	0.5522	0.0307	AAVSO
2418248.528	-2868	0.6313	0.1376	AAVSO
2418616.762	-2813	0.5483	0.0424	AAVSO
2419560.976	-2672	0.5318	0.0504	AAVSO
2420545.452	-2525	0.5972	0.0593	AAVSO
2420947.298	-2465	0.6429	0.0506	AAVSO
2421308.906	-2411	0.63	0.0487	AAVSO
2422065.446	-2298	0.4462	0.0603	AAVSO
2422413.714	-2246	0.4869	0.0753	AAVSO
2434868.999	-386	-0.038	0.3203	Mitchell1964
2434869.348	-386	0.3109	0.0502	AAVSO
2435230.825	-331	0.1684	0.05	Szabados1989 Arch.
2435351.352	-313	0.1553	0.05	Szabados1989 Arch.
2439576.884	316	0.0868	0.0189	Cousins1968
2439577.46	316	0.6633	0.1949	AAVSO
2439630.477	324	0.1069	0.03	Szabados1989 Arch.
2439925.17	368	0.1464	0.009	Cousins1968
2439925.558	368	0.5344	0.0575	AAVSO
2439958.628	373	0.1209	0.02	Szabados1989 Arch.
2440675.161	480	0.1098	0.0337	Pel1976
2440742.146	490	0.1283	0.02	Szabados1989 Arch.
2442858.297	806	0.131	0.05	Szabados1989 Arch.
2444304.704	1022	0.0561	0.0105	Eggen1985
2444425.353	1041	0.1657	0.03	Szabados1989 Arch.
2447860.528	1553	-0.0519	0.0113	Hipp
2448208.787	1605	-0.0198	0.0099	Hipp
2448557.041	1657	0.0064	0.0118	Hipp
2448945.276	1715	-0.1649	0.0223	Hipp
2450351.732	1925	-0.0103	0.007	Berdnikov2008
2450887.463	2005	-0.0131	0.009	Berdnikov2008
2451249.089	2059	-0.0069	0.0082	Berdnikov2008
2451617.429	2114	0.0162	0.0068	Berdnikov2008
2451878.59	2153	0.0068	0.0371	ASAS
2451965.648	2166	0.0073	0.015	Berdnikov2008
2452226.726	2205	-0.0849	0.0331	ASAS
2452313.894	2218	0.0266	0.0053	Berdnikov2008
2452575.016	2257	-0.0214	0.0069	ASAS
2452662.109	2270	0.0152	0.0104	Berdnikov2008
2452923.229	2309	-0.0354	0.0099	ASAS
2453010.304	2322	-0.0166	0.0131	Berdnikov2008
2453358.566	2374	0.0183	0.0075	ASAS
2453706.783	2426	0.0081	0.0068	ASAS
2454088.515	2483	0.0295	0.0082	ASAS
2454436.726	2535	0.0139	0.0079	ASAS
2454784.947	2587	0.0075	0.0099	ASAS
2456867.681	2898	0.0769	0.0076	Gaia-dr2
2457222.613	2951	0.0854	0.0116	Gaia-dr2
2457416.705	2980	-0.0259	0.0124	ASASSN-V
2457764.987	3032	0.0287	0.0114	ASASSN-V
2458113.181	3084	-0.0039	0.0114	ASASSN-V
