HJD	Epoch	O-C	O-Cerr	Source
2434871.191	-4683	-0.4895	0.3923	AAVSO
2434871.809	-4683	0.1286	0.1603	Mitchell1964
2439151.414	-4497	-0.9247	0.6498	AAVSO
2441176.978	-4409	-0.6181	0.4634	AAVSO
2441752.199	-4384	-0.7538	0.2136	Madore1975
2443869.401	-4292	-0.8666	0.4626	AAVSO
2443892.433	-4291	-0.8483	0.2467	Coulson1985
2444629.355	-4259	-0.3839	0.1319	Coulson1985
2444973.792	-4244	-1.1609	0.1907	Coulson1985
2446078.92	-4196	-0.7194	0.3288	AAVSO
2446424.061	-4181	-0.7924	0.2602	AAVSO
2446769.742	-4166	-0.326	0.2816	AAVSO
2447897.811	-4117	0.0432	0.0824	Hipp
2448242.913	-4102	-0.0696	0.1008	Hipp
2448588.443	-4087	0.2461	0.0654	Hipp
2449002.71	-4069	0.2568	0.1517	AAVSO
2449508.856	-4047	0.0877	0.0588	Berdnikov2008
2450107.262	-4021	0.1225	0.8961	AAVSO
2450544.402	-4002	-0.0087	0.044	Berdnikov2008
2450820.525	-3990	-0.0578	0.1365	AAVSO
2450889.808	-3987	0.183	0.0542	Berdnikov2008
2451234.929	-3972	0.0894	0.051	Berdnikov2008
2451603.126	-3956	0.058	0.0459	Berdnikov2008
2451879.373	-3944	0.1337	0.0489	ASAS
2451948.372	-3941	0.0891	0.0335	Berdnikov2015
2451948.372	-3941	0.0895	0.0355	Berdnikov2008
2452224.33	-3929	-0.1239	0.1094	ASAS
2452316.643	-3925	0.1319	0.0356	Berdnikov2008
2452615.717	-3912	0.02	0.0436	ASAS
2452661.841	-3910	0.1157	0.0637	Berdnikov2008
2452961.046	-3897	0.135	0.0553	ASAS
2453007.179	-3895	0.2388	0.0711	Berdnikov2008
2453030.12	-3894	0.166	0.1455	AAVSO
2453122.2	-3890	0.1885	0.009	IOMC
2453352.449	-3880	0.2951	0.0391	ASAS
2453375.299	-3879	0.1307	0.0862	AAVSO
2453697.748	-3865	0.3798	0.046	ASAS
2453766.941	-3862	0.5301	0.0668	AAVSO
2454088.961	-3848	0.3494	0.0353	ASAS
2454111.965	-3847	0.3397	0.0854	AAVSO
2454135.197	-3846	0.5568	0.0184	IOMC
2454434.342	-3833	0.5164	0.0483	ASAS
2454526.315	-3829	0.4323	0.2819	AAVSO
2456321.811	-3751	0.8134	0.0403	Bochum
2456690.167	-3735	0.9409	0.046	Bochum
2457403.675	-3704	1.0064	0.0209	ASASSN-V
2457472.71	-3701	0.9985	0.2268	AAVSO
2457748.867	-3689	0.9841	0.0179	ASASSN-V
2458094.045	-3674	0.9478	0.0159	ASASSN-V
2458508.239	-3656	0.8845	0.4723	AAVSO
