HJD	Epoch	O-C	O-Cerr	Source
2414490.649	-4791	0.3479	0.1	Szabados1989 Arch.
2415219.551	-4695	0.1391	0.1	Szabados1989 Arch.
2416305.686	-4552	0.2029	0.1	Szabados1989 Arch.
2417391.593	-4409	0.0386	0.1	Szabados1989 Arch.
2418470.042	-4267	0.0112	0.1	Szabados1989 Arch.
2419639.623	-4113	-0.023	0.1	Szabados1989 Arch.
2420604.147	-3986	-0.0518	0.1	Szabados1989 Arch.
2421781.133	-3831	-0.2759	0.1	Szabados1989 Arch.
2423231.837	-3640	-0.1986	0.1	Szabados1989 Arch.
2424439.508	-3481	-0.1173	0.1	Szabados1989 Arch.
2424576.302	-3463	-0.0316	0.1	Szabados1989 Arch.
2425442.249	-3349	0.0964	0.1	Szabados1989 Arch.
2432011.806	-2484	0.0612	0.1075	AAVSO
2432361.022	-2439	-0.0879	0.0223	AAVSO
2434540.665	-2152	-0.183	0.0543	AAVSO
2434571.171	-2147	-0.0563	0.04	Szabados1989 Arch.
2434867.324	-2108	-0.1045	0.02	Szabados1989 Arch.
2434897.772	-2105	-0.0365	0.05	AAVSO
2435201.63	-2064	0.0257	0.0541	Irwin1961
2435247.068	-2059	-0.1061	0.0911	AAVSO
2435247.11	-2058	-0.0637	0.02	Szabados1989 Arch.
2436044.235	-1954	-0.404	0.2158	AAVSO
2436796.477	-1855	-0.0575	0.0648	AAVSO
2437252.111	-1794	-0.1174	0.06	Szabados1989 Arch.
2437837.028	-1718	-0.0077	0.0262	Walraven1964
2437882.559	-1711	-0.0464	0.02	Szabados1989 Arch.
2438596.38	-1618	-0.1468	0.1207	AAVSO
2438649.573	-1610	-0.1177	0.04	Szabados1989 Arch.
2438945.59	-1572	-0.3016	0.1218	AAVSO
2439295.389	-1525	0.131	0.1088	AAVSO
2439667.079	-1477	-0.3284	0.1317	AAVSO
2440016.694	-1430	-0.0794	0.02	Szabados1989 Arch.
2440024.207	-1430	-0.1613	0.0468	AAVSO
2441216.544	-1273	-0.2243	0.0867	AAVSO
2441885.087	-1185	-0.0327	0.0459	AAVSO
2442234.491	-1138	0.006	0.0312	AAVSO
2442591.403	-1092	-0.0428	0.0382	AAVSO
2442857.167	-1056	-0.1005	0.04	Szabados1989 Arch.
2442947.948	-1045	-0.4586	0.1633	AAVSO
2443297.737	-999	-0.0348	0.1058	AAVSO
2443616.67	-956	-0.0879	0.02	Szabados1989 Arch.
2443647.082	-953	-0.0559	0.0206	Babel1989
2443669.995	-949	0.0727	0.0735	AAVSO
2443753.403	-938	-0.0632	0.02	Szabados1989 Arch.
2444018.959	-904	-0.3291	0.0951	AAVSO
2444421.724	-851	-0.0939	0.0203	Berdnikov2008
2445393.89	-723	-0.0758	0.0091	Babel1989
2445507.817	-707	-0.072	0.02	Szabados1989 Arch.
2445545.966	-702	0.1028	0.3821	AAVSO
2447429.435	-454	0.0352	0.0923	AAVSO
2447778.711	-409	-0.0546	0.0533	AAVSO
2447961.128	-384	0.0848	0.017	Hipp
2447968.733	-383	0.0953	0.0369	Shobbrook1992
2448143.463	-360	0.142	0.1123	AAVSO
2448310.274	-339	-0.1346	0.0772	Hipp
2448500.411	-313	0.1302	0.0552	AAVSO
2448659.912	-292	0.1383	0.023	Hipp
2448849.535	-268	-0.1113	0.0658	AAVSO
2449199.053	-221	0.0411	0.0705	AAVSO
2449548.363	-176	-0.0151	0.0563	AAVSO
2449897.711	-130	-0.0327	0.0468	AAVSO
2449950.909	-122	0.0009	0.1202	Berdnikov2008
2450247.113	-83	0.0036	0.04	AAVSO
2450307.88	-75	0.0112	0.0095	Berdnikov2008
2450596.574	-37	0.0993	0.0443	AAVSO
2450885.076	0	-0.0049	0.0099	Berdnikov2008
2450945.927	8	0.0873	0.0471	AAVSO
2451242.038	46	-0.0034	0.0131	Berdnikov2008
2451295.348	54	0.1418	0.0466	AAVSO
2451621.824	97	0.0368	0.0136	Berdnikov2008
2451644.681	100	0.1095	0.0309	AAVSO
2451994.037	146	0.1002	0.0399	AAVSO
2452123.233	163	0.1824	0.0336	OGLE
2452320.556	189	0.0382	0.0084	Berdnikov2008
2452343.501	192	0.1983	0.0635	AAVSO
2452472.607	209	0.1909	0.0353	OGLE
2452692.713	238	0.0448	0.0088	SMEI
2452707.953	240	0.0954	0.0592	AAVSO
2452821.906	255	0.1241	0.0243	OGLE
2453057.347	286	0.1235	0.0091	SMEI
2453080.016	289	0.0081	0.0137	Berdnikov2008
2453080.08	289	0.0722	0.0515	AAVSO
2453171.328	301	0.1809	0.0258	OGLE
2453421.906	334	0.1266	0.0081	SMEI
2453444.835	337	0.2713	0.0552	AAVSO
2453520.596	347	0.0835	0.0158	OGLE
2453793.987	383	0.0582	0.011	SMEI
2453801.74	384	0.2156	0.034	AAVSO
2453870.063	393	0.1851	0.0231	OGLE
2454158.639	431	0.1545	0.01	SMEI
2454166.219	432	0.139	0.0369	AAVSO
2454219.452	439	0.2083	0.0203	OGLE
2454523.047	479	0.0075	0.0142	SMEI
2454530.757	480	0.1225	0.0437	AAVSO
2454568.768	485	0.1585	0.0148	OGLE
2454887.674	527	0.0791	0.0108	SMEI
2454902.887	529	0.1016	0.0334	AAVSO
2454918.179	531	0.2037	0.0347	OGLE
2455252.293	575	0.1427	0.012	SMEI
2455252.358	575	0.2068	0.0351	AAVSO
2455616.813	623	0.1067	0.0136	SMEI
2455624.386	624	0.0848	0.0267	AAVSO
2456011.785	675	0.1439	0.028	AAVSO
2456019.296	676	0.0601	0.0336	KWS
2456361.196	721	0.1887	0.0261	AAVSO
2456376.238	723	0.0418	0.0157	KWS
2456710.517	767	0.1449	0.0389	AAVSO
2456748.375	772	0.0285	0.0284	KWS
2457059.995	813	0.2569	0.0307	AAVSO
2457097.787	818	0.0748	0.0126	KWS
2457424.435	861	0.1419	0.0347	AAVSO
2457454.823	865	0.1498	0.0399	ASASSN-V
2457462.386	866	0.1177	0.018	KWS
2457796.587	910	0.1433	0.0246	AAVSO
2457811.747	912	0.1139	0.0147	ASASSN-V
2457826.926	914	0.1023	0.0158	KWS
2458146.034	956	0.2244	0.0343	AAVSO
2458161.116	958	0.117	0.0239	ASASSN-V
2458206.665	964	0.0964	0.0149	KWS
