HJD	Epoch	O-C	O-Cerr	Source
2411136.819	-10912	0.2302	0.118	Harvard
2412583.263	-10535	0.0299	0.0672	Harvard
2412932.445	-10444	0.0213	0.057	Harvard
2413281.466	-10353	-0.1478	0.1199	Harvard
2413657.688	-10255	0.0237	0.0935	Harvard
2414405.754	-10060	-0.1754	0.1189	Harvard
2414774.281	-9964	-0.0243	0.059	Harvard
2415124.526	-9873	1.0309	0.3336	Harvard
2415472.784	-9782	0.0987	0.1389	Harvard
2415821.746	-9691	-0.1297	0.019	Harvard
2416190.127	-9595	-0.1255	0.0209	Harvard
2416547.045	-9502	-0.0722	0.0459	Harvard
2416900.097	-9410	-0.0467	0.0246	Harvard
2417253.121	-9318	-0.0506	0.0207	Harvard
2417648.346	-9215	-0.0631	0.0208	Harvard
2417997.495	-9124	-0.1042	0.0233	Harvard
2418362.034	-9029	-0.1037	0.0205	Harvard
2418745.773	-8929	-0.0901	0.0208	Harvard
2419125.627	-8830	-0.1243	0.0274	Harvard
2419509.325	-8730	-0.1521	0.0173	Harvard
2419858.564	-8639	-0.1034	0.0221	Harvard
2420223.128	-8544	-0.0779	0.0187	Harvard
2420579.997	-8451	-0.0738	0.0217	Harvard
2420929.155	-8360	-0.106	0.0165	Harvard
2421308.994	-8261	-0.1549	0.0164	Harvard
2421669.741	-8167	-0.1097	0.017	Harvard
2422038.166	-8071	-0.0609	0.0313	Harvard
2422398.816	-7977	-0.1132	0.025	Harvard
2422809.302	-7870	-0.2131	0.0343	Harvard
2423166.234	-7777	-0.1457	0.0404	Harvard
2423515.277	-7686	-0.2928	0.1272	Harvard
2423899.266	-7586	-0.0289	0.1778	Harvard
2424256.141	-7493	-0.0188	0.2259	Harvard
2424666.721	-7386	-0.0253	0.0806	Harvard
2425292.137	-7223	-0.0811	0.0431	Harvard
2425649.125	-7130	0.0418	0.082	Harvard
2426005.7	-7037	-0.2483	0.0365	Harvard
2426381.896	-6939	-0.1023	0.0418	Harvard
2426765.451	-6839	-0.273	0.0309	Harvard
2427126.239	-6745	-0.1866	0.0235	Harvard
2427517.537	-6643	-0.2884	0.0744	Harvard
2427870.641	-6551	-0.2123	0.0304	Harvard
2428219.959	-6460	-0.0847	0.0248	Harvard
2428576.699	-6367	-0.209	0.0324	Harvard
2428948.98	-6270	-0.1415	0.0147	Harvard
2429298.114	-6179	-0.1977	0.0298	Harvard
2429651.135	-6087	-0.2045	0.0339	Harvard
2430004.193	-5995	-0.1737	0.0248	Harvard
2430364.882	-5901	-0.1864	0.0219	Harvard
2430714.072	-5810	-0.1865	0.0275	Harvard
2431090.103	-5712	-0.2061	0.033	Harvard
2431443.101	-5620	-0.2359	0.0258	Harvard
2431796.236	-5528	-0.1276	0.0329	Harvard
2432264.411	-5406	-0.0978	0.0696	Harvard
2432624.966	-5312	-0.2454	0.0294	Harvard
2432974.053	-5221	-0.3476	0.1699	Harvard
2433833.988	-4997	0.0423	0.1199	Harvard
2434562.9	-4807	-0.1244	0.072	Mitchell1964
2434562.911	-4807	-0.1131	0.0191	AAVSO
2434778.239	-4751	-0.0997	0.01	Szabados1989 Arch.
2434915.903	-4715	-0.1489	0.007	Mitchell1964
2434915.92	-4715	-0.1315	0.0105	AAVSO
2435169.164	-4649	-0.1465	0.0061	Irwin1961
