HJD	Epoch	O-C	O-Cerr	Source
2417260.34	-2931	-3.0115	0.04	Szabados1981 Arch.
2418742.05	-2787	-2.941	0.07	Szabados1981 Arch.
2425513.34	-2129	-1.9204	0.07	Szabados1981 Arch.
2425729.72	-2108	-1.6129	0.07	Szabados1981 Arch.
2426181.91	-2064	-2.1461	0.07	Szabados1981 Arch.
2426655.22	-2018	-2.1376	0.07	Szabados1981 Arch.
2429043.38	-1786	-1.0634	0.07	Szabados1981 Arch.
2436809.261	-1031	-0.3883	0.0701	Mitchell1964
2436832.907	-1029	-0.4331	0.03	Szabados1981 Arch.
2436833.041	-1029	-0.2991	0.02	Szabados1981 Arch.
2443415.229	-389	-0.0626	0.0441	Szabados1981
2443799.026	-352	-0.0776	0.02	Szabados1981 Arch.
2443806.195	-351	-0.0846	0.0584	Szabados1981
2446275.653	-111	-0.0264	0.0212	Berdnikov2008
2447397.197	-2	-0.0009	0.0161	Berdnikov2008
2447911.607	48	-0.0493	0.0172	Hipp
2448498.119	105	-0.0191	0.009	Berdnikov2008
2448889.095	143	-0.0314	0.0404	Berdnikov2008
2450319.254	282	-0.0664	0.0146	Berdnikov2008
2452243.271	469	-0.1234	0.1326	Schmidt2004
2452634.28	507	-0.1017	0.0159	Schmidt2004
2453210.532	563	-0.0436	0.0135	SWASP
2454002.831	640	-0.0093	0.0047	SWASP
2454702.371	708	-0.1327	0.0058	IOMC
2456297.142	863	-0.1826	0.0126	KWS
2456688.148	901	-0.1643	0.0139	KWS
2457079.164	939	-0.1366	0.0186	KWS
2457089.398	940	-0.1919	0.0046	ASASSN-V
2457593.573	989	-0.1862	0.0052	ASASSN-V
2457624.547	992	-0.0794	0.0222	KWS
2457984.532	1027	-0.2154	0.0059	ASASSN-V
2458015.411	1030	-0.2038	0.0161	KWS
2458221.145	1050	-0.2529	0.0054	ASASSN-g
2458375.491	1065	-0.2446	0.0065	ASASSN-V
2458406.422	1068	-0.1804	0.0147	KWS
2458694.378	1096	-0.3213	0.0097	ASASSN-g
2458797.395	1106	-0.196	0.1188	Piszkes
2458797.418	1106	-0.173	0.0195	KWS
2459085.313	1134	-0.3741	0.0122	ASASSN-g
