HJD	Epoch	O-C	O-Cerr	Source
2415679.052	-12899	0.0209	0.0627	Harvard
2418568.537	-11989	0.2434	0.0605	Harvard
2419057.056	-11835	-0.1895	0.0277	Harvard
2419438.355	-11715	0.1082	0.0849	Harvard
2419793.88	-11603	0.0316	0.0135	Harvard
2420870.286	-11264	0.1081	0.0664	Harvard
2421225.851	-11152	0.0722	0.0251	Harvard
2422660.927	-10700	0.0416	0.0905	Harvard
2423407.09	-10465	0.0768	0.0479	Harvard
2423765.872	-10352	0.083	0.024	Harvard
2424162.59	-10227	-0.0763	0.0374	Harvard
2424531.174	-10111	0.2068	0.0549	Harvard
2424905.633	-9993	0.014	0.0362	Harvard
2425267.592	-9879	0.0213	0.0185	Harvard
2425648.639	-9759	0.0671	0.0148	Harvard
2425997.882	-9649	0.0582	0.0186	Harvard
2426350.316	-9538	0.0663	0.012	Harvard
2426702.761	-9427	0.0842	0.0167	Harvard
2427067.881	-9312	0.0783	0.0796	Harvard
2427417.107	-9202	0.0527	0.0335	Harvard
2427779.127	-9088	0.1215	0.0159	Harvard
2428131.457	-8977	0.025	0.0213	Harvard
2428487.094	-8865	0.0604	0.0305	Harvard
2428842.661	-8753	0.0257	0.0126	Harvard
2429191.939	-8643	0.0528	0.0121	Harvard
2429544.312	-8532	-0.0015	0.0128	Harvard
2429912.654	-8416	0.0392	0.015	Harvard
2430287.329	-8298	0.0632	0.0144	Harvard
2430668.213	-8178	-0.0551	0.0229	Harvard
2431027.028	-8065	-0.0166	0.0223	Harvard
2431379.589	-7954	0.1188	0.0483	Harvard
2431738.254	-7841	0.0067	0.1584	Harvard
2432090.71	-7730	0.0365	0.0246	Harvard
2432468.572	-7611	0.0716	0.0284	Harvard
2432852.68	-7490	0.0034	0.0333	Harvard
2433208.354	-7378	0.0761	0.06	Harvard
2433592.435	-7257	-0.0201	0.0456	Harvard
2433979.901	-7135	0.0944	0.196	Harvard
2434338.636	-7022	0.0537	0.0317	Harvard
2440917.268	-4950	0.0581	0.5736	Harvard
2441688.768	-4707	0.0302	0.187	Harvard
2442060.217	-4590	0.0025	0.0356	Harvard
2442415.931	-4478	0.115	0.0202	Harvard
2442774.642	-4365	0.05	0.0406	Harvard
2443123.927	-4255	0.0832	0.0275	Harvard
2443482.585	-4142	-0.0355	0.0456	Harvard
2443838.377	-4030	0.155	0.1325	Harvard
2444197.079	-3917	0.0814	0.0305	Harvard
2444575.015	-3798	0.1906	0.0262	Harvard
2444933.693	-3685	0.0922	0.022	Harvard
2445286.055	-3574	0.0273	0.0701	Harvard
2445638.553	-3463	0.099	0.0207	Harvard
2445994.164	-3351	0.1084	0.0183	Harvard
2446349.703	-3239	0.0462	0.0209	Harvard
2446708.528	-3126	0.0949	0.0173	Harvard
2447064.074	-3014	0.039	0.029	Harvard
2447165.723	-2982	0.0873	0.02	Henden1996
2447413.374	-2904	0.0881	0.0223	Harvard
2448527.813	-2553	0.0974	0.0038	Schmidt1995
2453230.043	-1072	0.133	0.0022	SWASP
2453833.283	-882	0.1204	0.0017	SWASP
2456214.487	-132	0.0645	0.0165	KWS
2456576.454	-18	0.0804	0.0113	KWS
2456633.626	0	0.1015	0.0036	Berdnikov2015
2456935.271	95	0.1212	0.0105	KWS
2457103.523	148	0.0973	0.0014	ASASSN-V
2457290.825	207	0.0734	0.0122	KWS
2457452.776	258	0.0983	0.0016	ASASSN-V
2457655.967	322	0.0893	0.0132	KWS
2457802.023	368	0.094	0.0014	ASASSN-V
2458024.269	438	0.0888	0.0109	KWS
2458157.631	480	0.1008	0.0017	ASASSN-V
2458221.116	500	0.0857	0.0016	ASASSN-g
2458405.284	558	0.1028	0.016	KWS
2458570.369	610	0.0868	0.0021	ASASSN-g
2458760.868	670	0.0852	0.0134	KWS
2458802.194	683	0.136	0.0175	Piszkes
2458919.622	720	0.0885	0.0022	ASASSN-g
