HJD	Epoch	O-C	O-Cerr	Source
2413380.75	-8447	-1.1828	0.2403	Harvard
2413742.917	-8358	-1.0394	0.313	Harvard
2414536.2	-8163	-0.9547	0.1792	Harvard
2414902.119	-8073	-1.1264	0.0748	Harvard
2415268.439	-7983	-0.8981	0.0929	Harvard
2415618.034	-7897	-1.124	0.0864	Harvard
2415618.712	-7897	-0.9861	0.05	Szabados1989 Arch.
2416004.565	-7802	-1.0225	0.0399	Harvard
2416358.671	-7715	-0.8046	0.1092	Harvard
2416558.44	-7666	-0.8928	0.05	Szabados1989 Arch.
2416708.403	-7629	-0.8941	0.0455	Harvard
2417074.422	-7539	-0.9657	0.027	Harvard
2417180.773	-7513	-0.9152	0.05	Szabados1989 Arch.
2417428.528	-7452	-0.7488	0.0926	Harvard
2417802.755	-7360	-0.7487	0.0649	Harvard
2418030.957	-7304	-0.8769	0.05	Szabados1989 Arch.
2418152.439	-7274	-0.8852	0.0391	Harvard
2418502.256	-7188	-0.8884	0.032	Harvard
2418572.053	-7171	-0.7827	0.05	Szabados1989 Arch.
2418852.256	-7102	-0.7095	0.0265	Harvard
2419202.015	-7016	-0.7713	0.0387	Harvard
2419479.214	-6948	-0.7149	0.05	Szabados1989 Arch.
2419551.82	-6930	-0.7865	0.0269	Harvard
2419901.557	-6844	-0.8709	0.0228	Harvard
2420069.022	-6803	-0.7208	0.05	Szabados1989 Arch.
2420267.829	-6754	-0.6899	0.0505	Harvard
2420621.675	-6667	-0.7323	0.0236	Harvard
2420870.376	-6606	-0.7003	0.05	Szabados1989 Arch.
2420987.802	-6577	-0.6966	0.0313	Harvard
2421337.69	-6491	-0.6294	0.0296	Harvard
2421541.624	-6441	-0.6199	0.05	Szabados1989 Arch.
2421716.085	-6398	-0.529	0.081	Harvard
2422082.017	-6308	-0.6883	0.0376	Harvard
2422440.589	-6220	-0.6128	0.05	Szabados1989 Arch.
2422456.227	-6216	-0.7056	0.073	Harvard
2422850.838	-6119	-0.6591	0.0826	Harvard
2423200.556	-6033	-0.7617	0.0334	Harvard
2423351.842	-5996	-0.5207	0.05	Szabados1989 Arch.
2423558.929	-5945	-0.3448	0.3426	Harvard
2423912.694	-5858	-0.4685	0.2667	Harvard
2424149.199	-5800	-0.4294	0.05	Szabados1989 Arch.
2424290.955	-5765	-0.5023	0.0614	Harvard
2424644.626	-5678	-0.7196	0.0592	Harvard
2425153.064	-5553	-0.7421	0.1576	Harvard
2425320.776	-5512	-0.345	0.05	Szabados1989 Arch.
2425702.38	-5418	-0.5628	0.0378	Harvard
2426064.533	-5329	-0.4336	0.0414	Harvard
2426459.001	-5232	-0.5308	0.0566	Harvard
2426781.021	-5153	-0.3981	0.05	Szabados1989 Arch.
2426808.877	-5146	-0.4756	0.0417	Harvard
2427187.17	-5053	-0.4773	0.0785	Harvard
2427269.159	-5033	-0.382	0.05	Szabados1989 Arch.
2427545.196	-4965	-0.4069	0.1342	Harvard
2427898.979	-4878	-0.5125	0.0423	Harvard
2428248.968	-4792	-0.3444	0.0553	Harvard
2428607.129	-4704	-0.1391	0.0473	Harvard
2428997.583	-4608	-0.183	0.1381	Harvard
