HJD	Epoch	O-C	O-Cerr	Source
2414199.106	-2822	0.5999	0.31	Harvard
2415470.602	-2729	0.5356	0.207	Harvard
2416523.212	-2652	0.3477	0.4567	Harvard
2416865.035	-2627	0.3543	0.3476	Harvard
2418232.31	-2527	0.3599	0.4173	Harvard
2418587.922	-2501	0.4816	0.1989	Harvard
2420543.123	-2358	0.4875	0.0651	Harvard
2421623.102	-2279	0.3236	0.612	Harvard
2422320.42	-2228	0.3341	0.4543	Harvard
2423496.248	-2142	0.3113	0.3852	Harvard
2424248.478	-2087	0.5428	0.0407	Harvard
2424617.462	-2060	0.3642	0.4064	Harvard
2425533.711	-1993	0.5427	0.1012	Harvard
2427037.508	-1883	0.3431	0.44	Harvard
2427775.902	-1829	0.4118	0.2963	Harvard
2428117.819	-1804	0.5122	0.0499	Harvard
2428459.524	-1779	0.3996	0.1082	Harvard
2428814.947	-1753	0.3327	0.2072	Harvard
2429197.863	-1725	0.413	0.1786	Harvard
2429553.327	-1699	0.3868	0.1592	Harvard
2429895.19	-1674	0.4326	0.0558	Harvard
2430250.698	-1648	0.4511	0.0422	Harvard
2430619.917	-1621	0.5074	0.0374	Harvard
2431002.676	-1593	0.4308	0.0371	Harvard
2431358.147	-1567	0.4116	0.0356	Harvard
2431699.946	-1542	0.3932	0.0399	Harvard
2432096.549	-1513	0.4887	0.0493	Harvard
2432438.335	-1488	0.4566	0.051	Harvard
2432821.167	-1460	0.4537	0.0436	Harvard
2433162.874	-1435	0.3437	0.2112	Harvard
2434010.8	-1373	0.5626	0.0673	Harvard
2440915.43	-868	0.4821	0.0085	Pel1976
2441298.282	-840	0.4986	0.0689	Harvard
2443964.412	-645	0.4536	0.0697	Coulson1985
2444634.157	-596	0.2368	0.1441	Harvard
2444634.233	-596	0.3135	0.025	Coulson1985
2444976.02	-571	0.2829	0.1234	Harvard
2444989.777	-570	0.3669	0.0902	Coulson1985
2445345.158	-544	0.2585	0.0655	Harvard
2445659.678	-521	0.3058	0.3082	Berdnikov2008
2445687.075	-519	0.3575	0.1696	Harvard
2446056.285	-492	0.4055	0.0957	Harvard
2446425.301	-465	0.2587	0.0845	Harvard
2447847.273	-361	0.2704	0.0132	Hipp
2448189.104	-336	0.284	0.0124	Hipp
2448544.598	-310	0.2877	0.0097	Hipp
2450800.638	-145	0.334	0.0064	Berdnikov2008
2451867.067	-67	0.2928	0.0065	ASAS
2452208.868	-42	0.2764	0.0108	ASAS
2452550.697	-17	0.2882	0.0058	ASAS
2452892.526	8	0.2998	0.004	ASAS
2452974.556	14	0.2937	0.0079	Berdnikov2008
2453289.022	37	0.2875	0.007	ASAS
2453630.862	62	0.3107	0.006	ASAS
2454082.04	95	0.2894	0.0073	ASAS
2454423.866	120	0.298	0.007	ASAS
2454765.685	145	0.2994	0.0097	ASAS
2455845.865	224	0.273	0.0089	Bochum
2456201.354	250	0.2726	0.0077	Bochum
2456255.988	254	0.2788	0.0122	KWS
2456556.855	276	0.2833	0.0119	Bochum
2456597.809	279	0.2833	0.0104	KWS
2456638.846	282	0.3015	0.0098	Berdnikov2015
2456967.006	306	0.3168	0.0112	KWS
2457308.854	331	0.3479	0.016	KWS
2457418.189	339	0.3017	0.0069	ASASSN-V
2457664.292	357	0.2964	0.0115	KWS
2457760.033	364	0.328	0.0069	ASASSN-V
2458047.199	385	0.3678	0.0135	KWS
2458101.858	389	0.3354	0.0069	ASASSN-V
2458211.191	397	0.3354	0.006	ASASSN-g
2458416.327	412	0.3333	0.0132	KWS
2458552.99	422	0.3168	0.0029	ASASSN-g
2458785.499	439	0.3417	0.0154	KWS
2458894.794	447	0.3038	0.0096	ASASSN-g
