HJD	Epoch	O-C	O-Cerr	Source
2412341.258	-3099	1.0432	0.2139	Harvard
2412655.924	-3068	1.3005	0.2299	Harvard
2413730.53	-2962	0.8313	0.2646	Harvard
2414035.034	-2932	1.069	0.2926	Harvard
2414501.166	-2886	0.6585	0.2896	Harvard
2414815.635	-2855	0.7183	0.1108	Harvard
2415170.504	-2820	0.6092	0.3871	Harvard
2415597.092	-2778	1.2244	0.1433	Harvard
2415890.452	-2749	0.4598	0.111	Harvard
2416194.457	-2719	0.198	0.1387	Harvard
2416489.479	-2690	1.0958	0.207	Harvard
2416793.167	-2660	0.5174	0.1445	Harvard
2417097.875	-2630	0.9581	0.4013	Harvard
2417401.576	-2600	0.3924	0.1961	Harvard
2417705.883	-2570	0.4331	0.1989	Harvard
2418090.711	-2532	-0.1429	0.3094	Harvard
2418456.16	-2496	0.1855	0.1775	Harvard
2418841.804	-2458	0.4251	0.7063	Harvard
2419248.003	-2418	0.9357	0.2238	Harvard
2419571.596	-2386	-0.0231	0.1835	Harvard
2419947.067	-2349	0.1865	0.4909	Harvard
2420281.296	-2316	-0.2782	0.3699	Harvard
2420576.012	-2287	0.3132	0.1917	Harvard
2420991.957	-2246	0.427	0.1621	Harvard
2421316.379	-2214	0.2985	0.1366	Harvard
2421682.568	-2178	1.3673	0.6308	Harvard
2422066.768	-2140	0.1632	0.451	Harvard
2422594.766	-2088	0.7653	0.1848	Harvard
2422909.115	-2057	0.7055	0.4315	Harvard
2423222.986	-2026	0.1678	0.5123	Harvard
2423547.537	-1994	0.1674	0.1739	Harvard
2423851.841	-1964	0.2051	0.1278	Harvard
2424227.322	-1927	0.4239	0.213	Harvard
2424683.902	-1882	0.6038	0.2015	Harvard
2425008.312	-1850	0.4622	0.0823	Harvard
2425352.808	-1816	0.1229	0.0817	Harvard
2425728.297	-1779	0.3493	0.0639	Harvard
2426123.957	-1740	0.4629	0.2619	Harvard
2426438.326	-1709	0.4229	0.1915	Harvard
2426793.433	-1674	0.5523	0.0803	Harvard
2427148.061	-1639	0.2021	0.0646	Harvard
2427472.615	-1607	0.2052	0.0704	Harvard
2427766.611	-1578	0.0765	0.0641	Harvard
2428060.921	-1549	0.263	0.0936	Harvard
2428355.184	-1520	0.4012	0.083	Harvard
2428648.917	-1491	0.0097	0.0858	Harvard
2429013.986	-1455	-0.0411	0.0989	Harvard
2429379.097	-1419	-0.0505	0.0757	Harvard
2429754.81	-1382	0.4004	0.0812	Harvard
2430089.491	-1349	0.3884	0.0638	Harvard
2430434.106	-1315	0.1675	0.0981	Harvard
2430890.47	-1270	0.1316	0.1533	Harvard
2431205.023	-1239	0.2754	0.05	Harvard
2431539.666	-1206	0.2251	0.0384	Harvard
2431945.43	-1166	0.3001	0.0717	Harvard
2432290.302	-1132	0.3365	0.1352	Harvard
2432654.841	-1096	-0.244	0.121	Harvard
2433061.209	-1056	0.4349	0.1453	Harvard
2433436.158	-1019	0.1221	0.1477	Harvard
2433770.879	-986	0.1491	0.0793	Harvard
2434176.42	-946	0.0012	0.0841	Harvard
2436732.547	-694	0.2885	0.024	Mitchell1964
2436742.856	-693	0.455	0.032	Oosterhoff1960
2436786.104	-689	0.1027	0.01	Szabados1991 Arch.
2436796.408	-688	0.2644	0.01	Szabados1991 Arch.
2437273.217	-641	0.389	0.04	Szabados1991 Arch.
2437847.883	-584	-0.0195	0.0685	Harvard
2439287.629	-442	-0.4696	0.2047	Harvard
2439674.0	-404	0.4977	0.2926	Harvard
2440059.623	-366	0.7161	0.3938	Harvard
2440393.171	-333	-0.4291	0.5351	Harvard
2440769.365	-296	0.5019	0.8775	Harvard
2441884.655	-186	0.1475	0.1703	Harvard
2442209.435	-154	0.3765	0.1901	Harvard
2442533.742	-122	0.1332	0.0994	Harvard
2442929.312	-83	0.1566	0.1333	Harvard
2443013.533	-75	0.2073	0.02	Szabados1991 Arch.
2443284.038	-48	-0.0957	0.1242	Harvard
2443608.817	-16	0.1327	0.1533	Harvard
2443730.49	-4	0.0989	0.0628	Szabados1981
2443774.144	0	0.1517	0.01	Szabados1991 Arch.
2444024.912	25	0.3963	0.2049	Harvard
2444399.97	62	0.1919	0.1108	Harvard
2444755.274	97	0.5185	0.2119	Harvard
2445048.591	126	-0.2891	0.1536	Harvard
2445342.97	155	-0.0346	0.1009	Harvard
2445485.508	169	0.5117	0.1171	Berdnikov2008
2445539.006	174	0.2671	0.02	Szabados1991 Arch.
2445637.199	184	0.0703	0.1351	Harvard
2445931.459	213	0.2056	0.1117	Harvard
2446225.088	242	-0.2906	0.0992	Harvard
2446519.345	271	-0.1577	0.0963	Harvard
2446915.199	310	0.1497	0.0689	Harvard
2447229.334	341	-0.1243	0.1217	Harvard
2447391.886	357	0.1524	0.0183	Berdnikov2008
2447523.703	370	0.1201	0.1761	Harvard
2449927.274	607	-0.0153	0.0111	Berdnikov2008
2450302.513	644	-0.0384	0.0237	Berdnikov2008
2452756.823	886	-0.1465	0.0358	IOMC
2453101.905	920	0.1006	0.0135	IOMC
2453862.397	995	-0.0745	0.0136	IOMC
2454237.549	1032	-0.1843	0.0278	IOMC
2454247.985	1033	0.109	0.0086	SWASP
2454572.327	1065	-0.0997	0.014	IOMC
2454937.414	1101	-0.1327	0.0143	IOMC
2455495.334	1156	-0.0349	0.0107	IOMC
2455697.95	1176	-0.2629	0.0824	KWS
2455890.755	1195	-0.1605	0.0185	IOMC
2456073.341	1213	-0.1342	0.0333	KWS
2456255.929	1231	-0.1067	0.0882	IOMC
2456448.603	1250	-0.1344	0.0256	KWS
2456641.556	1269	0.1158	0.0458	IOMC
2456803.424	1285	-0.2912	0.025	KWS
2457098.146	1314	0.3055	0.5535	ASASSN-V
2457158.487	1320	-0.2062	0.0156	KWS
2457463.042	1350	0.0823	0.2776	ASASSN-V
2457513.396	1355	-0.2752	0.0285	KWS
2457828.953	1386	0.8728	0.2884	ASASSN-V
2457837.966	1387	-0.2564	0.0146	KWS
2458172.582	1420	-0.3334	0.0199	KWS
2458213.126	1424	-0.3581	0.0064	ASASSN-g
2458557.954	1458	-0.3662	0.0101	ASASSN-g
2458639.198	1466	-0.2598	0.0304	KWS
2458852.066	1487	-0.3783	0.0279	ASASSN-g
