HJD	Epoch	O-C	O-Cerr	Source
2416891.124	-1578	1.4735	0.07	Szabados1981 Arch.
2421500.608	-1308	0.9864	0.07	Szabados1981 Arch.
2423276.338	-1204	1.0238	0.05	Szabados1981 Arch.
2423327.6	-1201	1.0639	0.07	Szabados1981 Arch.
2423344.57	-1200	0.9599	0.07	Szabados1981 Arch.
2423634.659	-1183	0.7915	0.05	Szabados1981 Arch.
2423686.431	-1180	1.3416	0.07	Szabados1981 Arch.
2423907.775	-1167	0.724	0.05	Szabados1981 Arch.
2423924.936	-1166	0.8111	0.05	Szabados1981 Arch.
2424368.905	-1140	0.8569	0.05	Szabados1981 Arch.
2424795.868	-1115	0.9707	0.05	Szabados1981 Arch.
2424812.738	-1114	0.7668	0.05	Szabados1981 Arch.
2425734.623	-1060	0.6576	0.05	Szabados1981 Arch.
2425853.978	-1053	0.4948	0.05	Szabados1981 Arch.
2426434.19	-1019	0.1919	0.05	Szabados1981 Arch.
2426468.767	-1017	0.621	0.05	Szabados1981 Arch.
2426588.139	-1010	0.4752	0.05	Szabados1981 Arch.
2428193.727	-916	1.1103	0.1	Szabados1981 Arch.
2428260.945	-912	0.0324	0.05	Szabados1981 Arch.
2428944.133	-872	0.2618	0.05	Szabados1981 Arch.
2428960.7	-871	-0.2452	0.07	Szabados1981 Arch.
2429148.5	-860	-0.2588	0.07	Szabados1981 Arch.
2429541.628	-837	0.1679	0.07	Szabados1981 Arch.
2430053.703	-807	0.0239	0.07	Szabados1981 Arch.
2430121.57	-803	-0.405	0.07	Szabados1981 Arch.
2432768.11	-648	-0.3298	0.07	Szabados1981 Arch.
2432888.071	-641	0.1134	0.07	Szabados1981 Arch.
2433160.98	-625	-0.1611	0.07	Szabados1981 Arch.
2433672.96	-595	-0.4001	0.07	Szabados1981 Arch.
2433740.85	-591	-0.806	0.07	Szabados1981 Arch.
2433928.81	-580	-0.6596	0.05	Szabados1981 Arch.
2434151.462	-567	0.0308	0.1	Szabados1981 Arch.
2434355.773	-555	-0.5458	0.07	Szabados1981 Arch.
2435055.408	-514	-0.9434	0.05	Szabados1981 Arch.
2435107.498	-511	-0.0753	0.1	Szabados1981 Arch.
2436165.306	-449	-0.8533	0.02	Szabados1981 Arch.
2436727.544	-416	-1.0065	0.0537	Mitchell1964
2436779.89	-413	-0.9321	0.02	Szabados1981 Arch.
2436796.966	-412	-0.9301	0.02	Szabados1981 Arch.
2436899.29	-406	-1.0499	0.07	Szabados1981 Arch.
2437188.588	-389	-0.9597	0.2176	Mitchell1964
2437257.891	-385	-1.0022	0.02	Szabados1981 Arch.
2437582.34	-366	-0.9585	0.07	Szabados1981 Arch.
2437957.816	-344	-1.1098	0.05	Szabados1981 Arch.
2438231.052	-328	-1.0573	0.02	Szabados1981 Arch.
2440006.657	-224	-1.1448	0.02	Szabados1981 Arch.
2440792.027	-178	-1.1773	0.02	Szabados1981 Arch.
2443625.462	-12	-0.9711	0.1232	Szabados1981
2443831.224	0	-1.1465	0.02	Szabados1981 Arch.
2444069.341	14	-1.0151	0.2156	Moffett1984
2444427.678	35	-1.2311	0.107	Moffett1984
2444820.347	58	-1.2632	0.1297	Moffett1984
2445486.339	97	-1.1564	0.1286	Berdnikov2008
2445862.05	119	-1.0726	0.0937	Berdnikov2008
2447842.585	235	-1.1181	0.0357	Hipp
2448201.085	256	-1.1714	0.0301	Hipp
2448491.428	273	-1.0852	0.0513	Berdnikov2008
2448542.667	276	-1.0687	0.0185	Hipp
2448849.996	294	-1.071	0.0755	Berdnikov2008
2448986.548	302	-1.1103	0.1264	Hipp
2449925.659	357	-1.0676	0.0439	Berdnikov2008
2450301.248	379	-1.1057	0.0834	Berdnikov2008
2452589.055	513	-1.2104	0.0163	IOMC
2453254.992	552	-1.1584	0.0142	IOMC
2453801.356	584	-1.1611	0.0198	IOMC
2454433.29	621	-0.9645	0.012	IOMC
2454774.939	641	-0.7946	0.0087	IOMC
2455167.713	664	-0.7211	0.008	IOMC
2455697.093	695	-0.6341	0.0404	KWS
2456038.478	715	-0.7293	0.0459	KWS
2456397.039	736	-0.7212	0.0267	KWS
2456772.807	758	-0.5802	0.0189	KWS
2457063.035	775	-0.6097	0.0361	ASAS-SN
2457148.372	780	-0.6428	0.0272	KWS
2457438.74	797	-0.5324	0.0187	ASAS-SN
2457523.989	802	-0.6531	0.0251	KWS
2457814.421	819	-0.478	0.0281	ASAS-SN
2457882.648	823	-0.5474	0.0216	KWS
2458173.031	840	-0.4219	0.0234	ASAS-SN
2458241.227	844	-0.5212	0.0365	KWS
2458617.028	866	-0.3475	0.0155	KWS
