HJD	Epoch	O-C	O-Cerr	Source
2444920.989	-172	0.125	0.1347	Berdnikov2008
2449799.996	-73	-3.7523	0.3135	Berdnikov2008
2450342.095	-62	-4.1954	0.2179	Berdnikov2008
2450787.544	-53	-2.6457	0.074	Berdnikov2008
2451231.843	-44	-2.245	0.1107	Berdnikov2008
2451577.184	-37	-2.1587	0.1031	Berdnikov2008
2451823.945	-32	-2.0078	0.2392	ASAS
2451922.156	-30	-2.4408	0.1069	Berdnikov2008
2452119.733	-26	-2.152	0.3233	ASAS
2452317.463	-22	-1.7103	0.1825	Berdnikov2008
2452417.908	-20	0.0909	0.4442	ASAS
2452614.299	-16	-0.807	0.2468	Berdnikov2008
2452713.397	-14	-0.3532	0.2037	ASAS
2452761.513	-13	-1.5588	0.2788	IOMC
2452959.545	-9	-0.8157	0.1124	Berdnikov2008
2453009.669	-8	-0.0131	0.4737	ASAS
2453156.733	-5	-0.9158	0.2417	IOMC
2453305.566	-2	-0.0487	0.1977	ASAS
2453551.324	3	-0.9009	0.4354	IOMC
2453600.938	4	-0.6091	0.2105	ASAS
2453844.876	9	-3.2815	0.2441	IOMC
2453895.542	10	-1.9373	0.2583	ASAS
2454191.373	16	-2.0389	0.2367	ASAS
2454487.234	22	-2.1103	0.2662	ASAS
2454784.607	28	-0.6696	0.2223	ASAS
2455081.563	34	0.354	0.2595	ASAS
2455132.522	35	1.9911	0.3332	IOMC
2455478.195	42	2.409	0.2426	IOMC
2455874.424	50	4.0621	0.2434	IOMC
2456272.387	58	7.4481	0.2827	IOMC
2456619.581	65	9.3876	0.0919	Berdnikov2015
2457406.938	81	7.5922	0.0916	ASASSN-V
2457703.093	87	7.815	0.0821	ASASSN-V
2457999.334	93	8.1236	0.1074	ASASSN-V
2458244.912	98	7.9906	0.0863	ASASSN-g
2458344.461	100	7.9954	0.1812	ASASSN-V
2458540.202	104	7.3487	0.0956	ASASSN-g
2458835.277	110	6.4914	0.2034	ASASSN-g
