HJD	Epoch	O-C	O-Cerr	Source
2437593.01	-3134	0.0495	0.0761	Mitchell1964
2447163.349	-1185	0.2085	0.051	Henden1996
2449245.208	-761	0.0995	0.0079	Henden1996
2449809.879	-646	0.0854	0.0184	Henden1996
2452618.56	-74	0.0734	0.01	ASAS
2452918.125	-13	0.1094	0.0274	ASAS
2452981.849	0	0.0	0.0037	Berdnikov2008
2453266.603	58	-0.0436	0.0185	ASAS
2453620.211	130	0.022	0.0114	ASAS
2454091.612	226	0.0348	0.0233	ASAS
2454391.149	287	0.0429	0.0109	ASAS
2454725.059	355	0.0527	0.0111	ASAS
2455088.328	429	-0.0409	0.0552	ASAS
2456266.956	669	0.1144	0.0473	KWS
2456576.186	732	-0.0051	0.0416	KWS
2456635.137	744	0.0229	0.0062	Berdnikov2015
2456954.269	809	-0.0151	0.0519	KWS
2457244.008	868	0.0164	0.0025	ASASSN-V
2457302.891	880	-0.0245	0.0416	KWS
2457607.369	942	0.0149	0.0014	ASASSN-V
2457656.363	952	-0.0944	0.033	KWS
2457970.717	1016	0.0007	0.0017	ASASSN-V
2458034.528	1029	-0.0224	0.0291	KWS
2458221.137	1067	-0.005	0.0024	ASASSN-g
2458368.452	1097	0.0007	0.0043	ASASSN-V
2458398.001	1103	0.0879	0.0031	OGLE
2458407.813	1105	0.0794	0.0307	KWS
2458520.659	1128	-0.0117	0.0033	ASASSN-g
2458766.081	1178	-0.1044	0.0457	KWS
2458820.184	1189	-0.0153	0.0021	ASASSN-g
2459119.714	1250	-0.0131	0.0077	ASASSN-g
