HJD	Epoch	O-C	O-Cerr	Source
2435162.43	-4275	0.0806	0.0337	Irwin1961
2435239.28	-4257	0.1434	0.0587	Mitchell1964
2447913.19	-1286	-0.009	0.0148	Hipp
2448211.77	-1216	-0.0437	0.0243	Hipp
2448514.713	-1145	0.0188	0.0143	Hipp
2448966.887	-1039	0.0042	0.046	Hipp
2451884.784	-355	0.0091	0.0093	ASAS
2452200.447	-281	-0.0064	0.007	ASAS
2452499.051	-211	-0.0173	0.0183	ASAS
2452618.542	-183	0.0278	0.0077	Berdnikov2008
2452665.579	-172	0.1392	0.0293	IOMC
2452801.937	-140	-0.012	0.0065	ASAS
2452981.134	-98	0.0156	0.009	Berdnikov2008
2453019.535	-89	0.0238	0.0096	IOMC
2453100.555	-70	-0.0091	0.0067	ASAS
2453399.179	0	0.0	0.0068	ASAS
2453697.784	70	-0.0096	0.0145	ASAS
2454090.246	162	-0.0126	0.025	ASAS
2454410.201	237	-0.0023	0.0073	ASAS
2454755.732	318	-0.0112	0.0098	ASAS
2454951.961	364	-0.0143	0.0094	IOMC
2456317.063	684	-0.0077	0.0046	Bochum
2456645.472	761	-0.0753	0.0103	Berdnikov2015
2456683.947	770	0.0067	0.0038	Bochum
2457417.65	942	-0.0299	0.0128	ASASSN-V
2457592.559	983	-0.024	0.0242	IOMC
2457716.277	1012	-0.0177	0.0164	ASASSN-V
2458074.609	1096	-0.0232	0.0127	ASASSN-V
2458142.837	1112	-0.0502	0.0215	IOMC
2458198.301	1125	-0.0429	0.0207	ASASSN-g
2458496.92	1195	-0.0388	0.0142	ASASSN-g
2458501.203	1196	-0.0216	0.013	IOMC
2458795.538	1265	-0.0358	0.0139	ASASSN-g
