HJD	Epoch	O-C	O-Cerr	Source
2415650.647	-3644	0.1244	0.0496	Harvard
2415945.04	-3614	0.1583	0.0462	Harvard
2416308.068	-3577	0.1431	0.089	Harvard
2416671.078	-3540	0.111	0.041	Harvard
2417034.186	-3503	0.1758	0.1033	Harvard
2417063.619	-3500	0.453	0.2	Szabados1991 Arch.
2417436.367	-3462	0.0665	0.2342	Harvard
2417770.058	-3428	0.1501	0.0675	Harvard
2418211.695	-3383	0.2486	0.1365	Harvard
2418555.034	-3348	0.169	0.0549	Harvard
2418849.345	-3318	0.1212	0.1125	Harvard
2419182.94	-3284	0.109	0.1118	Harvard
2419663.533	-3235	-0.0848	0.0627	Harvard
2419967.78	-3204	-0.0087	0.1036	Harvard
2420379.593	-3162	-0.2984	0.1573	Harvard
2420703.734	-3129	0.0477	0.0546	Harvard
2421037.465	-3095	0.1718	0.0973	Harvard
2421380.703	-3060	-0.0093	0.0855	Harvard
2421675.127	-3030	0.056	0.365	Harvard
2421979.326	-2999	0.0836	0.0424	Harvard
2422273.445	-2969	-0.1557	0.2029	Harvard
2422568.171	-2939	0.2108	0.0917	Harvard
2422862.221	-2909	-0.0985	0.0715	Harvard
2423264.618	-2868	0.0087	0.0658	Harvard
2423608.12	-2833	0.0912	0.103	Harvard
2423961.29	-2797	0.0306	0.0914	Harvard
2424353.486	-2757	-0.2527	0.0752	Harvard
2424727.048	-2719	0.4554	0.2334	Harvard
2425050.333	-2686	-0.0554	0.0446	Harvard
2425413.553	-2649	0.1226	0.0315	Harvard
2425796.192	-2610	0.0946	0.0297	Harvard
2426178.676	-2571	-0.0882	0.0575	Harvard
2426551.522	-2533	-0.0969	0.0384	Harvard
2426904.793	-2497	-0.0565	0.0394	Harvard
2427248.215	-2462	-0.0543	0.0745	Harvard
2427640.773	-2422	0.0259	0.0406	Harvard
2427935.082	-2392	-0.025	0.0445	Harvard
2428317.817	-2353	0.0434	0.0424	Harvard
2428601.761	-2324	-0.2794	0.2	Szabados1991 Arch.
2428729.874	-2311	-0.0024	0.037	Harvard
2429073.227	-2276	-0.0674	0.0482	Harvard
2429170.967	-2266	-0.1675	0.2	Szabados1991 Arch.
2429436.308	-2239	-0.0292	0.0311	Harvard
2429809.233	-2201	0.0409	0.0301	Harvard
2430172.251	-2164	0.0156	0.0414	Harvard
2430525.527	-2128	0.0605	0.0369	Harvard
2430584.392	-2122	0.3341	0.2	Szabados1991 Arch.
2430878.687	-2092	-0.0104	0.0396	Harvard
2430976.882	-2082	0.3454	0.2	Szabados1991 Arch.
2431231.93	-2056	0.0022	0.0317	Harvard
2431585.115	-2020	-0.0433	0.0168	Harvard
2431879.574	-1990	0.0561	0.0488	Harvard
2432173.774	-1960	-0.1029	0.0388	Harvard
2432468.332	-1930	0.0965	0.0661	Harvard
2432762.745	-1900	0.1502	0.0675	Harvard
2433096.105	-1866	-0.0965	0.0435	Harvard
2433429.767	-1832	-0.0414	0.0792	Harvard
2433831.976	-1791	-0.1233	0.1347	Harvard
2434204.963	-1753	0.0087	0.0657	Harvard
2435048.3	-1667	-0.2033	0.2	Romano1958 Arch.
2435127.3	-1659	0.3009	0.2	Romano1958 Arch.
2435362.36	-1635	-0.1263	0.2	Romano1958 Arch.
2435480.23	-1623	0.0001	0.2	Romano1958 Arch.
2435637.44	-1607	0.2186	0.2	Romano1958 Arch.
2435686.44	-1602	0.1587	0.2	Romano1958 Arch.
2435696.44	-1601	0.3468	0.2	Romano1958 Arch.
2435745.4	-1596	0.2469	0.2	Romano1958 Arch.
2436137.753	-1556	0.1212	0.2	Szabados1991 Arch.
2436490.636	-1520	-0.2266	0.2	Szabados1991 Arch.
2436490.948	-1520	-0.1944	0.0715	Harvard
2436775.677	-1491	-0.0123	0.0197	Oosterhoff1960
2436775.779	-1491	0.0888	0.012	Mitchell1964
