HJD	Epoch	O-C	O-Cerr	Source
2417740.277	-13984	-1.155	0.0886	Berdnikov1997 Arch.
2424375.503	-11329	-0.9914	0.02	Szabados1991 Arch.
2424695.458	-11201	-0.9189	0.03	Szabados1991 Arch.
2427546.928	-10060	-0.9015	0.03	Szabados1991 Arch.
2429093.957	-9441	-0.8045	0.0487	Berdnikov1997 Arch.
2429311.275	-9354	-0.9059	0.0517	Berdnikov1997 Arch.
2429453.752	-9297	-0.8772	0.0665	Berdnikov1997 Arch.
2429833.643	-9145	-0.8467	0.0309	Berdnikov1997 Arch.
2432975.235	-7888	-0.6006	0.03	Szabados1991 Arch.
2433092.193	-7841	-0.6128	0.0163	AAVSO
2436099.447	-6638	-0.2411	0.03	Szabados1991 Arch.
2437131.18	-6225	-0.1428	0.0345	AAVSO
2437176.62	-6207	-0.1724	0.02	Szabados1991 Arch.
2437579.011	-6046	-0.1336	0.02	Szabados1991 Arch.
2438496.161	-5679	-0.1467	0.02	Szabados1991 Arch.
2438871.042	-5529	-0.128	0.02	Szabados1991 Arch.
2438905.789	-5515	0.1182	0.0958	AAVSO
2440185.742	-5003	0.0548	0.05	Szabados1991 Arch.
2441297.846	-4558	0.0673	0.03	Szabados1991 Arch.
2441467.327	-4490	0.097	0.0136	Szabados1977
2441737.718	-4382	0.1009	0.02	Szabados1991 Arch.
2441859.703	-4333	0.1171	0.0096	Szabados1977
2442239.492	-4181	0.0453	0.0386	AAVSO
2443044.725	-3859	0.088	0.03	Szabados1991 Arch.
2443289.145	-3761	0.084	0.003	Moffett1984
2443349.113	-3737	0.074	0.0104	Szabados1991
2443379.606	-3725	0.092	0.02	Szabados1991 Arch.
2443399.611	-3717	0.1044	0.02	Szabados1991 Arch.
2443641.498	-3620	0.0667	0.0062	Moffett1984
2443711.422	-3592	0.0165	0.0408	AAVSO
2443713.925	-3591	0.02	0.0359	Szabados1991
2443754.468	-3575	0.0917	0.03	Szabados1991 Arch.
2443871.925	-3528	0.0919	0.02	Szabados1991 Arch.
2444003.877	-3475	0.0784	0.0062	Moffett1984
2444079.392	-3445	0.1347	0.0141	Berdnikov1997 Arch.
2444106.308	-3434	0.0476	0.0152	Szabados1991
2444149.328	-3417	0.0968	0.02	Szabados1991 Arch.
2444534.159	-3263	0.0692	0.05	Szabados1991 Arch.
2444684.129	-3203	0.0942	0.03	Szabados1991 Arch.
2444869.031	-3129	0.0642	0.03	Szabados1991 Arch.
2445646.256	-2818	0.0747	0.02	Szabados1991 Arch.
2446341.053	-2540	0.1269	0.05	Szabados1991 Arch.
