HJD	Epoch	O-C	O-Cerr	Source
2416587.561	-9694	-0.3542	0.1267	Harvard
2423781.925	-7753	-0.25	0.0982	Harvard
2424497.232	-7560	-0.292	0.0807	Harvard
2425209.091	-7368	-0.0749	0.1651	Harvard
2425586.942	-7266	-0.2839	0.0559	Harvard
2425916.84	-7177	-0.2619	0.0336	Harvard
2426265.237	-7083	-0.2731	0.0382	Harvard
2426658.107	-6977	-0.2896	0.0312	Harvard
2427058.339	-6869	-0.3566	0.0507	Harvard
2427425.32	-6770	-0.3161	0.0552	Harvard
2427806.949	-6667	-0.4535	0.0485	Harvard
2428103.635	-6587	-0.2848	0.0604	Harvard
2428463.215	-6490	-0.2321	0.0436	Harvard
2428819.092	-6394	-0.1766	0.0578	Harvard
2429185.975	-6295	-0.2341	0.0629	Harvard
2429575.15	-6190	-0.2386	0.0422	Harvard
2429923.55	-6096	-0.2471	0.0468	Harvard
2430249.754	-6008	-0.2129	0.0527	Harvard
2430624.079	-5907	-0.241	0.0467	Harvard
2431050.315	-5792	-0.2495	0.0535	Harvard
2431361.706	-5708	-0.2015	0.0495	Harvard
2431743.392	-5605	-0.2824	0.0714	Harvard
2432121.464	-5503	-0.2699	0.0475	Harvard
2432473.677	-5408	-0.1722	0.0412	Harvard
2432836.889	-5310	-0.1938	0.0796	Harvard
2433177.819	-5218	-0.2594	0.0441	Harvard
2434015.484	-4992	-0.2571	0.0861	Harvard
2445372.274	-1928	-0.0932	0.0384	Harvard
2445672.509	-1847	-0.0828	0.0322	Harvard
2446076.557	-1738	-0.0394	0.0425	Harvard
2446432.361	-1642	-0.0566	0.0538	Harvard
2446788.112	-1546	-0.1271	0.0485	Harvard
2447118.007	-1457	-0.1076	0.0532	Harvard
2451502.889	-274	-0.0184	0.0248	NSVS
2451866.088	-176	-0.0161	0.0126	ASAS
2452166.332	-95	0.0041	0.0129	ASAS
2452518.443	0	0.0	0.0106	ASAS
2452814.974	80	0.013	0.0219	ASAS
2453111.48	160	0.0019	0.0137	ASAS
2453407.996	240	0.0001	0.0133	ASAS
2453704.521	320	0.0073	0.0135	ASAS
2454078.891	421	0.0239	0.0064	Berdnikov2009
2454089.993	424	0.0063	0.0167	ASAS
2454386.506	504	0.0023	0.0227	ASAS
2454442.121	519	0.0201	0.0059	Berdnikov2009
2454701.564	589	0.0102	0.0151	ASAS
2455854.287	900	0.02	0.0034	Bochum
2456206.408	995	0.0264	0.0034	Bochum
2456562.245	1091	0.0424	0.0039	Bochum
2457418.442	1322	0.0447	0.0054	ASASSN-V
2457714.96	1402	0.0452	0.0055	ASASSN-V
2458011.484	1482	0.0514	0.0054	ASASSN-V
2458282.048	1555	0.0527	0.0071	ASASSN-g
2458363.6	1577	0.053	0.0056	ASASSN-V
2458578.563	1635	0.0504	0.0089	ASASSN-g
