HJD	Epoch	O-C	O-Cerr	Source
2414941.612	-8584	-4.7338	0.1008	Harvard
2415368.292	-8447	-4.6554	0.1079	Harvard
2415688.542	-8345	-4.3574	0.1026	Harvard
2416030.031	-8237	-4.7769	0.115	Harvard
2416381.563	-8124	-4.5644	0.0802	Harvard
2416745.509	-8008	-4.4842	0.0308	Harvard
2417096.957	-7896	-4.3558	0.0227	Harvard
2417473.09	-7776	-4.6367	0.1256	Harvard
2417881.11	-7646	-4.398	0.0098	Harvard
2420081.213	-6945	-3.1764	0.0518	Harvard
2420435.884	-6832	-2.9614	0.0425	Harvard
2420774.72	-6724	-2.8977	0.0495	Harvard
2421160.902	-6601	-2.5397	0.095	Harvard
2421537.579	-6481	-2.2763	0.0498	Harvard
2421904.971	-6364	-1.8871	0.0145	Harvard
2422240.919	-6257	-1.5744	0.3011	Harvard
2422945.941	-6032	-2.3281	0.372	Harvard
2423317.566	-5913	-0.8427	0.2724	Harvard
2424064.747	-5675	-0.2156	0.0799	Harvard
2424412.786	-5564	-0.3582	0.0744	Harvard
2424792.185	-5443	-0.5094	0.2165	Harvard
2424887.29	-5413	-0.3332	0.14	Hacke1989 Arch.
2425156.557	-5327	-0.0039	0.037	Harvard
2425273.27	-5290	-0.177	0.14	Hacke1989 Arch.
2425292.35	-5284	0.0823	0.14	Hacke1989 Arch.
2425295.211	-5283	-0.1935	0.05	Szabados1991 Arch.
2425298.47	-5282	-0.0713	0.14	Hacke1989 Arch.
2425301.29	-5281	-0.388	0.14	Hacke1989 Arch.
2425320.4	-5275	-0.0987	0.14	Hacke1989 Arch.
2425326.28	-5273	-0.4923	0.14	Hacke1989 Arch.
2425329.34	-5272	-0.5691	0.14	Hacke1989 Arch.
2425529.87	-5208	0.0325	0.0684	Harvard
2425558.54	-5199	-0.3539	0.14	Hacke1989 Arch.
2425643.37	-5172	-0.217	0.14	Hacke1989 Arch.
2425887.552	-5094	0.1208	0.0469	Harvard
2425982.44	-5064	0.0809	0.14	Hacke1989 Arch.
2425985.41	-5063	-0.0859	0.14	Hacke1989 Arch.
2426038.39	-5046	-0.4311	0.14	Hacke1989 Arch.
2426057.32	-5040	-0.3218	0.14	Hacke1989 Arch.
2426067.34	-5037	0.2879	0.14	Hacke1989 Arch.
2426070.42	-5036	0.2311	0.14	Hacke1989 Arch.
2426082.35	-5032	-0.386	0.14	Hacke1989 Arch.
2426248.086	-4979	-0.0747	0.0419	Harvard
2426273.62	-4971	-0.4595	0.14	Hacke1989 Arch.
2426459.56	-4912	0.4105	0.14	Hacke1989 Arch.
2426478.32	-4906	0.3498	0.14	Hacke1989 Arch.
2426624.473	-4859	-0.1009	0.0495	Harvard
2426631.63	-4857	-0.0423	0.14	Hacke1989 Arch.
2426659.54	-4848	-0.3634	0.14	Hacke1989 Arch.
2426694.55	-4837	0.1421	0.14	Hacke1989 Arch.
2426721.37	-4828	-1.2689	0.14	Hacke1989 Arch.
2426735.39	-4824	0.204	0.14	Hacke1989 Arch.
2426960.6	-4752	-0.4341	0.14	Hacke1989 Arch.
2426978.855	-4746	-0.1753	0.0619	Harvard
2426979.64	-4746	-0.2148	0.14	Hacke1989 Arch.
2427039.38	-4727	-0.0736	0.14	Hacke1989 Arch.
2427098.38	-4708	-0.6724	0.14	Hacke1989 Arch.
2427102.37	-4707	0.1808	0.14	Hacke1989 Arch.
2427340.59	-4631	0.0056	0.14	Hacke1989 Arch.
2427346.63	-4629	-0.228	0.14	Hacke1989 Arch.
2427358.362	-4625	-0.2185	0.0334	Harvard
2427399.63	-4612	-0.5532	0.14	Hacke1989 Arch.
2427450.31	-4596	-0.0617	0.14	Hacke1989 Arch.
2427459.43	-4593	-0.352	0.14	Hacke1989 Arch.
2427513.36	-4576	0.2528	0.14	Hacke1989 Arch.
2427516.38	-4575	0.136	0.14	Hacke1989 Arch.
2427718.83	-4510	-0.48	0.0457	Harvard
2427745.53	-4502	0.3011	0.14	Hacke1989 Arch.
2427779.28	-4491	-0.4535	0.14	Hacke1989 Arch.
2427842.4	-4471	-0.069	0.14	Hacke1989 Arch.
2427867.33	-4463	-0.2333	0.14	Hacke1989 Arch.
2427914.34	-4448	-0.275	0.14	Hacke1989 Arch.
2428079.499	-4395	-0.5404	0.0321	Harvard
2428108.27	-4386	-0.8253	0.14	Hacke1989 Arch.
2428127.48	-4380	-0.4359	0.14	Hacke1989 Arch.
2428162.54	-4369	0.1195	0.14	Hacke1989 Arch.
2428193.42	-4359	-0.3683	0.14	Hacke1989 Arch.
2428246.35	-4342	-0.7635	0.14	Hacke1989 Arch.
2428249.31	-4341	-0.9403	0.14	Hacke1989 Arch.
2428253.31	-4340	-0.0771	0.14	Hacke1989 Arch.
2428425.57	-4285	-0.3399	0.14	Hacke1989 Arch.
2428428.6	-4284	-0.4467	0.14	Hacke1989 Arch.
2428452.751	-4276	-0.5653	0.0319	Harvard
2428453.58	-4276	-0.5609	0.14	Hacke1989 Arch.
2428484.55	-4266	-0.9587	0.14	Hacke1989 Arch.
2428513.39	-4257	-0.3497	0.14	Hacke1989 Arch.
2428547.44	-4246	-0.8043	0.14	Hacke1989 Arch.
2428575.34	-4237	-1.1353	0.14	Hacke1989 Arch.
2428576.31	-4237	-0.1653	0.14	Hacke1989 Arch.
2428594.649	-4231	-0.647	0.05	Szabados1991 Arch.
2428629.26	-4220	-0.5406	0.14	Hacke1989 Arch.
2428632.31	-4219	-0.6273	0.14	Hacke1989 Arch.
2428816.361	-4160	-0.8217	0.0468	Harvard
2428835.65	-4154	-1.178	0.14	Hacke1989 Arch.
2428836.66	-4154	-0.168	0.14	Hacke1989 Arch.
2428870.43	-4143	-0.9025	0.14	Hacke1989 Arch.
