HJD	Epoch	O-C	O-Cerr	Source
2413216.189	-5295	-0.1663	0.2457	Harvard
2413508.932	-5257	-0.7199	0.9487	Harvard
2413933.669	-5202	-0.4913	0.3391	Harvard
2415098.835	-5051	-0.794	0.3758	Harvard
2415416.068	-5010	-0.0125	0.2844	Harvard
2415747.98	-4967	0.011	0.4297	Harvard
2416041.046	-4929	-0.2202	0.2943	Harvard
2416411.529	-4881	-0.2169	0.224	Harvard
2416797.181	-4831	-0.4817	0.3997	Harvard
2417183.123	-4781	-0.4566	0.4285	Harvard
2417553.81	-4733	-0.2495	0.3646	Harvard
2417963.302	-4680	0.1702	0.4572	Harvard
2418324.753	-4633	-1.1407	0.4226	Harvard
2418687.982	-4586	-0.6728	0.3687	Harvard
2418989.258	-4547	-0.4117	0.2708	Harvard
2419491.15	-4482	-0.2121	0.3968	Harvard
2419860.913	-4434	-0.9294	0.4448	Harvard
2420185.212	-4392	-0.7996	0.7071	Harvard
2420594.14	-4339	-0.9435	0.3297	Harvard
2420918.124	-4297	-1.1295	0.2966	Harvard
2421219.448	-4258	-0.8214	0.3405	Harvard
2421666.686	-4200	-1.2469	0.9078	Harvard
2422037.184	-4152	-1.2282	0.3825	Harvard
2422400.016	-4105	-1.1582	0.3236	Harvard
2423141.428	-4009	-0.7068	0.2847	Harvard
2423480.375	-3965	-1.3664	0.2029	Harvard
2423781.77	-3926	-0.9866	0.2998	Harvard
2426406.601	-3586	-0.3898	0.3434	Harvard
2427093.372	-3497	-0.5501	0.4049	Harvard
2428181.215	-3356	-0.9928	0.1711	Harvard
2428945.769	-3257	-0.5536	0.2769	Harvard
2429262.192	-3216	-0.5824	0.3158	Harvard
2429917.94	-3131	-0.8926	0.4347	Harvard
2430319.451	-3079	-0.7357	0.3486	Harvard
2430720.553	-3027	-0.9871	0.4335	Harvard
2431106.933	-2977	-0.5236	0.3356	Harvard
2431407.601	-2938	-0.8703	0.2831	Harvard
2431700.867	-2900	-0.9011	0.4223	Harvard
2431994.744	-2862	-0.3212	0.2419	Harvard
2432588.392	-2785	-0.9846	0.4384	Harvard
2435158.951	-2452	-0.6318	0.0888	Irwin1961
2435159.082	-2452	-0.5007	0.1018	Mitchell1964
2437791.089	-2111	-0.4462	0.0108	Walraven1964
2440229.997	-1795	-0.532	0.0601	Stobie1970
2444282.307	-1270	-0.3485	0.0874	Eggen1985
2447879.166	-804	-0.2331	0.0158	Hipp
2448172.546	-766	-0.1504	0.0168	Hipp
2448465.763	-728	-0.23	0.0192	Hipp
2448774.645	-688	-0.081	0.0527	Hipp
2450349.096	-484	-0.1711	0.0241	Berdnikov2008
2450889.413	-414	-0.1371	0.0146	Berdnikov2008
2451244.508	-368	-0.0859	0.0226	Berdnikov2008
2451614.959	-320	-0.1145	0.018	Berdnikov2008
2451931.324	-279	-0.2013	0.2266	ASAS
2451939.155	-278	-0.0885	0.0285	Berdnikov2008
2452224.94	-241	0.1181	0.1703	ASAS
2452317.363	-229	-0.0795	0.0186	Berdnikov2008
2452618.255	-190	-0.2021	0.1022	ASAS
2452618.402	-190	-0.0552	0.0252	Berdnikov2008
2452934.854	-149	-0.0551	0.0534	ASAS
2452981.147	-143	-0.0719	0.0128	Berdnikov2008
2453351.655	-95	-0.0444	0.0374	ASAS
2453660.385	-55	-0.0474	0.0268	ASAS
2454084.941	0	0.0	0.0407	ASAS
2454409.147	42	0.0362	0.0462	ASAS
2454748.763	86	0.0454	0.043	ASAS
2455042.057	124	0.0428	0.0477	ASAS
2458569.629	581	0.3347	0.0033	TESS
