HJD	Epoch	O-C	O-Cerr	Source
2424691.811	-1777	-1.3687	0.3082	Harvard
2425677.746	-1718	-0.8503	0.4041	Harvard
2426028.55	-1697	-0.7876	0.2273	Harvard
2426763.459	-1653	-0.7656	0.278	Harvard
2427197.732	-1627	-0.7447	0.2884	Harvard
2429318.703	-1500	-0.925	0.2116	Harvard
2430053.628	-1456	-0.8875	0.2905	Harvard
2430805.229	-1411	-0.8758	0.1622	Harvard
2431523.564	-1368	-0.7252	0.2982	Harvard
2431874.123	-1347	-0.9079	0.4523	Harvard
2432592.661	-1304	-0.555	0.1868	Harvard
2432943.483	-1283	-0.4744	0.3846	Harvard
2445370.041	-539	-0.191	0.3364	Harvard
2446221.819	-488	-0.2139	0.3674	Harvard
2451917.483	-147	0.0744	0.117	ASAS
2452101.227	-136	0.0968	0.1088	ASAS
2452435.239	-116	0.0688	0.1548	ASAS
2452618.984	-105	0.0928	0.0923	ASAS
2452802.719	-94	0.1056	0.0958	ASAS
2453003.078	-82	0.0407	0.1333	ASAS
2453370.516	-60	0.0353	0.09	ASAS
2453487.384	-53	-0.0107	0.0481	Berdnikov2019
2453554.255	-49	0.0524	0.1031	ASAS
2453737.941	-38	0.017	0.1202	ASAS
2454105.327	-16	-0.0413	0.0885	ASAS
2454105.366	-16	-0.0021	0.1004	Berdnikov2009
2454289.112	-5	0.022	0.0731	ASAS
2454472.773	6	-0.0386	0.1119	ASAS
2454656.625	17	0.0918	0.1418	ASAS
2454840.241	28	-0.0141	0.1259	ASAS
2454923.619	33	-0.1456	0.0163	Berdnikov2011
2455023.898	39	-0.0785	0.1112	ASAS
2455174.246	48	-0.0485	0.016	Berdnikov2011
2456042.853	100	0.0553	0.0271	Berdnikov2019
2456376.927	120	0.0351	0.0227	Bochum
2456727.696	141	0.062	0.0154	Bochum
2457078.451	162	0.0753	0.0183	Bochum
2457445.869	184	0.1052	0.023	ASASSN-V
2457629.611	195	0.1253	0.0351	ASASSN-V
2457813.299	206	0.0917	0.0307	ASASSN-V
2457997.062	217	0.1321	0.0238	ASASSN-V
2458180.776	228	0.125	0.0248	ASASSN-V
2458280.937	234	0.0981	0.0427	ASASSN-g
2458364.472	239	0.0994	0.0197	ASASSN-V
2458481.399	246	0.1363	0.0604	ASASSN-g
2458665.139	257	0.1541	0.0639	ASASSN-g
