HJD	Epoch	O-C	O-Cerr	Source
2412583.425	-2650	-0.3956	0.1955	Harvard
2412916.27	-2619	0.2156	0.159	Harvard
2413215.829	-2591	-0.3073	0.094	Harvard
2413505.223	-2564	-0.2788	0.0339	Harvard
2413891.025	-2528	-0.2971	0.0767	Harvard
2414362.561	-2484	-0.3186	0.1042	Harvard
2414770.014	-2446	-0.1206	0.3328	Harvard
2415069.583	-2418	-0.6339	0.204	Harvard
2415412.829	-2386	-0.3386	0.1364	Harvard
2415723.822	-2357	-0.145	0.057	Harvard
2416045.203	-2327	-0.281	0.0515	Harvard
2416420.522	-2292	-0.0647	0.0624	Harvard
2416816.91	-2255	-0.2146	0.0624	Harvard
2417181.288	-2221	-0.2221	0.0452	Harvard
2417556.519	-2186	-0.0942	0.0764	Harvard
2417963.701	-2148	-0.1671	0.0492	Harvard
2418295.833	-2117	-0.2682	0.0503	Harvard
2418692.336	-2080	-0.303	0.1202	Harvard
2419121.238	-2040	-0.0895	0.0695	Harvard
2419538.991	-2001	-0.3082	0.1287	Harvard
2419882.207	-1969	-0.0443	0.0942	Harvard
2420192.843	-1940	-0.2078	0.0626	Harvard
2420589.449	-1903	-0.1383	0.0502	Harvard
2420921.832	-1872	0.0099	0.049	Harvard
2421221.836	-1844	-0.0684	0.0817	Harvard
2421671.739	-1802	-0.2889	0.0635	Harvard
2422036.229	-1768	-0.1844	0.0777	Harvard
2422400.814	-1734	0.0152	0.0934	Harvard
2423150.841	-1664	-0.1634	0.0409	Harvard
2423483.058	-1633	-0.1807	0.0912	Harvard
2423783.383	-1605	0.0617	0.1083	Harvard
2424136.815	-1572	-0.1749	0.0582	Harvard
2424501.107	-1538	-0.2683	0.0689	Harvard
2425230.232	-1470	0.0852	0.2279	Harvard
2425616.157	-1434	0.1902	0.0981	Harvard
2425980.258	-1400	-0.0944	0.0463	Harvard
2426398.071	-1361	-0.2528	0.0555	Harvard
2426708.842	-1332	-0.282	0.0711	Harvard
2427041.151	-1301	-0.2068	0.0439	Harvard
2427459.202	-1262	-0.1268	0.0548	Harvard
2427802.028	-1230	-0.2521	0.064	Harvard
2428166.438	-1196	-0.2281	0.0541	Harvard
2428520.067	-1163	-0.2672	0.0511	Harvard
2428820.217	-1135	-0.1998	0.0264	Harvard
2429120.302	-1107	-0.1971	0.0507	Harvard
2429409.724	-1080	-0.1405	0.0491	Harvard
2429698.994	-1053	-0.2353	0.0555	Harvard
2429988.321	-1026	-0.2735	0.0309	Harvard
2430320.612	-995	-0.2168	0.0387	Harvard
2430706.485	-959	-0.164	0.0356	Harvard
2431049.292	-927	-0.308	0.041	Harvard
2431349.818	-899	0.136	0.0726	Harvard
2431638.965	-872	-0.0817	0.1115	Harvard
2431928.114	-845	-0.2981	0.0669	Harvard
2432217.702	-818	-0.0758	0.0698	Harvard
2432539.146	-788	-0.1479	0.1186	Harvard
2432849.791	-759	-0.303	0.1124	Harvard
2433139.172	-732	-0.2865	0.0801	Harvard
2433428.663	-705	-0.1607	0.0795	Harvard
2433718.058	-678	-0.1304	0.0642	Harvard
2434393.491	-615	0.1165	0.1352	Harvard
2434897.098	-568	0.014	0.1779	Harvard
2435165.289	-543	0.275	0.1541	Mitchell1964
2440984.408	0	-0.0597	0.0782	Harvard
2440984.468	0	0.0	0.0105	Pel1976
2443931.552	275	-0.1531	0.013	Coulson1985
2444628.213	340	-0.1113	0.0193	Coulson1985
2444638.994	341	-0.0477	0.0937	Harvard
2444960.228	371	-0.3299	0.1493	Harvard
2445003.358	375	-0.0692	0.0169	Coulson1985
2445346.394	407	0.0159	0.2522	Harvard
2445646.271	435	-0.1898	0.1416	Harvard
2446835.785	546	-0.2875	0.039	Harvard
2447146.56	575	-0.3122	0.0796	Harvard
2447500.265	608	-0.2761	0.1181	Harvard
2447864.854	642	-0.0719	0.0109	Hipp
2448154.195	669	-0.0966	0.0111	Hipp
2448443.612	696	-0.0445	0.0129	Hipp
2448754.391	725	-0.0655	0.056	Hipp
2451862.313	1015	-0.1389	0.007	ASAS
2452215.926	1048	-0.1939	0.0113	ASAS
2452623.212	1086	-0.1622	0.0057	ASAS
2452923.277	1114	-0.1796	0.0168	ASAS
2453501.867	1168	-0.3196	0.0106	IOMC
2453919.953	1207	-0.2059	0.0304	IOMC
2454220.023	1235	-0.218	0.0251	IOMC
2454863.034	1295	-0.2404	0.0193	IOMC
2455709.649	1374	-0.2861	0.0436	IOMC
2456641.848	1461	-0.4859	0.0136	Berdnikov2015
2456888.495	1484	-0.3347	0.0262	Gaia-dr2
2457188.575	1512	-0.3371	0.0427	Gaia-dr2
2457413.5	1533	-0.4745	0.0061	ASASSN-V
2457702.87	1560	-0.4691	0.0051	ASASSN-V
2458067.276	1594	-0.4493	0.0044	ASASSN-V
2458281.614	1614	-0.4551	0.0007	ASASSN-g
2458570.944	1641	-0.4906	0.0022	ASASSN-g
2458860.275	1668	-0.5247	0.0054	ASASSN-g
