HJD	Epoch	O-C	O-Cerr	Source
2415434.347	-763	68.6028	6.3252	Harvard
2415825.837	-755	68.3025	1.6147	Harvard
2416118.701	-749	67.3236	1.6076	Harvard
2416509.793	-741	66.6251	1.8424	Harvard
2416800.774	-735	63.7634	3.1465	Harvard
2424250.673	-583	20.6666	5.3037	Harvard
2424643.413	-575	21.616	2.4939	Harvard
2425277.841	-562	19.3849	3.4553	Harvard
2425672.156	-554	21.9093	2.0448	Harvard
2426012.188	-547	19.124	1.2554	Harvard
2426354.385	-540	18.5046	1.7781	Harvard
2426744.408	-532	16.7363	1.4391	Harvard
2427084.455	-525	13.9668	2.3089	Harvard
2427479.667	-517	17.3884	1.9266	Harvard
2427866.54	-509	12.4708	2.1916	Harvard
2428156.669	-503	8.757	2.1023	Harvard
2428551.202	-495	11.4989	1.6824	Harvard
2428891.496	-488	8.9764	1.7765	Harvard
2429184.696	-482	8.3332	1.6856	Harvard
2429477.7	-476	7.4948	1.4275	Harvard
2429770.137	-470	6.0891	1.7255	Harvard
2430064.1	-464	6.2091	1.0936	Harvard
2430406.913	-457	6.2053	0.7932	Harvard
2430701.122	-451	6.5714	1.0601	Harvard
2431092.141	-443	5.7996	1.1543	Harvard
2431434.569	-436	5.4103	1.0092	Harvard
2431728.771	-430	5.7699	1.6335	Harvard
2432020.931	-424	4.0871	1.21	Harvard
2432314.454	-418	3.7671	1.3299	Harvard
2432609.256	-412	4.726	1.3281	Harvard
2432949.917	-405	2.57	1.6544	Harvard
2433289.423	-398	-0.7409	1.9688	Harvard
2434022.576	-383	-2.1948	2.3762	Harvard
2440725.767	-246	-8.4181	2.545	Harvard
2441022.416	-240	-5.6121	0.8562	Harvard
2445675.76	-145	-4.7813	2.2386	Harvard
2445970.322	-139	-4.0623	2.8215	Harvard
2446848.451	-121	-7.4618	4.2963	Harvard
2447241.426	-113	-6.2775	3.0357	Harvard
2451900.094	-18	-0.1232	0.1662	ASAS
2452488.027	-6	0.1239	0.2988	ASAS
2452781.858	0	0.1118	0.1229	ASAS
2453076.043	6	0.4543	0.1442	ASAS
2453369.756	12	0.3246	0.1994	ASAS
2453663.398	18	0.1231	0.1279	ASAS
2454104.33	27	0.2913	0.1493	ASAS
2454398.105	33	0.2227	0.1598	ASAS
2454691.766	39	0.0415	0.1788	ASAS
2454985.077	45	-0.4908	0.255	ASAS
2457431.388	95	-2.8708	0.1153	ASASSN-V
2457725.48	101	-2.622	0.1161	ASASSN-V
2458019.85	107	-2.0947	0.1332	ASASSN-V
2458265.0	112	-1.8137	0.1457	ASASSN-g
2458314.158	113	-1.6302	0.1103	ASASSN-V
2458559.14	118	-1.5176	0.1774	ASASSN-g
