HJD	Epoch	O-C	O-Cerr	Source
2412685.226	-17622	0.1234	0.1117	Harvard
2414550.098	-16740	0.3923	0.1907	Harvard
2414875.459	-16586	0.1873	0.0252	Harvard
2415194.726	-16435	0.2312	0.0818	Harvard
2415552.048	-16266	0.276	0.0328	Harvard
2415858.545	-16121	0.2339	0.0136	Harvard
2416158.714	-15979	0.2063	0.0121	Harvard
2416456.802	-15838	0.2111	0.0109	Harvard
2416754.856	-15697	0.1822	0.0159	Harvard
2417052.944	-15556	0.1874	0.0174	Harvard
2417374.329	-15404	0.2352	0.0183	Harvard
2417716.728	-15242	0.1554	0.0257	Harvard
2418071.945	-15074	0.2098	0.0124	Harvard
2418370.063	-14933	0.2449	0.0082	Harvard
2418668.14	-14792	0.2389	0.0157	Harvard
2418972.585	-14648	0.2596	0.0165	Harvard
2419270.691	-14507	0.2817	0.0115	Harvard
2419568.841	-14366	0.3489	0.0187	Harvard
2419866.902	-14225	0.3278	0.0107	Harvard
2420222.049	-14057	0.312	0.0152	Harvard
2420520.108	-13916	0.2881	0.0127	Harvard
2420818.258	-13775	0.3548	0.0159	Harvard
2421116.309	-13634	0.3228	0.014	Harvard
2421416.506	-13492	0.3233	0.0184	Harvard
2421714.548	-13351	0.2821	0.0095	Harvard
2422067.597	-13184	0.2831	0.0179	Harvard
2422365.627	-13043	0.2304	0.0115	Harvard
2422665.758	-12901	0.1642	0.0137	Harvard
2422963.823	-12760	0.1466	0.011	Harvard
2423263.958	-12618	0.0839	0.0214	Harvard
2423562.054	-12477	0.0972	0.018	Harvard
2423900.278	-12317	0.0714	0.0177	Harvard
2424204.712	-12173	0.0797	0.0147	Harvard
2424502.776	-12032	0.0615	0.021	Harvard
2424800.793	-11891	-0.005	0.04	Harvard
2425098.975	-11750	0.0941	0.0187	Harvard
2425430.792	-11593	0.004	0.0171	Harvard
2425728.864	-11452	-0.0069	0.0116	Harvard
2426090.337	-11281	-0.0393	0.0131	Harvard
2426449.75	-11111	-0.0166	0.0127	Harvard
2426838.768	-10927	0.0141	0.014	Harvard
2427153.749	-10778	-0.0011	0.025	Harvard
2427456.132	-10635	0.0711	0.0244	Harvard
2427754.148	-10494	0.0041	0.016	Harvard
2428052.216	-10353	-0.0105	0.0172	Harvard
2428335.908	-10219	-0.0107	0.05	Klawitter1971 Arch.
2428338.035	-10218	0.0022	0.05	Klawitter1971 Arch.
2428354.525	-10210	-0.0126	0.0133	Harvard
2428654.704	-10068	-0.0303	0.0108	Harvard
2428978.155	-9915	-0.0313	0.0138	Harvard
2429276.169	-9774	-0.1001	0.0124	Harvard
2429515.512	-9661	-0.0539	0.05	Klawitter1971 Arch.
2429574.283	-9633	-0.0688	0.0141	Harvard
2429872.336	-9492	-0.0989	0.0125	Harvard
2430170.424	-9351	-0.0937	0.0077	Harvard
2430373.783	-9255	-0.0925	0.05	Klawitter1971 Arch.
2430483.302	-9203	-0.097	0.0097	Harvard
2430515.497	-9188	-0.0207	0.05	Klawitter1971 Arch.
2430517.612	-9187	-0.0197	0.05	Klawitter1971 Arch.
2430591.582	-9152	-0.042	0.05	Klawitter1971 Arch.
2430703.62	-9099	-0.0493	0.05	Klawitter1971 Arch.
2430789.791	-9058	-0.1471	0.0133	Harvard
2431029.16	-8945	-0.075	0.05	Klawitter1971 Arch.
2431031.282	-8944	-0.0671	0.05	Klawitter1971 Arch.
2431033.399	-8943	-0.0641	0.05	Klawitter1971 Arch.
2431060.878	-8930	-0.0679	0.05	Klawitter1971 Arch.
2431087.874	-8917	-0.1473	0.0097	Harvard
2431385.922	-8776	-0.182	0.0136	Harvard
2431684.006	-8635	-0.1803	0.0135	Harvard
2431982.078	-8494	-0.1914	0.0105	Harvard
2432284.348	-8351	-0.2325	0.0115	Harvard
2432707.228	-8151	-0.1656	0.0275	Harvard
2433028.578	-7999	-0.1524	0.0134	Harvard
2433337.281	-7853	-0.1027	0.0086	Harvard
2433747.464	-7659	-0.0478	0.0258	Harvard
2434185.088	-7452	-0.0356	0.0297	Harvard
2434677.77	-7219	0.0701	0.081	Harvard
2437849.0	-5719	0.2052	0.1303	Harvard
2440059.887	-4673	-0.2174	0.1366	Harvard
2440451.283	-4488	0.0772	0.2167	Harvard
2440825.137	-4311	-0.2585	0.1234	Harvard
2440903.414	-4274	-0.2011	0.0022	Wachmann1976
2440943.971	-4255	-0.2195	0.05	Klawitter1971 Arch.
2440954.547	-4250	-0.2138	0.05	Klawitter1971 Arch.
2440963.023	-4246	-0.194	0.05	Klawitter1971 Arch.
2440965.096	-4245	-0.2351	0.01	Szabados1991 Arch.
2440965.132	-4245	-0.1991	0.05	Klawitter1971 Arch.
2441180.357	-4143	-0.2009	0.0562	Harvard
2441201.515	-4133	-0.1829	0.0077	Wachmann1976
2441696.58	-3899	-0.2169	0.01	Szabados1991 Arch.
2441901.246	-3802	-0.2068	0.09	Harvard
2441916.121	-3795	-0.1305	0.0115	Szabados1977
2442239.444	-3642	-0.2589	0.0761	Harvard
2442596.775	-3473	-0.2053	0.0655	Harvard
2442930.796	-3315	-0.2056	0.0332	Harvard
2443045.394	-3261	-0.1751	0.02	Szabados1991 Arch.
2443307.087	-3137	-0.2179	0.041	Harvard
2443689.702	-2956	-0.2488	0.0688	Harvard
2444045.002	-2788	-0.1115	0.0751	Harvard
2444402.281	-2619	-0.109	0.0785	Harvard
2444761.7	-2449	-0.0803	0.0819	Harvard
2445078.741	-2299	-0.1491	0.0345	Harvard
2445438.103	-2129	-0.178	0.0406	Harvard
2445770.039	-1972	-0.1494	0.0364	Harvard
2446084.932	-1823	-0.2521	0.0257	Harvard
2446402.081	-1673	-0.2127	0.0252	Harvard
2446607.19	-1576	-0.1676	0.0029	Berdnikov2008
2446700.173	-1532	-0.2028	0.0326	Harvard
2446998.29	-1391	-0.1695	0.0258	Harvard
2447313.357	-1242	-0.0971	0.019	AAVSO
2447323.971	-1237	-0.0536	0.0299	Harvard
2447408.449	-1197	-0.1383	0.0079	Berdnikov2008
2447413.066	-1195	-0.1572	0.02	Szabados1991 Arch.
2447689.581	-1064	-0.1764	0.0423	Harvard
2447865.091	-981	-0.134	0.0018	Hipp
2448171.659	-836	-0.1054	0.0023	Hipp
2448488.973	-686	0.1	0.045	AAVSO
2448499.364	-681	-0.0803	0.0069	Hipp
2448501.497	-680	-0.0609	0.004	Berdnikov2008
2448808.055	-535	-0.042	0.0084	Hipp
2448852.465	-514	-0.0273	0.0052	Berdnikov2008
2449619.936	-151	0.0385	0.0049	Berdnikov2008
2449753.11	-88	0.0272	0.0279	AAVSO
