HJD	Epoch	O-C	O-Cerr	Source
2421484.137	-3578	-0.1561	0.06	Szabados1980 Arch.
2426126.433	-2818	0.0485	0.06	Szabados1980 Arch.
2426187.441	-2808	-0.0236	0.06	Szabados1980 Arch.
2426981.409	-2678	-0.0976	0.06	Szabados1980 Arch.
2433700.226	-1578	-0.0971	0.06	Szabados1980 Arch.
2433950.66	-1537	-0.0917	0.1	Szabados1980 Arch.
2434982.845	-1368	-0.1612	0.06	Szabados1980 Arch.
2435129.518	-1344	-0.0806	0.06	Szabados1980 Arch.
2435721.97	-1247	-0.106	0.1	Szabados1980 Arch.
2436052.17	-1193	0.2611	0.1	Szabados1980 Arch.
2436057.91	-1192	-0.1069	0.1	Szabados1980 Arch.
2436430.5	-1131	-0.1058	0.1	Szabados1980 Arch.
2436747.232	-1079	-0.0698	0.0372	Mitchell1964
2436747.302	-1079	0.0003	0.0194	Oosterhoff1960
2436754.35	-1078	0.0194	0.1	Szabados1980 Arch.
2436790.898	-1072	-0.0807	0.02	Szabados1980 Arch.
2436815.31	-1068	-0.1007	0.1	Szabados1980 Arch.
2436833.661	-1065	-0.0738	0.02	Szabados1980 Arch.
2436864.3	-1060	0.0251	0.1	Szabados1980 Arch.
2437188.08	-1007	0.0804	0.1	Szabados1980 Arch.
2437273.41	-993	-0.1019	0.1	Szabados1980 Arch.
2437890.33	-892	-0.0914	0.1	Szabados1980 Arch.
2437939.38	-884	0.0945	0.1	Szabados1980 Arch.
2438232.5	-836	0.0298	0.1	Szabados1980 Arch.
2438421.78	-805	-0.0387	0.1	Szabados1980 Arch.
2438446.16	-801	-0.0907	0.1	Szabados1980 Arch.
2438672.27	-764	0.0227	0.1	Szabados1980 Arch.
2438672.27	-764	0.0227	0.1	Szabados1980 Arch.
2438965.5	-716	0.068	0.1	Szabados1980 Arch.
2439295.21	-662	-0.0548	0.1	Szabados1980 Arch.
2441115.392	-364	-0.0613	0.02	Szabados1980 Arch.
2443338.696	0	-0.0748	0.2	Szabados1980 Arch.
2447729.443	719	-0.0693	0.0056	Berdnikov2008
2447961.525	757	-0.0922	0.0076	Hipp
2448352.419	821	-0.1109	0.0143	Hipp
2448700.653	878	-0.0346	0.0529	Hipp
2449519.075	1012	-0.0861	0.0133	Berdnikov2008
2450569.63	1184	-0.1093	0.008	Berdnikov2008
2452194.418	1450	-0.0536	0.0487	Schmidt2005
2452542.531	1507	-0.0973	0.0092	Schmidt2005
2452719.677	1536	-0.0843	0.0054	ASAS
2453104.486	1599	-0.0802	0.0051	ASAS
2453452.682	1656	-0.0413	0.0242	ASAS
2453831.322	1718	-0.098	0.0113	ASAS
2454209.989	1780	-0.1282	0.0098	ASAS
2454558.146	1837	-0.1278	0.0061	ASAS
2454936.835	1899	-0.1354	0.0074	ASAS
2455663.668	2018	-0.1562	0.0065	IOMC
2455694.27	2023	-0.0946	0.0593	KWS
2456011.801	2075	-0.18	0.0054	IOMC
2456054.594	2082	-0.1434	0.0319	KWS
2456445.517	2146	-0.1333	0.0118	KWS
2456793.621	2203	-0.1862	0.0211	KWS
2456989.118	2235	-0.1459	0.0257	Gaia-dr2
2457135.662	2259	-0.194	0.0035	ASASSN-V
2457160.097	2263	-0.1911	0.0111	KWS
2457337.158	2292	-0.2623	0.0307	Gaia-dr2
2457483.809	2316	-0.2042	0.0029	ASASSN-V
2457520.485	2322	-0.1757	0.0122	KWS
2457831.952	2373	-0.2178	0.0037	ASASSN-V
2457862.497	2378	-0.2125	0.0064	IOMC
2457899.14	2384	-0.2176	0.0087	KWS
2458180.072	2430	-0.2545	0.0048	ASASSN-V
2458216.733	2436	-0.2417	0.0039	ASASSN-g
2458253.395	2442	-0.2279	0.0119	KWS
2458564.889	2493	-0.2419	0.0031	ASASSN-g
2458625.975	2503	-0.2366	0.0128	KWS
2458913.047	2550	-0.2416	0.0043	ASASSN-g
2458986.398	2562	-0.186	0.0313	KWS
