HJD	Epoch	O-C	O-Cerr	Source
2441754.304	-601	1.8145	0.2323	Madore1975
2449529.319	-163	0.1347	0.2333	Berdnikov2008
2450559.281	-105	0.3058	0.0956	Berdnikov2008
2450878.848	-87	0.2825	0.1232	Berdnikov2008
2451233.763	-67	0.0972	0.0793	Berdnikov2008
2451606.513	-46	-0.0084	0.0927	Berdnikov2008
2451890.555	-30	-0.0462	0.1435	ASAS
2451943.882	-27	0.0159	0.2272	Berdnikov2008
2452316.636	-6	-0.0856	0.1138	Berdnikov2008
2452423.252	0	0.0	0.1235	ASAS
2452618.493	11	-0.0635	0.1292	Berdnikov2008
2452671.799	14	-0.0224	0.1526	ASAS
2452707.321	16	-0.0112	0.1044	IOMC
2452973.469	31	-0.188	0.1107	Berdnikov2008
2452973.511	31	-0.1457	0.0966	ASAS
2453222.216	45	-0.0111	0.0866	ASAS
2453470.646	59	-0.1514	0.1045	ASAS
2453719.156	73	-0.2115	0.0919	ASAS
2453985.651	88	-0.0418	0.0818	IOMC
2454092.085	94	-0.1381	0.1019	ASAS
2454340.655	108	-0.138	0.1347	ASAS
2454518.246	118	-0.0965	0.183	IOMC
2454589.157	122	-0.2059	0.11	ASAS
2454837.805	136	-0.1277	0.1095	ASAS
2456347.029	221	-0.1901	0.0895	Bochum
2456630.805	237	-0.3842	0.1336	Berdnikov2015
2456719.791	242	-0.2836	0.1223	Bochum
2457074.768	262	-0.4068	0.1157	Bochum
2457447.519	283	-0.4008	0.0779	ASASSN-V
2457749.312	300	-0.4434	0.0875	ASASSN-V
2457997.901	314	-0.4243	0.074	ASASSN-V
2458193.207	325	-0.4235	0.0831	ASASSN-g
2458246.423	328	-0.4719	0.0695	ASASSN-V
2458477.238	341	-0.4722	0.0765	ASASSN-g
2458725.796	355	-0.4841	0.0834	ASASSN-g
