HJD	Epoch	O-C	O-Cerr	Source
2413088.316	-5684	1.1024	0.1312	Harvard
2414555.223	-5451	1.0551	0.2462	Harvard
2414907.672	-5395	0.9319	0.083	Harvard
2415367.263	-5322	0.9192	0.0528	Harvard
2415713.346	-5267	0.7251	0.1154	Harvard
2416059.715	-5212	0.8177	0.0392	Harvard
2416406.081	-5157	0.9075	0.0391	Harvard
2416740.786	-5104	1.0269	0.1	Szabados1980 Arch.
2416764.862	-5100	0.8197	0.038	Harvard
2417110.995	-5045	0.6757	0.0561	Harvard
2417187.679	-5033	0.9082	0.05	Szabados1980 Arch.
2417357.706	-5006	0.9448	0.05	Szabados1980 Arch.
2417457.34	-4990	0.7444	0.0897	Harvard
2417515.036	-4981	0.8763	0.05	Szabados1980 Arch.
2417521.205	-4980	0.7494	0.05	Szabados1980 Arch.
2417792.103	-4937	0.922	0.1	Szabados1980 Arch.
2417803.621	-4935	0.7483	0.0802	Harvard
2418181.649	-4875	1.0204	0.1381	Harvard
2418546.605	-4817	0.8113	0.0399	Harvard
2418943.186	-4754	0.7484	0.1211	Harvard
2419289.68	-4699	0.9655	0.0632	Harvard
2419617.58	-4647	0.5766	0.1	Szabados1980 Arch.
2419667.106	-4639	0.6357	0.0406	Harvard
2420013.517	-4584	0.7698	0.1068	Harvard
2420384.916	-4525	0.7087	0.0534	Harvard
2420750.046	-4467	0.6737	0.0584	Harvard
2421096.236	-4412	0.5873	0.0441	Harvard
2421367.807	-4369	0.5324	0.05	Szabados1980 Arch.
2421480.282	-4351	0.5806	0.0456	Harvard
2421845.377	-4293	0.5111	0.0491	Harvard
2422191.654	-4238	0.5122	0.1348	Harvard
2422569.38	-4178	0.4819	0.0354	Harvard
2422915.731	-4123	0.5556	0.0624	Harvard
2423261.863	-4068	0.4113	0.3533	Harvard
2423608.17	-4013	0.441	0.0342	Harvard
2423960.786	-3957	0.4847	0.032	Harvard
2424043.512	-3944	0.4631	0.1	Szabados1980 Arch.
2424344.807	-3896	0.4538	0.0392	Harvard
2424722.636	-3836	0.5261	0.0889	Harvard
2425081.433	-3779	0.4545	0.0534	Harvard
2425126.358	-3772	0.4075	0.05	Szabados1980 Arch.
2425427.675	-3724	0.4195	0.0212	Harvard
2425792.781	-3666	0.3614	0.0234	Harvard
2426183.115	-3604	0.3468	0.0209	Harvard
2426548.239	-3546	0.3068	0.0227	Harvard
2426900.8	-3490	0.2949	0.023	Harvard
2427272.245	-3431	0.2799	0.0283	Harvard
2427637.377	-3373	0.2471	0.0229	Harvard
2427751.571	-3355	0.2138	0.1	Szabados1980 Arch.
2427983.642	-3318	0.2354	0.0238	Harvard
2428336.307	-3262	0.3282	0.0188	Harvard
2428726.653	-3200	0.326	0.0186	Harvard
2429072.847	-3145	0.243	0.0218	Harvard
2429098.898	-3141	0.2098	0.05	Szabados1980 Arch.
2429431.715	-3088	0.2424	0.0177	Harvard
2429470.457	-3082	0.3083	0.1	Szabados1980 Arch.
2429809.458	-3028	0.2295	0.0154	Harvard
2430168.258	-2971	0.1603	0.0211	Harvard
2430546.02	-2911	0.1665	0.0104	Harvard
2430698.041	-2887	0.1842	0.05	Szabados1980 Arch.
2430898.618	-2855	0.1916	0.0197	Harvard
2431012.634	-2837	-0.0198	0.1	Szabados1980 Arch.
2431282.591	-2794	0.1119	0.0223	Harvard
2431359.126	-2782	0.1955	0.05	Szabados1980 Arch.
2431641.481	-2737	0.1337	0.0111	Harvard
2431994.094	-2681	0.174	0.0201	Harvard
2432340.405	-2626	0.2087	0.0199	Harvard
2432705.416	-2568	0.0549	0.0325	Harvard
2433070.682	-2510	0.1564	0.0233	Harvard
2433184.831	-2492	0.0781	0.05	Szabados1980 Arch.
2433442.1	-2451	0.114	0.0239	Harvard
2433832.473	-2389	0.139	0.0574	Harvard
2434210.264	-2329	0.1732	0.0573	Harvard
2435873.005	-2065	-0.1141	0.1	Szabados1980 Arch.
2436074.42	-2033	-0.1691	0.07	Erleksova1982 Arch.
2436401.84	-1981	-0.138	0.1	Szabados1980 Arch.
2436741.147	-1927	0.0184	0.0038	Mitchell1964
2436767.158	-1923	0.0155	0.01	Szabados1980 Arch.
2436772.644	-1922	0.0357	0.0069	Oosterhoff1960
2436792.303	-1919	-0.0232	0.01	Szabados1980 Arch.
2436880.43	-1905	-0.0394	0.01	Szabados1980 Arch.
2436987.49	-1888	-0.0103	0.03	Erleksova1982 Arch.
2437025.5	-1882	0.224	0.1	Szabados1980 Arch.
2437181.865	-1857	0.0209	0.009	Mitchell1964
2437220.404	-1851	-0.0461	0.01	Szabados1980 Arch.
2437365.373	-1828	0.1163	0.1	Szabados1980 Arch.
2437843.7	-1752	-0.0481	0.04	Erleksova1982 Arch.
2438542.68	-1641	0.0826	0.1	Szabados1980 Arch.
2438762.87	-1606	-0.0853	0.03	Erleksova1982 Arch.
2439046.153	-1561	-0.1195	0.1	Szabados1980 Arch.
2439600.29	-1473	-0.0252	0.03	Erleksova1982 Arch.
2440097.502	-1394	-0.1924	0.1	Szabados1980 Arch.
2440115.697	-1391	0.0156	0.1584	Harvard
2440437.65	-1340	-0.0252	0.02	Erleksova1982 Arch.
2440474.403	-1334	-0.1475	0.145	Harvard
2440820.793	-1279	-0.0342	0.1058	Harvard
2440834.21	-1277	-0.1093	0.05	Erleksova1982 Arch.
2440865.701	-1272	-0.098	0.1	Szabados1980 Arch.
2441179.868	-1222	0.1727	0.1651	Harvard
2441300.45	-1203	0.2311	0.1	Szabados1980 Arch.
2441903.677	-1107	-0.0518	0.0612	Harvard
2441967.408	-1097	-0.1804	0.1	Szabados1980 Arch.
2441986.26	-1094	-0.2163	0.05	Erleksova1982 Arch.
2442249.915	-1052	-0.0903	0.0499	Harvard
2442634.054	-991	-0.003	0.0253	Harvard
2442709.749	-979	0.0704	0.045	Szabados1980
2442773.489	-969	0.0203	0.01	Szabados1980 Arch.
2442980.191	-936	-0.1436	0.0666	Harvard
2443163.042	-907	0.056	0.0163	Szabados1980
2443339.046	-879	-0.1571	0.0501	Harvard
2443691.839	-823	0.0632	0.0324	Harvard
2443705.17	-821	-0.0977	0.05	Erleksova1982 Arch.
2444485.033	-697	-0.0305	0.0689	Harvard
2444837.527	-641	-0.1096	0.0411	Harvard
2445183.847	-586	-0.0664	0.0276	Harvard
2445555.354	-527	-0.0196	0.0429	Harvard
2445901.648	-472	-0.0017	0.0318	Harvard
2446266.812	-414	-0.0026	0.0323	Harvard
2446606.884	-360	0.0186	0.004	Berdnikov2008
2446613.038	-359	-0.0528	0.0445	Harvard
2447003.365	-297	-0.0749	0.0263	Harvard
2447349.695	-242	-0.0209	0.052	Harvard
2447866.038	-160	-0.015	0.0053	Hipp
2448212.315	-105	-0.0144	0.0224	Hipp
2448558.626	-50	0.0198	0.0089	Hipp
2448848.206	-4	-0.0134	0.0096	Berdnikov2008
2449931.094	168	-0.0268	0.0175	Berdnikov2008
2450302.565	227	-0.017	0.0147	Berdnikov2008
2452650.96	600	-0.0068	0.018	IOMC
2452997.268	655	0.0237	0.0096	IOMC
2453343.524	710	0.0036	0.0066	IOMC
2453708.688	768	0.0028	0.0038	IOMC
2455200.876	1005	0.0534	0.0047	IOMC
2455547.143	1060	0.0436	0.0054	IOMC
2455893.422	1115	0.046	0.0126	IOMC
2456239.713	1170	0.0603	0.0115	IOMC
2456264.887	1174	0.0508	0.006	KWS
2456617.493	1230	0.0837	0.0063	KWS
2456648.924	1235	0.0356	0.015	IOMC
2456970.047	1286	0.0651	0.0066	KWS
2457001.549	1291	0.0879	0.0622	IOMC
2457146.345	1314	0.0774	0.003	ASASSN-V
2457316.354	1341	0.0958	0.0072	KWS
2457391.895	1353	0.0854	0.0038	IOMC
2457517.834	1373	0.1055	0.0055	ASASSN-V
2457662.654	1396	0.119	0.0072	KWS
2457750.758	1410	0.0801	0.0034	IOMC
2457876.684	1430	0.0876	0.0024	ASASSN-V
2458008.918	1451	0.1063	0.0048	KWS
2458248.149	1489	0.092	0.0027	ASASSN-V
2458254.438	1490	0.0844	0.0061	ASASSN-g
2458304.795	1498	0.0746	0.0032	IOMC
2458355.184	1506	0.096	0.0063	KWS
2458607.016	1546	0.0906	0.0033	ASASSN-g
2458701.468	1561	0.1035	0.006	KWS
2458965.891	1603	0.0967	0.0087	ASASSN-g
2459060.361	1618	0.1276	0.0085	KWS
