HJD	Epoch	O-C	O-Cerr	Source
2411373.475	-1978	1.4254	0.1486	Harvard
2412736.34	-1895	1.8442	0.3091	Harvard
2413230.495	-1865	3.5492	1.1544	Harvard
2413852.498	-1827	1.7813	0.3394	Harvard
2414591.051	-1782	1.659	0.1405	Harvard
2415083.556	-1752	1.714	0.1591	Harvard
2415624.883	-1719	1.3453	0.0735	Harvard
2416117.134	-1689	1.1451	0.0665	Harvard
2416708.009	-1653	1.0803	0.0443	Harvard
2417200.541	-1623	1.1615	0.0931	Harvard
2417840.813	-1584	1.2477	0.1299	Harvard
2418332.989	-1554	0.9732	0.0707	Harvard
2418858.271	-1522	0.9752	0.0723	Harvard
2419350.696	-1492	0.9495	0.0573	Harvard
2419842.965	-1462	0.7677	0.0954	Harvard
2420335.538	-1432	0.8906	0.0535	Harvard
2420827.886	-1402	0.7887	0.0791	Harvard
2421320.803	-1372	1.2551	0.072	Harvard
2421829.305	-1341	0.891	0.0596	Harvard
2422321.641	-1311	0.7771	0.051	Harvard
2422912.381	-1275	0.5767	0.05	Harvard
2423404.926	-1245	0.6708	0.0752	Harvard
2423897.363	-1215	0.6573	0.0711	Harvard
2424389.878	-1185	0.7216	0.0648	Harvard
2424882.307	-1155	0.7007	0.0473	Harvard
2425440.227	-1121	0.5099	0.051	Harvard
2425932.772	-1091	0.6045	0.0378	Harvard
2426425.164	-1061	0.546	0.0548	Harvard
2426917.526	-1031	0.4581	0.0474	Harvard
2427409.844	-1001	0.325	0.0631	Harvard
2428000.613	-965	0.1533	0.0559	Harvard
2428493.292	-935	0.3826	0.0444	Harvard
2428985.825	-905	0.4646	0.056	Harvard
2429494.616	-874	0.3899	0.0493	Harvard
2429987.109	-844	0.4328	0.0483	Harvard
2430578.047	-808	0.4304	0.0473	Harvard
2431070.457	-778	0.3903	0.0444	Harvard
2431661.302	-742	0.2948	0.0361	Harvard
2432153.943	-712	0.4849	0.0545	Harvard
2432777.309	-674	0.0807	0.0462	Harvard
2433270.228	-644	0.5485	0.0391	Harvard
2433828.269	-610	0.4794	0.0622	Harvard
2434320.625	-580	0.3846	0.1046	Harvard
2436174.873	-467	0.2362	0.01	Szabados1991 Arch.
2436799.226	-429	0.3182	0.0409	Mitchell1964
2436831.48	-427	0.2426	0.01	Szabados1991 Arch.
2436831.546	-427	0.3086	0.01	Szabados1991 Arch.
2436880.608	-424	0.1256	0.01	Szabados1991 Arch.
2439113.34	-288	0.4155	0.01	Szabados1991 Arch.
2439786.182	-247	0.2419	0.02	Szabados1991 Arch.
2439786.652	-247	0.212	0.2628	Harvard
2440476.197	-205	0.3262	0.2242	Harvard
2441231.42	-159	0.4591	0.3502	Harvard
2441936.687	-116	-0.1197	0.1517	Harvard
2442429.513	-86	0.2559	0.1401	Harvard
2443020.381	-50	0.1829	0.1601	Harvard
2443512.962	-20	0.3131	0.1784	Harvard
2443840.515	0	0.0662	0.01	Szabados1991 Arch.
2444136.181	18	-0.2384	0.394	Moffett1984
2444137.032	18	0.6132	0.1171	Harvard
2444382.394	33	0.2497	0.02	Szabados1991 Arch.
2444629.348	48	0.4788	0.1326	Harvard
2444810.096	59	0.6613	0.0435	Moffett1984
2445038.953	73	0.2081	0.01	Szabados1991 Arch.
2445171.163	81	0.5975	0.0949	Harvard
2445647.025	110	0.4248	0.083	Berdnikov2008
2445662.989	111	-0.0264	0.1011	Harvard
2445695.611	113	0.2655	0.01	Szabados1991 Arch.
2446156.083	141	0.6172	0.1235	Harvard
2446483.539	161	0.2728	0.02	Szabados1991 Arch.
2446648.068	171	0.1519	0.0705	Harvard
2447140.549	201	0.182	0.0965	Harvard
2447304.378	211	0.361	0.02	Szabados1991 Arch.
2447403.325	217	0.318	0.0216	Berdnikov2008
2447928.608	249	0.3202	0.0208	Hipp
2448470.155	282	0.1717	0.0234	Hipp
2448847.861	305	0.3326	0.0408	Berdnikov2008
2451408.698	461	0.4276	0.0554	NSVS
2456169.059	751	0.4342	0.0125	KWS
2456661.467	781	0.3914	0.0122	KWS
2457006.2	802	0.409	0.0152	ASASSN-V
2457252.485	817	0.4688	0.0121	KWS
2457597.277	838	0.5454	0.0125	ASASSN-V
2457744.994	847	0.5276	0.0095	KWS
2458089.754	868	0.5718	0.0139	ASASSN-V
2458401.673	887	0.6063	0.0115	KWS
2458779.005	910	0.3925	0.0224	Piszkes
