HJD	Epoch	O-C	O-Cerr	Source
2415816.313	-2410	0.4056	0.05	Szabados1988 Arch.
2417675.843	-2250	0.077	0.05	Szabados1988 Arch.
2421883.742	-1888	0.046	0.05	Szabados1988 Arch.
2425115.38	-1610	0.0401	0.0258	Hellerich1935
2425243.007	-1599	-0.0585	0.05	Szabados1988 Arch.
2426452.003	-1495	0.0294	0.05	Szabados1988 Arch.
2430043.972	-1186	0.1466	0.05	Szabados1988 Arch.
2433461.739	-892	0.4235	0.03	Szabados1988 Arch.
2436228.158	-654	0.3029	0.02	Szabados1988 Arch.
2437239.398	-567	0.0945	0.0211	Mitchell1964
2437611.298	-535	0.1731	0.02	Szabados1988 Arch.
2437634.721	-533	0.1982	0.0239	Mitchell1964
2437634.879	-533	0.3559	0.0439	AAVSO
2437936.922	-507	0.3218	0.05	Szabados1988 Arch.
2439064.203	-410	0.0636	0.02	Szabados1988 Arch.
2439494.226	-373	-0.0057	0.02	Szabados1988 Arch.
2441005.307	-243	-0.0598	0.03	Szabados1988 Arch.
2441040.314	-240	0.0748	0.03	Szabados1988 Arch.
2442319.098	-130	0.0561	0.0611	AAVSO
2442714.301	-96	0.0396	0.0564	AAVSO
2443109.612	-62	0.1303	0.0789	AAVSO
2443423.222	-35	-0.1105	0.0071	Moffett1984
2443423.272	-35	-0.0607	0.0699	Harris1980
2443434.965	-34	0.0078	0.0098	Szabados1981
2443504.69	-28	-0.0114	0.0707	AAVSO
2443818.531	-1	-0.0215	0.0158	Moffett1984
2443829.995	0	-0.032	0.02	Szabados1988 Arch.
2443830.152	0	-0.0248	0.0174	Szabados1981
2443923.051	8	-0.1193	0.0873	AAVSO
2443946.21	10	-0.0582	0.02	Szabados1988 Arch.
2444213.841	33	0.0679	0.0085	Moffett1984
2444318.475	42	0.0856	0.0471	AAVSO
2445666.781	158	-0.0068	0.0094	Berdnikov2008
2445689.857	160	-0.0286	0.02	Szabados1988 Arch.
2447224.501	292	0.0826	0.0375	AAVSO
2447398.748	307	-0.0325	0.0126	Berdnikov2008
2447619.621	326	-0.0175	0.0287	AAVSO
2447921.775	352	-0.0908	0.0049	Hipp
2448014.907	360	0.048	0.0405	AAVSO
2448316.981	386	-0.1051	0.0072	Hipp
2448468.294	399	0.095	0.0616	AAVSO
2448863.344	433	-0.0752	0.0731	AAVSO
2449258.665	467	0.0263	0.0618	AAVSO
2449653.749	501	-0.1104	0.0574	AAVSO
2450002.544	531	-0.0381	0.0167	Berdnikov2008
2450048.981	535	-0.0979	0.0484	AAVSO
2450444.204	569	-0.0947	0.046	AAVSO
2450839.487	603	-0.0324	0.0349	AAVSO
2455512.502	1005	0.0887	0.0216	KWS
2455907.739	1039	0.1055	0.009	KWS
2456302.973	1073	0.1198	0.0063	KWS
2456698.241	1107	0.1679	0.0062	KWS
2456907.514	1125	0.2063	0.012	Gaia-dr2
2457279.496	1157	0.2169	0.0066	KWS
2457302.81	1159	0.2822	0.0084	Gaia-dr2
2457674.739	1191	0.2403	0.0063	KWS
2458023.582	1221	0.359	0.0204	ASASSN-V
2458069.984	1225	0.2648	0.0069	KWS
2458418.827	1255	0.3843	0.0375	ASASSN-V
2458465.233	1259	0.2944	0.0066	KWS
2458697.835	1279	0.4133	0.0134	ASASSN-g
2458860.488	1293	0.3291	0.0088	KWS
