HJD	Epoch	O-C	O-Cerr	Source
2411410.266	-4626	0.3436	0.179	Harvard
2413625.373	-4346	0.054	0.1886	Harvard
2414582.715	-4225	0.0279	0.1975	Harvard
2414962.449	-4177	-0.0207	0.0586	Harvard
2415310.545	-4133	-0.0586	0.0485	Harvard
2415658.702	-4089	-0.0353	0.031	Harvard
2416030.608	-4042	0.0004	0.0329	Harvard
2416378.741	-3998	-0.0005	0.0192	Harvard
2416726.891	-3954	0.0158	0.0242	Harvard
2417075.0	-3910	-0.0096	0.0214	Harvard
2417446.951	-3863	0.0713	0.0476	Harvard
2417842.388	-3813	-0.0984	0.0482	Harvard
2418190.654	-3769	0.0343	0.0253	Harvard
2418546.623	-3724	-0.0428	0.0331	Harvard
2418894.773	-3680	-0.0271	0.0401	Harvard
2419290.366	-3630	-0.041	0.0268	Harvard
2419441.807	-3611	-0.0778	0.05	Szabados1980 Arch.
2419638.636	-3586	0.0953	0.0424	Harvard
2419994.578	-3541	-0.0081	0.0361	Harvard
2420359.763	-3495	0.0708	0.08	Szabados1980 Arch.
2420366.444	-3494	-0.0128	0.0265	Harvard
2420722.512	-3449	0.0091	0.0344	Harvard
2421110.13	-3400	-0.0676	0.0292	Harvard
2421458.298	-3356	-0.0329	0.0479	Harvard
2421806.45	-3312	-0.0145	0.0345	Harvard
2422154.569	-3268	-0.0298	0.0286	Harvard
2422456.523	-3230	0.1155	0.08	Szabados1980 Arch.
2422526.376	-3221	-0.0929	0.0338	Harvard
2422638.293	-3207	-0.0935	0.05	Szabados1980 Arch.
2422906.137	-3173	-0.1143	0.032	Harvard
2422970.715	-3165	0.0189	0.08	Szabados1980 Arch.
2423309.719	-3122	-0.0512	0.0406	Harvard
2423311.08	-3122	0.1622	0.05	Szabados1980 Arch.
2423657.851	-3078	-0.0529	0.0358	Harvard
2424013.852	-3033	-0.0976	0.0349	Harvard
2424054.759	-3028	0.1007	0.05	Szabados1980 Arch.
2424361.94	-2989	-0.1434	0.0392	Harvard
2424394.871	-2985	-0.0091	0.05	Szabados1980 Arch.
2424733.876	-2942	-0.0783	0.0339	Harvard
2424774.677	-2937	0.0146	0.05	Szabados1980 Arch.
2425089.928	-2897	-0.0716	0.0265	Harvard
2425138.644	-2891	0.0234	0.05	Szabados1980 Arch.
2425431.419	-2854	0.0495	0.05	Szabados1980 Arch.
2425438.133	-2853	-0.0008	0.0302	Harvard
2425825.807	-2804	-0.021	0.0337	Harvard
2425874.434	-2798	-0.0149	0.05	Szabados1980 Arch.
2426197.545	-2757	-0.1533	0.0246	Harvard
2426198.881	-2757	0.0346	0.05	Szabados1980 Arch.
2426569.365	-2710	-0.2041	0.0366	Harvard
2426917.617	-2666	-0.0854	0.0361	Harvard
2426926.719	-2665	-0.0436	0.05	Szabados1980 Arch.
2427124.574	-2640	0.0081	0.08	Szabados1980 Arch.
2427289.44	-2619	-0.1334	0.0496	Harvard
2427290.599	-2619	-0.1217	0.05	Szabados1980 Arch.
2427653.561	-2573	0.0301	0.0388	Harvard
2427899.933	-2542	-0.022	0.08	Szabados1980 Arch.
2428009.312	-2528	-0.2649	0.0268	Harvard
2428184.795	-2506	0.0032	0.05	Szabados1980 Arch.
2428389.236	-2480	-0.1233	0.0272	Harvard
2428524.867	-2463	-0.1465	0.05	Szabados1980 Arch.
2428580.028	-2456	-0.3704	0.08	Szabados1980 Arch.
2428737.351	-2436	-0.1422	0.0313	Harvard
2429117.173	-2388	-0.1031	0.032	Harvard
2429489.038	-2341	-0.1084	0.0188	Harvard
2429845.14	-2296	-0.0515	0.0217	Harvard
2430208.97	-2250	-0.1798	0.0252	Harvard
2430572.964	-2204	-0.1441	0.0228	Harvard
2430936.997	-2158	-0.0697	0.03	Harvard
2431285.119	-2114	-0.0813	0.0279	Harvard
2431672.659	-2065	-0.2353	0.0275	Harvard
2432020.904	-2021	-0.1246	0.02	Harvard
2432392.781	-1974	-0.1177	0.0331	Harvard
2432788.228	-1924	-0.3579	0.0411	Mitchell1964
2432788.301	-1924	-0.2043	0.0646	Harvard
